year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,286.91687975287886,285.6798746496785,NorCPM1,historical,r25i1p1f1
1851,286.9559611268217,285.69802257238297,NorCPM1,historical,r25i1p1f1
1852,286.9861359259491,285.7323956029376,NorCPM1,historical,r25i1p1f1
1853,286.920706750549,285.6718473634131,NorCPM1,historical,r25i1p1f1
1854,287.0195337803523,285.82645133115096,NorCPM1,historical,r25i1p1f1
1855,286.91386795371676,285.7324454296612,NorCPM1,historical,r25i1p1f1
1856,286.91570015246464,285.6548952647699,NorCPM1,historical,r25i1p1f1
1857,286.94792746159266,285.7078790707466,NorCPM1,historical,r25i1p1f1
1858,286.90460650509834,285.6242598602969,NorCPM1,historical,r25i1p1f1
1859,286.7500051549916,285.47415208974314,NorCPM1,historical,r25i1p1f1
1860,286.91348949097625,285.62560676003574,NorCPM1,historical,r25i1p1f1
1861,286.9022875280929,285.6466582322201,NorCPM1,historical,r25i1p1f1
1862,286.9468429424393,285.73581969991795,NorCPM1,historical,r25i1p1f1
1863,286.9020873441226,285.6354488607957,NorCPM1,historical,r25i1p1f1
1864,286.9087531095407,285.6567843474158,NorCPM1,historical,r25i1p1f1
1865,286.795974682707,285.52284539844516,NorCPM1,historical,r25i1p1f1
1866,286.795845986158,285.5169113407868,NorCPM1,historical,r25i1p1f1
1867,286.8592978996935,285.5739378055115,NorCPM1,historical,r25i1p1f1
1868,286.9122491481519,285.6259890973392,NorCPM1,historical,r25i1p1f1
1869,286.77832972365917,285.5112090125207,NorCPM1,historical,r25i1p1f1
1870,286.73417901318055,285.481371681735,NorCPM1,historical,r25i1p1f1
1871,286.81417914796407,285.56603685448084,NorCPM1,historical,r25i1p1f1
1872,286.8432428836262,285.58020612931256,NorCPM1,historical,r25i1p1f1
1873,286.80254624820594,285.54342113355597,NorCPM1,historical,r25i1p1f1
1874,286.8208516737091,285.5441888373556,NorCPM1,historical,r25i1p1f1
1875,286.88853341951784,285.6472970586732,NorCPM1,historical,r25i1p1f1
1876,286.8819899057054,285.6341452283898,NorCPM1,historical,r25i1p1f1
1877,286.86673278662903,285.60523856670676,NorCPM1,historical,r25i1p1f1
1878,286.8034931365702,285.51403567578257,NorCPM1,historical,r25i1p1f1
1879,286.98437820485884,285.7345117625477,NorCPM1,historical,r25i1p1f1
1880,286.85822530737886,285.6135401900245,NorCPM1,historical,r25i1p1f1
1881,286.7201286065277,285.45140252627704,NorCPM1,historical,r25i1p1f1
1882,286.7849127898629,285.52687983057376,NorCPM1,historical,r25i1p1f1
1883,286.7051280352876,285.41335920921324,NorCPM1,historical,r25i1p1f1
1884,286.63513704290057,285.3406369653896,NorCPM1,historical,r25i1p1f1
