year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.78434869284024,287.6430574805371,NorESM2-LM,historical,r2i1p1f1
1851,288.6886477023583,287.5430310631226,NorESM2-LM,historical,r2i1p1f1
1852,288.8739608447072,287.7201442511132,NorESM2-LM,historical,r2i1p1f1
1853,288.9605557402106,287.76171696981334,NorESM2-LM,historical,r2i1p1f1
1854,289.1111517894658,287.97457448023397,NorESM2-LM,historical,r2i1p1f1
1855,288.9794722518067,287.82484880352837,NorESM2-LM,historical,r2i1p1f1
1856,289.04748697147807,287.8868605824855,NorESM2-LM,historical,r2i1p1f1
1857,289.02568163092207,287.8640625972848,NorESM2-LM,historical,r2i1p1f1
1858,288.9521417092856,287.7761513974173,NorESM2-LM,historical,r2i1p1f1
1859,288.92736966719764,287.7577028723048,NorESM2-LM,historical,r2i1p1f1
1860,289.1711884731121,288.0284562962819,NorESM2-LM,historical,r2i1p1f1
1861,289.0174057601786,287.8817032530165,NorESM2-LM,historical,r2i1p1f1
1862,288.956879129088,287.7896233761725,NorESM2-LM,historical,r2i1p1f1
1863,288.8326811534908,287.6897486340302,NorESM2-LM,historical,r2i1p1f1
1864,289.01121779799183,287.85616959696625,NorESM2-LM,historical,r2i1p1f1
1865,288.8617053753078,287.6896274827982,NorESM2-LM,historical,r2i1p1f1
1866,288.7863664617506,287.6172138830458,NorESM2-LM,historical,r2i1p1f1
1867,288.82276204739526,287.67300063495605,NorESM2-LM,historical,r2i1p1f1
1868,288.98153090656314,287.828538758392,NorESM2-LM,historical,r2i1p1f1
1869,289.1798360763204,288.02201244147113,NorESM2-LM,historical,r2i1p1f1
1870,289.1280495357419,287.9661104727003,NorESM2-LM,historical,r2i1p1f1
1871,288.7853351405905,287.61183809549084,NorESM2-LM,historical,r2i1p1f1
1872,288.82812734593614,287.61518442019775,NorESM2-LM,historical,r2i1p1f1
1873,289.06589885274485,287.84659829107966,NorESM2-LM,historical,r2i1p1f1
1874,288.91114734952515,287.71091241891367,NorESM2-LM,historical,r2i1p1f1
1875,288.96027176728995,287.7824634713995,NorESM2-LM,historical,r2i1p1f1
1876,288.98824736562585,287.7668570862205,NorESM2-LM,historical,r2i1p1f1
1877,289.0848949689291,287.9118541770974,NorESM2-LM,historical,r2i1p1f1
1878,288.9924040626478,287.80732596952254,NorESM2-LM,historical,r2i1p1f1
1879,288.6633965731146,287.47124927468815,NorESM2-LM,historical,r2i1p1f1
1880,288.64534268112163,287.480852025495,NorESM2-LM,historical,r2i1p1f1
1881,288.79481320602827,287.6189224507388,NorESM2-LM,historical,r2i1p1f1
1882,289.0160501457467,287.82731273946547,NorESM2-LM,historical,r2i1p1f1
1883,289.0207699574742,287.8199644220166,NorESM2-LM,historical,r2i1p1f1
1884,288.59154544586977,287.4008090690343,NorESM2-LM,historical,r2i1p1f1
1885,288.7548688830096,287.58511181071214,NorESM2-LM,historical,r2i1p1f1
1886,288.78831387820395,287.6081893651165,NorESM2-LM,historical,r2i1p1f1
1887,288.98004162777204,287.80716458954635,NorESM2-LM,historical,r2i1p1f1
1888,289.0093617013979,287.8080160221186,NorESM2-LM,historical,r2i1p1f1
1889,288.9642331499425,287.76414636730755,NorESM2-LM,historical,r2i1p1f1
1890,289.0204918535272,287.84453764069264,NorESM2-LM,historical,r2i1p1f1
1891,288.9403659185304,287.7572581981245,NorESM2-LM,historical,r2i1p1f1
1892,288.86113671519945,287.6876339305829,NorESM2-LM,historical,r2i1p1f1
1893,288.8326742753788,287.6484036558531,NorESM2-LM,historical,r2i1p1f1
1894,288.93137178228983,287.7327787794649,NorESM2-LM,historical,r2i1p1f1
1895,288.84146706518584,287.6903018395596,NorESM2-LM,historical,r2i1p1f1
1896,288.822675736311,287.6669475008206,NorESM2-LM,historical,r2i1p1f1
1897,288.99723340997906,287.8492472444935,NorESM2-LM,historical,r2i1p1f1
1898,288.9312788954436,287.779993307125,NorESM2-LM,historical,r2i1p1f1
1899,289.02795104928714,287.87736666267324,NorESM2-LM,historical,r2i1p1f1
1900,288.95941272147587,287.8050061021608,NorESM2-LM,historical,r2i1p1f1
1901,288.81044033035914,287.653731919055,NorESM2-LM,historical,r2i1p1f1
1902,288.86594293842785,287.68619917802124,NorESM2-LM,historical,r2i1p1f1
1903,288.6445854054175,287.5038353862433,NorESM2-LM,historical,r2i1p1f1
1904,288.6528046580611,287.4759481636967,NorESM2-LM,historical,r2i1p1f1
1905,288.78756992056464,287.62042254983925,NorESM2-LM,historical,r2i1p1f1
1906,288.93343627312055,287.7552034831708,NorESM2-LM,historical,r2i1p1f1
1907,288.7105037559509,287.54184568122486,NorESM2-LM,historical,r2i1p1f1
1908,288.8908010126003,287.67862875809465,NorESM2-LM,historical,r2i1p1f1
1909,288.96311569724486,287.7746028849157,NorESM2-LM,historical,r2i1p1f1
1910,288.7284372502753,287.5560458588504,NorESM2-LM,historical,r2i1p1f1
1911,288.77508469325295,287.5837105321049,NorESM2-LM,historical,r2i1p1f1
1912,288.7878141190364,287.5790054009843,NorESM2-LM,historical,r2i1p1f1
1913,288.8386698801492,287.6872740664441,NorESM2-LM,historical,r2i1p1f1
1914,288.9112344999088,287.7331584073102,NorESM2-LM,historical,r2i1p1f1
1915,288.80523760060305,287.63446187517934,NorESM2-LM,historical,r2i1p1f1
1916,288.63591068607076,287.45975496406516,NorESM2-LM,historical,r2i1p1f1
1917,288.7528442081297,287.57991991214533,NorESM2-LM,historical,r2i1p1f1
1918,289.02015379197184,287.84034204357334,NorESM2-LM,historical,r2i1p1f1
1919,288.85557266657787,287.6880606969771,NorESM2-LM,historical,r2i1p1f1
1920,288.98445527546994,287.8429326139862,NorESM2-LM,historical,r2i1p1f1
1921,289.04561769487924,287.91249281933233,NorESM2-LM,historical,r2i1p1f1
1922,289.17620012331173,288.03310514078026,NorESM2-LM,historical,r2i1p1f1
1923,289.1686119644654,288.0088175861771,NorESM2-LM,historical,r2i1p1f1
1924,288.99692632118297,287.8557475139987,NorESM2-LM,historical,r2i1p1f1
1925,289.0660182235869,287.95455482132587,NorESM2-LM,historical,r2i1p1f1
1926,289.097068673384,287.93817476216384,NorESM2-LM,historical,r2i1p1f1
1927,289.2796801700804,288.1648044675502,NorESM2-LM,historical,r2i1p1f1
1928,289.22169782123217,288.0836430726706,NorESM2-LM,historical,r2i1p1f1
1929,289.0095849491145,287.87500228439933,NorESM2-LM,historical,r2i1p1f1
1930,289.144452007657,287.98097011832675,NorESM2-LM,historical,r2i1p1f1
1931,289.0259606737464,287.86673547809187,NorESM2-LM,historical,r2i1p1f1
1932,288.7880130422929,287.6229142043395,NorESM2-LM,historical,r2i1p1f1
1933,288.82009231546795,287.6678582012243,NorESM2-LM,historical,r2i1p1f1
1934,288.9425420646839,287.7898752090666,NorESM2-LM,historical,r2i1p1f1
1935,289.2201971507194,288.0209523451062,NorESM2-LM,historical,r2i1p1f1
1936,289.43514240376567,288.24675353093136,NorESM2-LM,historical,r2i1p1f1
1937,289.0053451588128,287.8645386955735,NorESM2-LM,historical,r2i1p1f1
1938,288.906670022718,287.7508711517392,NorESM2-LM,historical,r2i1p1f1
1939,289.10256900542373,287.93193261709166,NorESM2-LM,historical,r2i1p1f1
1940,288.9844241363121,287.81912494407874,NorESM2-LM,historical,r2i1p1f1
1941,288.8274108338527,287.6311357300126,NorESM2-LM,historical,r2i1p1f1
1942,288.73049692441504,287.5344187637867,NorESM2-LM,historical,r2i1p1f1
1943,288.8975939605956,287.69429160421004,NorESM2-LM,historical,r2i1p1f1
1944,288.85780529072605,287.66763115368644,NorESM2-LM,historical,r2i1p1f1
1945,288.8480321354198,287.67473323077814,NorESM2-LM,historical,r2i1p1f1
1946,288.94571939245265,287.7854194802428,NorESM2-LM,historical,r2i1p1f1
1947,289.0393828477618,287.87905816569594,NorESM2-LM,historical,r2i1p1f1
1948,289.0396019556614,287.8656241921211,NorESM2-LM,historical,r2i1p1f1
1949,288.9263228806202,287.7629749248145,NorESM2-LM,historical,r2i1p1f1
1950,288.9890985478334,287.7715432547094,NorESM2-LM,historical,r2i1p1f1
1951,288.73817899389536,287.5458969285361,NorESM2-LM,historical,r2i1p1f1
1952,288.8614752224428,287.68040710050985,NorESM2-LM,historical,r2i1p1f1
1953,288.7970861764434,287.5785407837244,NorESM2-LM,historical,r2i1p1f1
1954,288.69508806234285,287.5062395887188,NorESM2-LM,historical,r2i1p1f1
1955,288.7245507687335,287.53652482648044,NorESM2-LM,historical,r2i1p1f1
1956,288.76948630259915,287.57170210051584,NorESM2-LM,historical,r2i1p1f1
1957,288.856726095672,287.65226224652145,NorESM2-LM,historical,r2i1p1f1
1958,289.02889499288716,287.85212738416175,NorESM2-LM,historical,r2i1p1f1
1959,288.98586013011965,287.822673476409,NorESM2-LM,historical,r2i1p1f1
1960,288.8292144268667,287.64774075823397,NorESM2-LM,historical,r2i1p1f1
1961,288.73732180846946,287.5857484448634,NorESM2-LM,historical,r2i1p1f1
1962,288.87054392601897,287.70241048852773,NorESM2-LM,historical,r2i1p1f1
1963,288.5831654726522,287.4259083738188,NorESM2-LM,historical,r2i1p1f1
1964,288.66205637932234,287.4544629499851,NorESM2-LM,historical,r2i1p1f1
1965,288.7939212607204,287.63343878600637,NorESM2-LM,historical,r2i1p1f1
1966,288.9664338404328,287.77352312716425,NorESM2-LM,historical,r2i1p1f1
1967,288.81883364187706,287.6443562035086,NorESM2-LM,historical,r2i1p1f1
1968,288.79705651671884,287.60093297816627,NorESM2-LM,historical,r2i1p1f1
1969,288.70295552437693,287.54727484614546,NorESM2-LM,historical,r2i1p1f1
1970,288.7901762837036,287.64746607558436,NorESM2-LM,historical,r2i1p1f1
1971,288.74851120733786,287.56051328606463,NorESM2-LM,historical,r2i1p1f1
1972,288.7656466654638,287.62884310249416,NorESM2-LM,historical,r2i1p1f1
1973,288.7506237318423,287.57507305668594,NorESM2-LM,historical,r2i1p1f1
1974,288.80361440971944,287.63246577882927,NorESM2-LM,historical,r2i1p1f1
1975,288.9116489831299,287.7319402601387,NorESM2-LM,historical,r2i1p1f1
1976,288.83542916976756,287.6988787421876,NorESM2-LM,historical,r2i1p1f1
1977,288.8349276427516,287.66739752102546,NorESM2-LM,historical,r2i1p1f1
1978,288.97138242002256,287.78923137196756,NorESM2-LM,historical,r2i1p1f1
1979,289.0607741271338,287.8730174426211,NorESM2-LM,historical,r2i1p1f1
1980,288.8494093291544,287.69097932152516,NorESM2-LM,historical,r2i1p1f1
1981,288.7702452347035,287.5773739522123,NorESM2-LM,historical,r2i1p1f1
1982,288.93396997123705,287.7480315820143,NorESM2-LM,historical,r2i1p1f1
1983,288.75057216714777,287.6061184794044,NorESM2-LM,historical,r2i1p1f1
1984,288.80588039329723,287.60134151031116,NorESM2-LM,historical,r2i1p1f1
1985,288.8484252714923,287.6490000018699,NorESM2-LM,historical,r2i1p1f1
1986,288.78480043699875,287.603577486495,NorESM2-LM,historical,r2i1p1f1
1987,288.97794775735815,287.8374948960364,NorESM2-LM,historical,r2i1p1f1
1988,289.0040022333121,287.81997397066357,NorESM2-LM,historical,r2i1p1f1
1989,289.1299101888902,287.99064761677863,NorESM2-LM,historical,r2i1p1f1
1990,289.2681329997627,288.14079085213217,NorESM2-LM,historical,r2i1p1f1
1991,289.0970155329158,287.958880530757,NorESM2-LM,historical,r2i1p1f1
1992,288.88731663311654,287.74832886457574,NorESM2-LM,historical,r2i1p1f1
1993,289.0046326422489,287.8650804506336,NorESM2-LM,historical,r2i1p1f1
1994,289.04471716074426,287.8930622319901,NorESM2-LM,historical,r2i1p1f1
1995,289.0342741748558,287.88631250482985,NorESM2-LM,historical,r2i1p1f1
1996,289.13317490486986,287.9755889811682,NorESM2-LM,historical,r2i1p1f1
1997,289.28962377092296,288.14053425873556,NorESM2-LM,historical,r2i1p1f1
1998,289.1464042184888,288.01585570885186,NorESM2-LM,historical,r2i1p1f1
1999,289.2194772297499,288.07918085032765,NorESM2-LM,historical,r2i1p1f1
2000,289.2793201665801,288.16888133725536,NorESM2-LM,historical,r2i1p1f1
2001,289.39766230740287,288.24867108196185,NorESM2-LM,historical,r2i1p1f1
2002,289.4688215561096,288.3649580519473,NorESM2-LM,historical,r2i1p1f1
2003,289.3282799706788,288.2394165285621,NorESM2-LM,historical,r2i1p1f1
2004,289.2567681292557,288.1612275962992,NorESM2-LM,historical,r2i1p1f1
2005,289.17775651236127,288.0647327562324,NorESM2-LM,historical,r2i1p1f1
2006,289.1716487164998,288.0706172445888,NorESM2-LM,historical,r2i1p1f1
2007,289.15578490702393,288.0768445449582,NorESM2-LM,historical,r2i1p1f1
2008,289.1474189094697,288.0524834902604,NorESM2-LM,historical,r2i1p1f1
2009,289.2582177381825,288.11817092714597,NorESM2-LM,historical,r2i1p1f1
2010,289.2847660722272,288.17925345647734,NorESM2-LM,historical,r2i1p1f1
2011,289.2135308914407,288.11311899618875,NorESM2-LM,historical,r2i1p1f1
2012,289.2674574317476,288.1324319945467,NorESM2-LM,historical,r2i1p1f1
2013,289.1288771323617,288.02432812109663,NorESM2-LM,historical,r2i1p1f1
2014,289.2564458623232,288.1297260050249,NorESM2-LM,historical,r2i1p1f1
