year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.43779409668156,288.29645902185985,NorESM2-LM,ssp245,r2i1p1f1
2016,289.5868635241713,288.4679975501203,NorESM2-LM,ssp245,r2i1p1f1
2017,289.65870995045424,288.5644488861615,NorESM2-LM,ssp245,r2i1p1f1
2018,289.7633551654679,288.67516776479823,NorESM2-LM,ssp245,r2i1p1f1
2019,289.74577096698624,288.6392947826815,NorESM2-LM,ssp245,r2i1p1f1
2020,289.7593782035157,288.6571648141009,NorESM2-LM,ssp245,r2i1p1f1
2021,289.7202653228264,288.66730655610644,NorESM2-LM,ssp245,r2i1p1f1
2022,289.89613459436583,288.8101500450474,NorESM2-LM,ssp245,r2i1p1f1
2023,289.8135004043748,288.72876290388456,NorESM2-LM,ssp245,r2i1p1f1
2024,289.56818801783834,288.4779834715192,NorESM2-LM,ssp245,r2i1p1f1
2025,289.55070915472953,288.43856727504834,NorESM2-LM,ssp245,r2i1p1f1
2026,289.6434298886592,288.5367755289722,NorESM2-LM,ssp245,r2i1p1f1
2027,289.75460099522417,288.6470145946152,NorESM2-LM,ssp245,r2i1p1f1
2028,289.7616503680551,288.6187882163988,NorESM2-LM,ssp245,r2i1p1f1
2029,289.97561982773794,288.87290169154863,NorESM2-LM,ssp245,r2i1p1f1
2030,289.9348824877178,288.84237894149504,NorESM2-LM,ssp245,r2i1p1f1
2031,289.8734273953244,288.7825153465563,NorESM2-LM,ssp245,r2i1p1f1
2032,290.0497530081738,288.9589541489227,NorESM2-LM,ssp245,r2i1p1f1
2033,289.9508153451189,288.8415957314175,NorESM2-LM,ssp245,r2i1p1f1
2034,289.6262117067958,288.5498711838293,NorESM2-LM,ssp245,r2i1p1f1
2035,289.66001386655233,288.56133266700925,NorESM2-LM,ssp245,r2i1p1f1
2036,289.8204371324874,288.7498258438465,NorESM2-LM,ssp245,r2i1p1f1
2037,290.0163817505678,288.92118304984643,NorESM2-LM,ssp245,r2i1p1f1
2038,290.1431224321125,289.0683972263519,NorESM2-LM,ssp245,r2i1p1f1
2039,290.13514249032124,289.0253341026414,NorESM2-LM,ssp245,r2i1p1f1
2040,290.0327620837267,288.94970399596485,NorESM2-LM,ssp245,r2i1p1f1
2041,289.8751040898101,288.7850884447664,NorESM2-LM,ssp245,r2i1p1f1
2042,290.02146941512757,288.94574190313955,NorESM2-LM,ssp245,r2i1p1f1
2043,290.1965622282937,289.14788108780215,NorESM2-LM,ssp245,r2i1p1f1
2044,289.9537950220193,288.9064649586176,NorESM2-LM,ssp245,r2i1p1f1
2045,290.0086092204181,288.92964367943534,NorESM2-LM,ssp245,r2i1p1f1
2046,290.2130691469941,289.1142735646797,NorESM2-LM,ssp245,r2i1p1f1
2047,290.19286856914454,289.087226736891,NorESM2-LM,ssp245,r2i1p1f1
2048,289.8903358993328,288.83328749156226,NorESM2-LM,ssp245,r2i1p1f1
2049,289.8907365276451,288.77846267141825,NorESM2-LM,ssp245,r2i1p1f1
2050,290.09214484049653,288.99445896106647,NorESM2-LM,ssp245,r2i1p1f1
2051,290.30669265749356,289.1782466920424,NorESM2-LM,ssp245,r2i1p1f1
2052,290.2588124411595,289.14607838974723,NorESM2-LM,ssp245,r2i1p1f1
2053,290.3833583397334,289.28506331885325,NorESM2-LM,ssp245,r2i1p1f1
2054,290.30383638709037,289.22910728993907,NorESM2-LM,ssp245,r2i1p1f1
2055,290.1955312245033,289.09303070003,NorESM2-LM,ssp245,r2i1p1f1
2056,290.26502157916696,289.17338363079296,NorESM2-LM,ssp245,r2i1p1f1
2057,290.5204044574286,289.4313249666007,NorESM2-LM,ssp245,r2i1p1f1
2058,290.3096484651283,289.20464877842653,NorESM2-LM,ssp245,r2i1p1f1
2059,290.16525346729856,289.0730984619899,NorESM2-LM,ssp245,r2i1p1f1
2060,290.32614672564426,289.25610636974915,NorESM2-LM,ssp245,r2i1p1f1
2061,290.38840182530197,289.29007020580093,NorESM2-LM,ssp245,r2i1p1f1
2062,290.18520476196164,289.1235975880228,NorESM2-LM,ssp245,r2i1p1f1
2063,290.37104122711503,289.2951469806523,NorESM2-LM,ssp245,r2i1p1f1
2064,290.62365550544035,289.55802767699515,NorESM2-LM,ssp245,r2i1p1f1
2065,290.49778216097695,289.43611490466884,NorESM2-LM,ssp245,r2i1p1f1
2066,290.54956463551105,289.4981115660644,NorESM2-LM,ssp245,r2i1p1f1
2067,290.4383739955851,289.4103356643807,NorESM2-LM,ssp245,r2i1p1f1
2068,290.62619404155515,289.6002259747514,NorESM2-LM,ssp245,r2i1p1f1
2069,290.81250666507606,289.7751972054733,NorESM2-LM,ssp245,r2i1p1f1
2070,290.57424931750853,289.5216350852613,NorESM2-LM,ssp245,r2i1p1f1
2071,290.31742451764444,289.2935625729627,NorESM2-LM,ssp245,r2i1p1f1
2072,290.41054589947805,289.3727132264129,NorESM2-LM,ssp245,r2i1p1f1
2073,290.57470823539506,289.5304785590154,NorESM2-LM,ssp245,r2i1p1f1
2074,290.87228640319245,289.7954722349341,NorESM2-LM,ssp245,r2i1p1f1
2075,290.86889371026473,289.8000197713071,NorESM2-LM,ssp245,r2i1p1f1
2076,290.653509410754,289.629568154133,NorESM2-LM,ssp245,r2i1p1f1
2077,290.5104313771291,289.4749380691809,NorESM2-LM,ssp245,r2i1p1f1
2078,290.7012837818987,289.68493029111875,NorESM2-LM,ssp245,r2i1p1f1
2079,290.6342339152117,289.58369515876433,NorESM2-LM,ssp245,r2i1p1f1
2080,290.5041514053905,289.46336583105034,NorESM2-LM,ssp245,r2i1p1f1
2081,290.6423851098248,289.61649121312394,NorESM2-LM,ssp245,r2i1p1f1
2082,290.7793614266363,289.7522088584416,NorESM2-LM,ssp245,r2i1p1f1
2083,290.5834906484814,289.5355386032205,NorESM2-LM,ssp245,r2i1p1f1
2084,290.6500024889423,289.5709870886731,NorESM2-LM,ssp245,r2i1p1f1
2085,290.688944335276,289.61943625168374,NorESM2-LM,ssp245,r2i1p1f1
2086,290.6989741206012,289.6630185476435,NorESM2-LM,ssp245,r2i1p1f1
2087,290.86292113486417,289.8372262537133,NorESM2-LM,ssp245,r2i1p1f1
2088,290.8445656310926,289.7789690104545,NorESM2-LM,ssp245,r2i1p1f1
2089,290.70618417973054,289.6444332052092,NorESM2-LM,ssp245,r2i1p1f1
2090,290.86733244284966,289.81376600191214,NorESM2-LM,ssp245,r2i1p1f1
2091,290.9738876207271,289.9093356748876,NorESM2-LM,ssp245,r2i1p1f1
2092,290.81419963410696,289.74676585050037,NorESM2-LM,ssp245,r2i1p1f1
2093,290.956695939952,289.8660040486703,NorESM2-LM,ssp245,r2i1p1f1
2094,290.85567324257494,289.78945529779213,NorESM2-LM,ssp245,r2i1p1f1
2095,290.67850611564063,289.6355333629729,NorESM2-LM,ssp245,r2i1p1f1
2096,290.761205716416,289.70722360628224,NorESM2-LM,ssp245,r2i1p1f1
2097,290.7152703584778,289.6668066506574,NorESM2-LM,ssp245,r2i1p1f1
