year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.3676031430506,285.9899176186838,SAM0-UNICON,historical,r1i1p1f1
1851,287.38701085986804,286.0300010126057,SAM0-UNICON,historical,r1i1p1f1
1852,287.5191901717804,286.1783749939926,SAM0-UNICON,historical,r1i1p1f1
1853,287.6705047899789,286.30467485370514,SAM0-UNICON,historical,r1i1p1f1
1854,287.75844559352515,286.41607781328423,SAM0-UNICON,historical,r1i1p1f1
1855,287.6381885593765,286.3201386070796,SAM0-UNICON,historical,r1i1p1f1
1856,287.3641666629014,285.99764696565205,SAM0-UNICON,historical,r1i1p1f1
1857,287.5632258015874,286.216971789771,SAM0-UNICON,historical,r1i1p1f1
1858,287.7444511915893,286.4325256411417,SAM0-UNICON,historical,r1i1p1f1
1859,287.70321586613983,286.4094655805056,SAM0-UNICON,historical,r1i1p1f1
1860,287.646234430285,286.3208286081942,SAM0-UNICON,historical,r1i1p1f1
1861,287.5806351008223,286.2678103869268,SAM0-UNICON,historical,r1i1p1f1
1862,287.72425782600345,286.3652083948646,SAM0-UNICON,historical,r1i1p1f1
1863,287.6437910226526,286.35379240797954,SAM0-UNICON,historical,r1i1p1f1
1864,287.6239328546152,286.3157071032371,SAM0-UNICON,historical,r1i1p1f1
1865,287.4334282331088,286.1077748999776,SAM0-UNICON,historical,r1i1p1f1
1866,287.32864996260946,286.0148989425776,SAM0-UNICON,historical,r1i1p1f1
1867,287.46528722380987,286.1272617724756,SAM0-UNICON,historical,r1i1p1f1
1868,287.51843180660643,286.2183625496643,SAM0-UNICON,historical,r1i1p1f1
1869,287.4736653267074,286.19791438582956,SAM0-UNICON,historical,r1i1p1f1
1870,287.5350562584783,286.21765347480977,SAM0-UNICON,historical,r1i1p1f1
1871,287.512793693661,286.1804439829619,SAM0-UNICON,historical,r1i1p1f1
1872,287.512587231143,286.1995804837734,SAM0-UNICON,historical,r1i1p1f1
1873,287.39467433580603,286.08050226925604,SAM0-UNICON,historical,r1i1p1f1
1874,287.4125335270153,286.0951899511409,SAM0-UNICON,historical,r1i1p1f1
1875,287.51646883726056,286.1911268153767,SAM0-UNICON,historical,r1i1p1f1
1876,287.5744917525478,286.25508615189784,SAM0-UNICON,historical,r1i1p1f1
1877,287.64367185183016,286.30736219760564,SAM0-UNICON,historical,r1i1p1f1
1878,287.4225476301027,286.12658512299964,SAM0-UNICON,historical,r1i1p1f1
1879,287.4780089914095,286.17743366629605,SAM0-UNICON,historical,r1i1p1f1
1880,287.6337709975597,286.2911354031801,SAM0-UNICON,historical,r1i1p1f1
1881,287.4980016676314,286.1583392709803,SAM0-UNICON,historical,r1i1p1f1
1882,287.48933514862694,286.12325288725447,SAM0-UNICON,historical,r1i1p1f1
1883,287.45361769034554,286.0783415100817,SAM0-UNICON,historical,r1i1p1f1
1884,287.4897974702697,286.1437754645519,SAM0-UNICON,historical,r1i1p1f1
1885,287.5440723285893,286.1899575189041,SAM0-UNICON,historical,r1i1p1f1
1886,287.55245074018075,286.22386087663557,SAM0-UNICON,historical,r1i1p1f1
1887,287.5641472047694,286.1821106437167,SAM0-UNICON,historical,r1i1p1f1
1888,287.50749288493387,286.1270940892756,SAM0-UNICON,historical,r1i1p1f1
1889,287.4430035446633,286.0515247977789,SAM0-UNICON,historical,r1i1p1f1
1890,287.4789305091492,286.12285273351256,SAM0-UNICON,historical,r1i1p1f1
1891,287.43345975886183,286.05213095231056,SAM0-UNICON,historical,r1i1p1f1
1892,287.64307773640644,286.31182858284075,SAM0-UNICON,historical,r1i1p1f1
1893,287.64294626396423,286.3449145727012,SAM0-UNICON,historical,r1i1p1f1
1894,287.6689097524874,286.33163897836073,SAM0-UNICON,historical,r1i1p1f1
1895,287.6343820450913,286.306991796582,SAM0-UNICON,historical,r1i1p1f1
1896,287.7732665668981,286.39279095359694,SAM0-UNICON,historical,r1i1p1f1
1897,287.7193371983102,286.37209460215416,SAM0-UNICON,historical,r1i1p1f1
1898,287.77929662163734,286.4643889573491,SAM0-UNICON,historical,r1i1p1f1
1899,287.6749377004737,286.3952431321806,SAM0-UNICON,historical,r1i1p1f1
1900,287.5500629313252,286.257849144761,SAM0-UNICON,historical,r1i1p1f1
1901,287.56238408875805,286.2539238534919,SAM0-UNICON,historical,r1i1p1f1
1902,287.6007238635347,286.28515255867393,SAM0-UNICON,historical,r1i1p1f1
1903,287.4529030114251,286.1639718523871,SAM0-UNICON,historical,r1i1p1f1
1904,287.4884562917802,286.1702983159976,SAM0-UNICON,historical,r1i1p1f1
1905,287.3317705893726,286.0447393335037,SAM0-UNICON,historical,r1i1p1f1
1906,287.42893303075186,286.14575287003197,SAM0-UNICON,historical,r1i1p1f1
1907,287.48310709983025,286.1874570467446,SAM0-UNICON,historical,r1i1p1f1
1908,287.4809056778729,286.1977160259686,SAM0-UNICON,historical,r1i1p1f1
1909,287.6144773171515,286.34011734432323,SAM0-UNICON,historical,r1i1p1f1
1910,287.7052458362399,286.4083257807993,SAM0-UNICON,historical,r1i1p1f1
1911,287.61120461058204,286.3352150932618,SAM0-UNICON,historical,r1i1p1f1
1912,287.6037262566681,286.3120660083301,SAM0-UNICON,historical,r1i1p1f1
1913,287.6462476460262,286.3410579417215,SAM0-UNICON,historical,r1i1p1f1
1914,287.5540141790308,286.2651874227861,SAM0-UNICON,historical,r1i1p1f1
1915,287.45181619581433,286.17845731244876,SAM0-UNICON,historical,r1i1p1f1
1916,287.6097525646898,286.3111899619187,SAM0-UNICON,historical,r1i1p1f1
1917,287.7014114315283,286.3878277036843,SAM0-UNICON,historical,r1i1p1f1
1918,287.6559069456632,286.351756639815,SAM0-UNICON,historical,r1i1p1f1
1919,287.56658819435796,286.2470344820028,SAM0-UNICON,historical,r1i1p1f1
1920,287.5528045502803,286.2285855055951,SAM0-UNICON,historical,r1i1p1f1
1921,287.37735347372774,286.0570927978986,SAM0-UNICON,historical,r1i1p1f1
1922,287.54280041239895,286.1916225933252,SAM0-UNICON,historical,r1i1p1f1
1923,287.59384458962023,286.26925727098677,SAM0-UNICON,historical,r1i1p1f1
1924,287.4982219861015,286.19449231129164,SAM0-UNICON,historical,r1i1p1f1
