year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.3707700628345,288.1849965621399,TaiESM1,ssp370,r1i1p1f1
2016,289.3649548748452,288.11296256160205,TaiESM1,ssp370,r1i1p1f1
2017,289.0553666633299,287.8273839954756,TaiESM1,ssp370,r1i1p1f1
2018,289.1755666382023,287.8929809332624,TaiESM1,ssp370,r1i1p1f1
2019,289.47104178957716,288.26098735043405,TaiESM1,ssp370,r1i1p1f1
2020,289.50734591362453,288.2391099373028,TaiESM1,ssp370,r1i1p1f1
2021,289.2521883942686,288.0029012690891,TaiESM1,ssp370,r1i1p1f1
2022,289.2746333477305,288.0375728305347,TaiESM1,ssp370,r1i1p1f1
2023,289.3472798565854,288.1056604548039,TaiESM1,ssp370,r1i1p1f1
2024,289.3857418747224,288.16764141683393,TaiESM1,ssp370,r1i1p1f1
2025,289.52778550759444,288.2795493405161,TaiESM1,ssp370,r1i1p1f1
2026,289.47941824693635,288.21889449172204,TaiESM1,ssp370,r1i1p1f1
2027,289.3682351703527,288.11005890454743,TaiESM1,ssp370,r1i1p1f1
2028,289.56655505923754,288.3084499583291,TaiESM1,ssp370,r1i1p1f1
2029,289.74388070220624,288.54959263052484,TaiESM1,ssp370,r1i1p1f1
2030,289.83255245279395,288.64470784342234,TaiESM1,ssp370,r1i1p1f1
2031,289.63933587783794,288.4435666492511,TaiESM1,ssp370,r1i1p1f1
2032,289.6509941483138,288.48957154865934,TaiESM1,ssp370,r1i1p1f1
2033,289.68252950766794,288.49596451449787,TaiESM1,ssp370,r1i1p1f1
2034,289.7422964707002,288.55018281201023,TaiESM1,ssp370,r1i1p1f1
2035,289.8305184446064,288.6740076473214,TaiESM1,ssp370,r1i1p1f1
2036,289.98916806975507,288.86450222112296,TaiESM1,ssp370,r1i1p1f1
2037,289.7971471291624,288.6188784784398,TaiESM1,ssp370,r1i1p1f1
2038,289.78858725337284,288.5817398166793,TaiESM1,ssp370,r1i1p1f1
2039,290.14421870571294,288.9373437943896,TaiESM1,ssp370,r1i1p1f1
2040,290.1556334771592,288.9860950866603,TaiESM1,ssp370,r1i1p1f1
2041,290.06575661806204,288.91345484383976,TaiESM1,ssp370,r1i1p1f1
2042,290.13224056779967,288.99203457730096,TaiESM1,ssp370,r1i1p1f1
2043,290.196419339451,289.103738400911,TaiESM1,ssp370,r1i1p1f1
2044,290.3509697445768,289.2000763915251,TaiESM1,ssp370,r1i1p1f1
2045,290.40064159167287,289.273633459631,TaiESM1,ssp370,r1i1p1f1
2046,290.31759633114365,289.1611283594354,TaiESM1,ssp370,r1i1p1f1
2047,290.49117680209406,289.3528606308179,TaiESM1,ssp370,r1i1p1f1
2048,290.47506170265746,289.32963381828546,TaiESM1,ssp370,r1i1p1f1
2049,290.4178197799199,289.28388868020784,TaiESM1,ssp370,r1i1p1f1
2050,290.40651032899694,289.24261608453673,TaiESM1,ssp370,r1i1p1f1
2051,290.5010637197434,289.3546641173592,TaiESM1,ssp370,r1i1p1f1
2052,290.6754463165192,289.53001247216474,TaiESM1,ssp370,r1i1p1f1
2053,290.8105965226492,289.682527316549,TaiESM1,ssp370,r1i1p1f1
