year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.70677402009545,286.4510666784807,UKESM1-0-LL,historical,r12i1p1f2
1851,287.80343287347614,286.5549138674592,UKESM1-0-LL,historical,r12i1p1f2
1852,287.6685451058206,286.4117493331663,UKESM1-0-LL,historical,r12i1p1f2
1853,287.6171303171388,286.3751409127118,UKESM1-0-LL,historical,r12i1p1f2
1854,287.7243434113314,286.49076546641015,UKESM1-0-LL,historical,r12i1p1f2
1855,287.9273141142775,286.6740620948369,UKESM1-0-LL,historical,r12i1p1f2
1856,287.9286477867684,286.6817373269738,UKESM1-0-LL,historical,r12i1p1f2
1857,287.706110740176,286.4399962037287,UKESM1-0-LL,historical,r12i1p1f2
1858,287.7400470116153,286.4472988958062,UKESM1-0-LL,historical,r12i1p1f2
1859,287.9001476716278,286.630953726792,UKESM1-0-LL,historical,r12i1p1f2
1860,287.9180166690656,286.65974842961674,UKESM1-0-LL,historical,r12i1p1f2
1861,287.75793880579954,286.5224881858678,UKESM1-0-LL,historical,r12i1p1f2
1862,287.73856443199946,286.4899511760915,UKESM1-0-LL,historical,r12i1p1f2
1863,287.7834572207519,286.5289970394998,UKESM1-0-LL,historical,r12i1p1f2
1864,287.8070052996628,286.49566151930145,UKESM1-0-LL,historical,r12i1p1f2
1865,287.89035043286714,286.5986932165607,UKESM1-0-LL,historical,r12i1p1f2
1866,287.8710060595635,286.61504801663597,UKESM1-0-LL,historical,r12i1p1f2
1867,287.990341734371,286.74253338207683,UKESM1-0-LL,historical,r12i1p1f2
1868,287.9710023994259,286.6945969738279,UKESM1-0-LL,historical,r12i1p1f2
1869,287.84015281648055,286.5868623990849,UKESM1-0-LL,historical,r12i1p1f2
1870,287.8711604300001,286.5648557438741,UKESM1-0-LL,historical,r12i1p1f2
1871,287.86131966897136,286.5550212417096,UKESM1-0-LL,historical,r12i1p1f2
1872,287.89996271911497,286.6289713308744,UKESM1-0-LL,historical,r12i1p1f2
1873,287.86400085212097,286.6022212795216,UKESM1-0-LL,historical,r12i1p1f2
1874,287.78450959683454,286.5237742826842,UKESM1-0-LL,historical,r12i1p1f2
1875,287.86817055627404,286.62034422293993,UKESM1-0-LL,historical,r12i1p1f2
1876,288.0754550228706,286.84544610263293,UKESM1-0-LL,historical,r12i1p1f2
1877,288.00307086361323,286.7588942720527,UKESM1-0-LL,historical,r12i1p1f2
1878,287.9364955626439,286.7184725604355,UKESM1-0-LL,historical,r12i1p1f2
1879,287.84242443061976,286.5896647198508,UKESM1-0-LL,historical,r12i1p1f2
1880,287.8637218990896,286.6069088004014,UKESM1-0-LL,historical,r12i1p1f2
1881,287.9803450826681,286.73181122606,UKESM1-0-LL,historical,r12i1p1f2
1882,287.9655240344817,286.74380062824304,UKESM1-0-LL,historical,r12i1p1f2
1883,287.9702762803305,286.72642904377057,UKESM1-0-LL,historical,r12i1p1f2
1884,287.73274706712624,286.4687199693349,UKESM1-0-LL,historical,r12i1p1f2
1885,287.6772111113048,286.43193299546624,UKESM1-0-LL,historical,r12i1p1f2
1886,287.71982211942264,286.45878493711433,UKESM1-0-LL,historical,r12i1p1f2
1887,287.7250362555456,286.44605937944317,UKESM1-0-LL,historical,r12i1p1f2
1888,287.6580896374393,286.4076185113168,UKESM1-0-LL,historical,r12i1p1f2
1889,287.69618561056984,286.45631311408226,UKESM1-0-LL,historical,r12i1p1f2
1890,287.80103880076604,286.5558809230808,UKESM1-0-LL,historical,r12i1p1f2
1891,287.72256116164357,286.46275116434566,UKESM1-0-LL,historical,r12i1p1f2
1892,287.69828685874836,286.44908886267643,UKESM1-0-LL,historical,r12i1p1f2
1893,287.6853105226862,286.40451632562684,UKESM1-0-LL,historical,r12i1p1f2
1894,287.7399787115559,286.4678038196466,UKESM1-0-LL,historical,r12i1p1f2
1895,287.8057420715771,286.5163564974312,UKESM1-0-LL,historical,r12i1p1f2
1896,287.7424131372432,286.473902530156,UKESM1-0-LL,historical,r12i1p1f2
1897,287.8123422623762,286.55287348208816,UKESM1-0-LL,historical,r12i1p1f2
1898,287.89274992174006,286.5998330276168,UKESM1-0-LL,historical,r12i1p1f2
1899,287.98430661349465,286.67240645201036,UKESM1-0-LL,historical,r12i1p1f2
1900,287.9234053020394,286.6207136685305,UKESM1-0-LL,historical,r12i1p1f2
1901,287.86954783155875,286.5499266741669,UKESM1-0-LL,historical,r12i1p1f2
1902,287.9533114033688,286.669143180778,UKESM1-0-LL,historical,r12i1p1f2
1903,287.83195636132314,286.5504187629896,UKESM1-0-LL,historical,r12i1p1f2
1904,287.7197363201478,286.4157171082676,UKESM1-0-LL,historical,r12i1p1f2
1905,287.8129443458517,286.5242841428372,UKESM1-0-LL,historical,r12i1p1f2
1906,287.8420437926724,286.5470744844225,UKESM1-0-LL,historical,r12i1p1f2
1907,287.76122609395355,286.46641888256914,UKESM1-0-LL,historical,r12i1p1f2
1908,287.748126812331,286.4480889876632,UKESM1-0-LL,historical,r12i1p1f2
1909,287.65977884894295,286.333991257181,UKESM1-0-LL,historical,r12i1p1f2
1910,287.81427875775194,286.5414749166003,UKESM1-0-LL,historical,r12i1p1f2
1911,287.95094201482306,286.6526662593419,UKESM1-0-LL,historical,r12i1p1f2
1912,287.7650743195231,286.4862470547011,UKESM1-0-LL,historical,r12i1p1f2
1913,287.7445325208922,286.4378497722545,UKESM1-0-LL,historical,r12i1p1f2
1914,287.5797930890879,286.3028405922779,UKESM1-0-LL,historical,r12i1p1f2
1915,287.69376607936255,286.3979568326763,UKESM1-0-LL,historical,r12i1p1f2
1916,287.7630181499134,286.4938549418637,UKESM1-0-LL,historical,r12i1p1f2
1917,287.689249478109,286.3988230982253,UKESM1-0-LL,historical,r12i1p1f2
