year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.84925044933516,287.6165158173298,UKESM1-0-LL,ssp126,r1i1p1f2
2016,288.8605007500169,287.63302823337494,UKESM1-0-LL,ssp126,r1i1p1f2
2017,288.8826598734325,287.70439043574,UKESM1-0-LL,ssp126,r1i1p1f2
2018,288.9948658739256,287.81397485461434,UKESM1-0-LL,ssp126,r1i1p1f2
2019,289.16338685973,287.9646716868376,UKESM1-0-LL,ssp126,r1i1p1f2
2020,289.15616395844484,287.95749452449246,UKESM1-0-LL,ssp126,r1i1p1f2
2021,289.1778561008181,287.9984795175793,UKESM1-0-LL,ssp126,r1i1p1f2
2022,289.29638603719246,288.1459000339155,UKESM1-0-LL,ssp126,r1i1p1f2
2023,289.2643248178075,288.09895553066804,UKESM1-0-LL,ssp126,r1i1p1f2
2024,289.3430862962024,288.1645894771142,UKESM1-0-LL,ssp126,r1i1p1f2
2025,289.2623700068704,288.0904308941705,UKESM1-0-LL,ssp126,r1i1p1f2
2026,289.355935370476,288.2128904458832,UKESM1-0-LL,ssp126,r1i1p1f2
2027,289.50756917154456,288.31251831109597,UKESM1-0-LL,ssp126,r1i1p1f2
2028,289.51974071637864,288.37797656639316,UKESM1-0-LL,ssp126,r1i1p1f2
2029,289.31083450723736,288.172631815244,UKESM1-0-LL,ssp126,r1i1p1f2
2030,289.32062476366923,288.1873484767102,UKESM1-0-LL,ssp126,r1i1p1f2
2031,289.4578059219736,288.337555032428,UKESM1-0-LL,ssp126,r1i1p1f2
2032,289.43384151945816,288.2901748532937,UKESM1-0-LL,ssp126,r1i1p1f2
2033,289.5268666508277,288.4119230448253,UKESM1-0-LL,ssp126,r1i1p1f2
2034,289.73442252231496,288.61511234093007,UKESM1-0-LL,ssp126,r1i1p1f2
2035,289.6155181211657,288.4810224682668,UKESM1-0-LL,ssp126,r1i1p1f2
2036,289.765115194361,288.64193169718783,UKESM1-0-LL,ssp126,r1i1p1f2
2037,289.80199454521755,288.6607262072631,UKESM1-0-LL,ssp126,r1i1p1f2
2038,289.7478852780761,288.618853838004,UKESM1-0-LL,ssp126,r1i1p1f2
2039,289.69532465555767,288.5664428107244,UKESM1-0-LL,ssp126,r1i1p1f2
2040,289.6684590466157,288.5641682498208,UKESM1-0-LL,ssp126,r1i1p1f2
2041,289.679746966337,288.6072811154427,UKESM1-0-LL,ssp126,r1i1p1f2
2042,289.77739406508977,288.7220097650093,UKESM1-0-LL,ssp126,r1i1p1f2
2043,289.8768432130948,288.81520429880993,UKESM1-0-LL,ssp126,r1i1p1f2
2044,289.8723747278042,288.8120613470887,UKESM1-0-LL,ssp126,r1i1p1f2
