year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.9720174507232,286.86346250328904,AWI-CM-1-1-MR,historical,r1i1p1f1
1851,287.9636583735092,286.8213618218794,AWI-CM-1-1-MR,historical,r1i1p1f1
1852,287.9431217873393,286.83013227566335,AWI-CM-1-1-MR,historical,r1i1p1f1
1853,288.0119536022709,286.88901802437636,AWI-CM-1-1-MR,historical,r1i1p1f1
1854,288.1783613706204,287.06887965251263,AWI-CM-1-1-MR,historical,r1i1p1f1
1855,288.1914823321581,287.075144523158,AWI-CM-1-1-MR,historical,r1i1p1f1
1856,288.0321036855483,286.90256415563977,AWI-CM-1-1-MR,historical,r1i1p1f1
1857,287.90456016996075,286.7715469648531,AWI-CM-1-1-MR,historical,r1i1p1f1
1858,288.0192641288219,286.8853450839062,AWI-CM-1-1-MR,historical,r1i1p1f1
1859,288.05079865259705,286.9053093812373,AWI-CM-1-1-MR,historical,r1i1p1f1
1860,287.9743874928506,286.85413568818103,AWI-CM-1-1-MR,historical,r1i1p1f1
1861,288.22707869462903,287.0951882701379,AWI-CM-1-1-MR,historical,r1i1p1f1
1862,287.9096817997226,286.7465707710178,AWI-CM-1-1-MR,historical,r1i1p1f1
1863,287.9876344500429,286.843591923735,AWI-CM-1-1-MR,historical,r1i1p1f1
1864,288.0528348775723,286.91054113098767,AWI-CM-1-1-MR,historical,r1i1p1f1
1865,288.01143817970205,286.8549062007424,AWI-CM-1-1-MR,historical,r1i1p1f1
1866,288.1235340271188,286.95211496554055,AWI-CM-1-1-MR,historical,r1i1p1f1
1867,288.01888770078205,286.8784659019814,AWI-CM-1-1-MR,historical,r1i1p1f1
1868,288.03868839701096,286.88151064462375,AWI-CM-1-1-MR,historical,r1i1p1f1
1869,288.17052327383175,287.05277868903903,AWI-CM-1-1-MR,historical,r1i1p1f1
1870,288.16962421178766,287.00618749842727,AWI-CM-1-1-MR,historical,r1i1p1f1
1871,287.92713191972973,286.7517327410093,AWI-CM-1-1-MR,historical,r1i1p1f1
1872,287.95381066999414,286.76855536502444,AWI-CM-1-1-MR,historical,r1i1p1f1
1873,288.0225205347628,286.844731534033,AWI-CM-1-1-MR,historical,r1i1p1f1
1874,287.99389503723137,286.81447868923414,AWI-CM-1-1-MR,historical,r1i1p1f1
1875,288.06336616440143,286.8849410673207,AWI-CM-1-1-MR,historical,r1i1p1f1
1876,288.10947321267867,286.94836712865225,AWI-CM-1-1-MR,historical,r1i1p1f1
1877,287.95514617535395,286.7482782778739,AWI-CM-1-1-MR,historical,r1i1p1f1
1878,287.79692549564595,286.639683253828,AWI-CM-1-1-MR,historical,r1i1p1f1
1879,287.8976969226724,286.73548802858966,AWI-CM-1-1-MR,historical,r1i1p1f1
1880,288.06699065846385,286.9498419542723,AWI-CM-1-1-MR,historical,r1i1p1f1
1881,287.9610196768526,286.8468625003629,AWI-CM-1-1-MR,historical,r1i1p1f1
1882,287.88801383524833,286.73882641597083,AWI-CM-1-1-MR,historical,r1i1p1f1
1883,287.9240229395757,286.7778044300001,AWI-CM-1-1-MR,historical,r1i1p1f1
1884,287.66174018729293,286.5023858442856,AWI-CM-1-1-MR,historical,r1i1p1f1
1885,287.7490557240027,286.59825835775575,AWI-CM-1-1-MR,historical,r1i1p1f1
1886,287.95759818325354,286.76108401043916,AWI-CM-1-1-MR,historical,r1i1p1f1
1887,287.87353755369156,286.71370514482714,AWI-CM-1-1-MR,historical,r1i1p1f1
1888,287.9259896414526,286.7972970592926,AWI-CM-1-1-MR,historical,r1i1p1f1
1889,288.12134197835275,286.9518417556185,AWI-CM-1-1-MR,historical,r1i1p1f1
1890,288.03903357944233,286.89700943414005,AWI-CM-1-1-MR,historical,r1i1p1f1
1891,287.9801775687786,286.80853244848385,AWI-CM-1-1-MR,historical,r1i1p1f1
1892,288.02586267577465,286.85131630650864,AWI-CM-1-1-MR,historical,r1i1p1f1
1893,287.9673598704165,286.80160362157795,AWI-CM-1-1-MR,historical,r1i1p1f1
1894,288.0180873379978,286.8857836709914,AWI-CM-1-1-MR,historical,r1i1p1f1
1895,288.0345222701188,286.8402518737415,AWI-CM-1-1-MR,historical,r1i1p1f1
1896,288.0609225463307,286.9163665759342,AWI-CM-1-1-MR,historical,r1i1p1f1
1897,288.1474400764317,286.98267316312655,AWI-CM-1-1-MR,historical,r1i1p1f1
1898,288.0711317788832,286.90806041741524,AWI-CM-1-1-MR,historical,r1i1p1f1
1899,288.0970139073928,286.93549640713564,AWI-CM-1-1-MR,historical,r1i1p1f1
1900,288.0873771072972,286.95815404651694,AWI-CM-1-1-MR,historical,r1i1p1f1
1901,288.1376491923016,287.0376392473015,AWI-CM-1-1-MR,historical,r1i1p1f1
1902,288.17433943512464,287.0347094263247,AWI-CM-1-1-MR,historical,r1i1p1f1
1903,287.96513448104673,286.81628423566707,AWI-CM-1-1-MR,historical,r1i1p1f1
1904,287.9988497829439,286.84266828835814,AWI-CM-1-1-MR,historical,r1i1p1f1
1905,287.9257227907036,286.75251749177596,AWI-CM-1-1-MR,historical,r1i1p1f1
1906,287.943771507417,286.796374784194,AWI-CM-1-1-MR,historical,r1i1p1f1
1907,288.0557453358079,286.91314923841236,AWI-CM-1-1-MR,historical,r1i1p1f1
1908,288.0285567929893,286.8710713907411,AWI-CM-1-1-MR,historical,r1i1p1f1
1909,287.9571271693106,286.8377164703964,AWI-CM-1-1-MR,historical,r1i1p1f1
1910,288.15105000320233,287.02480030444735,AWI-CM-1-1-MR,historical,r1i1p1f1
1911,288.1716293002604,287.0417937709928,AWI-CM-1-1-MR,historical,r1i1p1f1
1912,287.82173261961475,286.6676376164784,AWI-CM-1-1-MR,historical,r1i1p1f1
1913,287.91588619583376,286.742322791352,AWI-CM-1-1-MR,historical,r1i1p1f1
1914,287.91626238998276,286.7445650023578,AWI-CM-1-1-MR,historical,r1i1p1f1
1915,287.94845603615545,286.8334968278011,AWI-CM-1-1-MR,historical,r1i1p1f1
1916,288.0371739929748,286.91799350508495,AWI-CM-1-1-MR,historical,r1i1p1f1
1917,287.9934045666013,286.86764569835964,AWI-CM-1-1-MR,historical,r1i1p1f1
1918,288.1009030493767,286.94578609927925,AWI-CM-1-1-MR,historical,r1i1p1f1
1919,288.15479783712465,287.0116061476031,AWI-CM-1-1-MR,historical,r1i1p1f1
1920,288.17728327260244,287.0323457613417,AWI-CM-1-1-MR,historical,r1i1p1f1
1921,288.26118813774656,287.1125819817807,AWI-CM-1-1-MR,historical,r1i1p1f1
1922,288.0692377685594,286.93090671070985,AWI-CM-1-1-MR,historical,r1i1p1f1
1923,288.20498672408945,287.04958974121826,AWI-CM-1-1-MR,historical,r1i1p1f1
1924,288.38892701894406,287.2814610995092,AWI-CM-1-1-MR,historical,r1i1p1f1
1925,288.3260664472869,287.2068629463801,AWI-CM-1-1-MR,historical,r1i1p1f1
1926,288.10600265933715,286.9623129795616,AWI-CM-1-1-MR,historical,r1i1p1f1
1927,288.1089800063743,286.9595824572836,AWI-CM-1-1-MR,historical,r1i1p1f1
1928,288.13181801663916,286.9795224107724,AWI-CM-1-1-MR,historical,r1i1p1f1
1929,288.2336287104435,287.0480139909832,AWI-CM-1-1-MR,historical,r1i1p1f1
1930,288.22810934757524,287.09124159348636,AWI-CM-1-1-MR,historical,r1i1p1f1
1931,288.2395967831398,287.11880252383366,AWI-CM-1-1-MR,historical,r1i1p1f1
1932,288.1690141295606,287.0487785990179,AWI-CM-1-1-MR,historical,r1i1p1f1
1933,288.1433679569509,287.0164918861546,AWI-CM-1-1-MR,historical,r1i1p1f1
1934,288.2934165420485,287.13183233505174,AWI-CM-1-1-MR,historical,r1i1p1f1
1935,288.2988784405358,287.1715592281592,AWI-CM-1-1-MR,historical,r1i1p1f1
1936,288.23005268478835,287.0973943729034,AWI-CM-1-1-MR,historical,r1i1p1f1
1937,288.1914902150982,287.03683456620627,AWI-CM-1-1-MR,historical,r1i1p1f1
1938,288.3175192511497,287.1787515983702,AWI-CM-1-1-MR,historical,r1i1p1f1
1939,288.20452417158845,287.06944340177506,AWI-CM-1-1-MR,historical,r1i1p1f1
1940,288.2369649958265,287.10415327130045,AWI-CM-1-1-MR,historical,r1i1p1f1
