year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.2284513306811,288.02738714020427,ACCESS-CM2,ssp370,r1i1p1f1
2016,289.3442352525206,288.1401259123653,ACCESS-CM2,ssp370,r1i1p1f1
2017,289.37155445479937,288.22075281216314,ACCESS-CM2,ssp370,r1i1p1f1
2018,289.29383692287854,288.1165286991665,ACCESS-CM2,ssp370,r1i1p1f1
2019,289.38738042857756,288.18820420057364,ACCESS-CM2,ssp370,r1i1p1f1
2020,289.3203894237622,288.130587313976,ACCESS-CM2,ssp370,r1i1p1f1
2021,289.37388825711747,288.20791613625386,ACCESS-CM2,ssp370,r1i1p1f1
2022,289.2610353826235,288.0671125225863,ACCESS-CM2,ssp370,r1i1p1f1
2023,289.3902050792092,288.1764692664641,ACCESS-CM2,ssp370,r1i1p1f1
2024,289.3059788455672,288.1258877236424,ACCESS-CM2,ssp370,r1i1p1f1
2025,289.36697669507066,288.1610251527467,ACCESS-CM2,ssp370,r1i1p1f1
2026,289.57429484403053,288.36616955122565,ACCESS-CM2,ssp370,r1i1p1f1
2027,289.61842861940704,288.4199369781119,ACCESS-CM2,ssp370,r1i1p1f1
2028,289.8291196330635,288.64301479986426,ACCESS-CM2,ssp370,r1i1p1f1
2029,289.6652894192284,288.4971457826287,ACCESS-CM2,ssp370,r1i1p1f1
2030,289.72448256785543,288.5540541029432,ACCESS-CM2,ssp370,r1i1p1f1
2031,289.68111855112346,288.4950877888681,ACCESS-CM2,ssp370,r1i1p1f1
2032,289.740462730407,288.5694907358205,ACCESS-CM2,ssp370,r1i1p1f1
2033,289.8502597478557,288.6899997751168,ACCESS-CM2,ssp370,r1i1p1f1
2034,289.7542524570377,288.57790534088747,ACCESS-CM2,ssp370,r1i1p1f1
2035,289.87437989634077,288.68153860913577,ACCESS-CM2,ssp370,r1i1p1f1
2036,289.9113150627931,288.7574845474972,ACCESS-CM2,ssp370,r1i1p1f1
2037,290.0355481439277,288.8809929353382,ACCESS-CM2,ssp370,r1i1p1f1
2038,290.0214930445814,288.88703813338816,ACCESS-CM2,ssp370,r1i1p1f1
2039,290.1008423090058,289.0014208029612,ACCESS-CM2,ssp370,r1i1p1f1
2040,290.2064136899356,289.09486848257814,ACCESS-CM2,ssp370,r1i1p1f1
2041,290.24682751053456,289.14532586094526,ACCESS-CM2,ssp370,r1i1p1f1
2042,290.2243414831963,289.1085838621547,ACCESS-CM2,ssp370,r1i1p1f1
2043,290.06402767531983,288.94307225013637,ACCESS-CM2,ssp370,r1i1p1f1
2044,290.1366674753301,289.0156119777756,ACCESS-CM2,ssp370,r1i1p1f1
2045,290.2361763780014,289.13247111719943,ACCESS-CM2,ssp370,r1i1p1f1
2046,290.22794401336427,289.1313489384092,ACCESS-CM2,ssp370,r1i1p1f1
2047,290.37548100357304,289.2751735449628,ACCESS-CM2,ssp370,r1i1p1f1
2048,290.26908349478026,289.1292836821784,ACCESS-CM2,ssp370,r1i1p1f1
2049,290.4910794972643,289.34714655682916,ACCESS-CM2,ssp370,r1i1p1f1
2050,290.37833070093876,289.2406663716826,ACCESS-CM2,ssp370,r1i1p1f1
2051,290.43449355410627,289.3196985046527,ACCESS-CM2,ssp370,r1i1p1f1
2052,290.4379912198196,289.30454333974245,ACCESS-CM2,ssp370,r1i1p1f1
2053,290.6008291360028,289.4628104197607,ACCESS-CM2,ssp370,r1i1p1f1
2054,290.4705601224353,289.31180267560626,ACCESS-CM2,ssp370,r1i1p1f1
2055,290.70873512535405,289.56399828632664,ACCESS-CM2,ssp370,r1i1p1f1
