year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.124684128007,288.0601217010785,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2016,289.37763471061044,288.3303141629396,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2017,289.1500461746285,288.1209076587516,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2018,289.31551498047276,288.25648223146055,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2019,289.29440848571073,288.2689105363609,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2020,289.39959111470705,288.3653123445013,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2021,289.38921034751803,288.3518483912183,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2022,289.42184300365165,288.3992501949803,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2023,289.3281456347003,288.2506337367641,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2024,289.3430632970859,288.29487691159517,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2025,289.5900299683926,288.534579269335,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2026,289.657095773643,288.63092825037495,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2027,289.60102006012266,288.57182095121675,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2028,289.6180127897859,288.59004068026735,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2029,289.5818445219297,288.5536060772201,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2030,289.52639849570215,288.48888336339706,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2031,289.8433875286212,288.7809446110911,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2032,289.80567999243806,288.7744762106837,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2033,290.016273137598,288.99830440106126,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2034,289.803823830853,288.78321445802607,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2035,289.6665884268569,288.63256356255283,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2036,289.8051062796707,288.77454878223574,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2037,289.8817816005202,288.84546481485864,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2038,289.7637438832485,288.74048634116343,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2039,289.83606450523166,288.82700426997826,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2040,289.94557360443594,288.9261961318844,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2041,290.00128345204035,289.00296329918746,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2042,289.9177314668656,288.90457045634696,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2043,290.0683013867594,289.027632095594,AWI-CM-1-1-MR,ssp370,r1i1p1f1
2044,290.0596013600894,289.07187199781885,AWI-CM-1-1-MR,ssp370,r1i1p1f1
