year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.9822939085304,287.700528392626,CAMS-CSM1-0,ssp370,r1i1p1f1
2016,289.1119302999697,287.837863699762,CAMS-CSM1-0,ssp370,r1i1p1f1
2017,289.2002345679511,287.9020915820412,CAMS-CSM1-0,ssp370,r1i1p1f1
2018,289.0207838501784,287.7502883055143,CAMS-CSM1-0,ssp370,r1i1p1f1
2019,289.13657251300356,287.8780637916736,CAMS-CSM1-0,ssp370,r1i1p1f1
2020,289.1952793464613,287.92519308128857,CAMS-CSM1-0,ssp370,r1i1p1f1
2021,289.2283273536301,287.97834102489634,CAMS-CSM1-0,ssp370,r1i1p1f1
2022,289.18960975073054,287.920207770837,CAMS-CSM1-0,ssp370,r1i1p1f1
2023,289.39560188618424,288.16198469235684,CAMS-CSM1-0,ssp370,r1i1p1f1
2024,289.40868776301073,288.1528701926937,CAMS-CSM1-0,ssp370,r1i1p1f1
2025,289.2583104295319,288.03396521376453,CAMS-CSM1-0,ssp370,r1i1p1f1
2026,289.41512761968255,288.1732356610352,CAMS-CSM1-0,ssp370,r1i1p1f1
2027,289.41722195187924,288.1682149921792,CAMS-CSM1-0,ssp370,r1i1p1f1
2028,289.3382236936074,288.1023296374587,CAMS-CSM1-0,ssp370,r1i1p1f1
2029,289.1630486554503,287.92126305929423,CAMS-CSM1-0,ssp370,r1i1p1f1
2030,289.2129155233242,287.9876669641017,CAMS-CSM1-0,ssp370,r1i1p1f1
2031,289.3350875824345,288.09392080928535,CAMS-CSM1-0,ssp370,r1i1p1f1
2032,289.44460785406375,288.24523820221657,CAMS-CSM1-0,ssp370,r1i1p1f1
2033,289.38313741606436,288.1617715279635,CAMS-CSM1-0,ssp370,r1i1p1f1
2034,289.47521856719413,288.2494219453551,CAMS-CSM1-0,ssp370,r1i1p1f1
2035,289.492655879188,288.24180967662966,CAMS-CSM1-0,ssp370,r1i1p1f1
2036,289.2707983421964,288.03196820425006,CAMS-CSM1-0,ssp370,r1i1p1f1
2037,289.5299815859346,288.2909018947843,CAMS-CSM1-0,ssp370,r1i1p1f1
2038,289.64884000808206,288.41945487916945,CAMS-CSM1-0,ssp370,r1i1p1f1
2039,289.3868571485331,288.1322342164329,CAMS-CSM1-0,ssp370,r1i1p1f1
2040,289.53078202442396,288.28862135048246,CAMS-CSM1-0,ssp370,r1i1p1f1
2041,289.72731220862624,288.49082391487013,CAMS-CSM1-0,ssp370,r1i1p1f1
2042,289.6723496158365,288.4294937518848,CAMS-CSM1-0,ssp370,r1i1p1f1
2043,289.6356618992049,288.406463338503,CAMS-CSM1-0,ssp370,r1i1p1f1
2044,289.5761301883826,288.3390068083257,CAMS-CSM1-0,ssp370,r1i1p1f1
2045,289.47444568475066,288.21747070984804,CAMS-CSM1-0,ssp370,r1i1p1f1
2046,289.6992991548564,288.4366559244119,CAMS-CSM1-0,ssp370,r1i1p1f1
2047,289.80738605203544,288.5481043458597,CAMS-CSM1-0,ssp370,r1i1p1f1
2048,289.8879598688657,288.663363513147,CAMS-CSM1-0,ssp370,r1i1p1f1
2049,289.8495497091586,288.6363291776078,CAMS-CSM1-0,ssp370,r1i1p1f1
2050,289.9256733332303,288.71764856732085,CAMS-CSM1-0,ssp370,r1i1p1f1
2051,290.1268279158233,288.926073093819,CAMS-CSM1-0,ssp370,r1i1p1f1
2052,289.8890951393715,288.6414690422577,CAMS-CSM1-0,ssp370,r1i1p1f1
2053,289.8719449395526,288.67583350202744,CAMS-CSM1-0,ssp370,r1i1p1f1
2054,289.691276878018,288.4985324107552,CAMS-CSM1-0,ssp370,r1i1p1f1
2055,289.8702429161988,288.6409482682616,CAMS-CSM1-0,ssp370,r1i1p1f1
2056,289.7496820059136,288.52139313101105,CAMS-CSM1-0,ssp370,r1i1p1f1
2057,290.0888863449487,288.87318483567856,CAMS-CSM1-0,ssp370,r1i1p1f1
2058,290.1921087275986,288.9343532675014,CAMS-CSM1-0,ssp370,r1i1p1f1
2059,289.9484884864161,288.7066465775354,CAMS-CSM1-0,ssp370,r1i1p1f1
2060,290.0460178229652,288.8104001947215,CAMS-CSM1-0,ssp370,r1i1p1f1
2061,290.27998694267404,289.0360012997866,CAMS-CSM1-0,ssp370,r1i1p1f1
2062,290.29674070086804,289.07127898046474,CAMS-CSM1-0,ssp370,r1i1p1f1
2063,290.15893244100005,288.94843362543037,CAMS-CSM1-0,ssp370,r1i1p1f1
2064,290.299415565183,289.10386661092485,CAMS-CSM1-0,ssp370,r1i1p1f1
2065,290.38414950004454,289.1666316387195,CAMS-CSM1-0,ssp370,r1i1p1f1
2066,290.2669717421556,289.03218923853314,CAMS-CSM1-0,ssp370,r1i1p1f1
2067,290.4562923205663,289.2340646399019,CAMS-CSM1-0,ssp370,r1i1p1f1
2068,290.213360734224,289.00482647278983,CAMS-CSM1-0,ssp370,r1i1p1f1
2069,290.0156914103118,288.84708190094364,CAMS-CSM1-0,ssp370,r1i1p1f1
2070,290.2753054008884,289.0626965105589,CAMS-CSM1-0,ssp370,r1i1p1f1
