year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.1549884894218,286.9340676444674,CESM2-FV2,historical,r3i1p1f1
1851,288.3638118307359,287.1810110114117,CESM2-FV2,historical,r3i1p1f1
1852,288.41705632085325,287.21254562176074,CESM2-FV2,historical,r3i1p1f1
1853,288.4674116241128,287.29192548992535,CESM2-FV2,historical,r3i1p1f1
1854,288.3515615941684,287.14210819690925,CESM2-FV2,historical,r3i1p1f1
1855,288.22814087081883,287.0467982774938,CESM2-FV2,historical,r3i1p1f1
1856,288.3223481464573,287.13569510249454,CESM2-FV2,historical,r3i1p1f1
1857,288.2996171883793,287.13492619260336,CESM2-FV2,historical,r3i1p1f1
1858,288.2258713384203,287.03669644546403,CESM2-FV2,historical,r3i1p1f1
1859,288.34121260306085,287.1527565487176,CESM2-FV2,historical,r3i1p1f1
1860,288.42346437436373,287.22646308714815,CESM2-FV2,historical,r3i1p1f1
1861,288.3835934619016,287.177330739706,CESM2-FV2,historical,r3i1p1f1
1862,288.15298140635116,286.95188929733104,CESM2-FV2,historical,r3i1p1f1
1863,288.2306211466444,286.9937108560391,CESM2-FV2,historical,r3i1p1f1
1864,288.23328981935964,287.05466663011293,CESM2-FV2,historical,r3i1p1f1
1865,288.3454921142551,287.1681494864958,CESM2-FV2,historical,r3i1p1f1
1866,288.35012517159237,287.1581379725527,CESM2-FV2,historical,r3i1p1f1
1867,288.2759321004442,287.06777628899863,CESM2-FV2,historical,r3i1p1f1
1868,288.191957669601,286.9909387866719,CESM2-FV2,historical,r3i1p1f1
1869,288.2496851995296,287.02664096395046,CESM2-FV2,historical,r3i1p1f1
1870,288.2408537826089,287.05057244287497,CESM2-FV2,historical,r3i1p1f1
1871,288.40641109844046,287.2359689024783,CESM2-FV2,historical,r3i1p1f1
1872,288.32650683068766,287.1429373687723,CESM2-FV2,historical,r3i1p1f1
1873,288.28753542532365,287.1388140420195,CESM2-FV2,historical,r3i1p1f1
1874,288.41074701419706,287.2388477191008,CESM2-FV2,historical,r3i1p1f1
1875,288.4505536987323,287.24638937453994,CESM2-FV2,historical,r3i1p1f1
1876,288.46733887155034,287.26362491238945,CESM2-FV2,historical,r3i1p1f1
1877,288.3977236213424,287.1982385289673,CESM2-FV2,historical,r3i1p1f1
1878,288.27048979229494,287.034343034843,CESM2-FV2,historical,r3i1p1f1
1879,288.4633510201083,287.2706100355133,CESM2-FV2,historical,r3i1p1f1
1880,288.2400734293931,287.0665629896971,CESM2-FV2,historical,r3i1p1f1
1881,288.2743844410703,287.0886834259049,CESM2-FV2,historical,r3i1p1f1
1882,288.2819226681745,287.1089687444937,CESM2-FV2,historical,r3i1p1f1
1883,288.4568573960839,287.2625500689152,CESM2-FV2,historical,r3i1p1f1
1884,288.10708438426246,286.9202097998159,CESM2-FV2,historical,r3i1p1f1
1885,288.0220314136775,286.76667470011665,CESM2-FV2,historical,r3i1p1f1
1886,288.2353428243975,287.0176550939311,CESM2-FV2,historical,r3i1p1f1
1887,288.19010095972425,286.9946096799774,CESM2-FV2,historical,r3i1p1f1
