year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.0401467027847,286.79074497588084,CESM2-WACCM,historical,r3i1p1f1
1851,288.1070325738247,286.88537768822977,CESM2-WACCM,historical,r3i1p1f1
1852,288.20738896329703,287.00075865914437,CESM2-WACCM,historical,r3i1p1f1
1853,288.14803164409307,286.91618904110254,CESM2-WACCM,historical,r3i1p1f1
1854,288.0053351901718,286.7422322306343,CESM2-WACCM,historical,r3i1p1f1
1855,288.1286344699807,286.874517261472,CESM2-WACCM,historical,r3i1p1f1
1856,288.107257141955,286.87198109722914,CESM2-WACCM,historical,r3i1p1f1
1857,288.1766258084733,286.97370922610315,CESM2-WACCM,historical,r3i1p1f1
1858,288.1424727153111,286.90344295077637,CESM2-WACCM,historical,r3i1p1f1
1859,288.05416524880604,286.82708907096,CESM2-WACCM,historical,r3i1p1f1
1860,287.9737047313266,286.7386185336239,CESM2-WACCM,historical,r3i1p1f1
1861,288.0450100754473,286.79971677802735,CESM2-WACCM,historical,r3i1p1f1
1862,287.956981234293,286.71881047987307,CESM2-WACCM,historical,r3i1p1f1
1863,288.0468351936434,286.79303781591983,CESM2-WACCM,historical,r3i1p1f1
1864,288.10705518653583,286.9015647055522,CESM2-WACCM,historical,r3i1p1f1
1865,288.2937462828053,287.08490899233504,CESM2-WACCM,historical,r3i1p1f1
1866,288.2359210209044,287.01023907431386,CESM2-WACCM,historical,r3i1p1f1
1867,288.22718058745767,287.01510566755815,CESM2-WACCM,historical,r3i1p1f1
1868,288.2493920658799,287.03193741990856,CESM2-WACCM,historical,r3i1p1f1
1869,288.2121208512647,287.000681165139,CESM2-WACCM,historical,r3i1p1f1
1870,288.3580569934569,287.1396167142274,CESM2-WACCM,historical,r3i1p1f1
1871,288.44921114340747,287.2480418437898,CESM2-WACCM,historical,r3i1p1f1
1872,288.41458659282995,287.1957721179265,CESM2-WACCM,historical,r3i1p1f1
1873,288.5290845672994,287.30820895579194,CESM2-WACCM,historical,r3i1p1f1
1874,288.2677535915129,287.04123207204435,CESM2-WACCM,historical,r3i1p1f1
1875,288.31987521268474,287.0848859650602,CESM2-WACCM,historical,r3i1p1f1
1876,288.4208356222936,287.2019297266492,CESM2-WACCM,historical,r3i1p1f1
1877,288.3207649636625,287.12238988588524,CESM2-WACCM,historical,r3i1p1f1
1878,288.32578469696773,287.1000894378981,CESM2-WACCM,historical,r3i1p1f1
1879,288.4177658695872,287.21994920426533,CESM2-WACCM,historical,r3i1p1f1
1880,288.16846350518506,286.93259521665146,CESM2-WACCM,historical,r3i1p1f1
1881,288.2724714673083,287.04488541169917,CESM2-WACCM,historical,r3i1p1f1
1882,288.37267635282967,287.1365462014206,CESM2-WACCM,historical,r3i1p1f1
1883,288.284139518793,287.0944133038305,CESM2-WACCM,historical,r3i1p1f1
1884,288.1169315564826,286.8989000044298,CESM2-WACCM,historical,r3i1p1f1
1885,288.0988460665376,286.8696246951656,CESM2-WACCM,historical,r3i1p1f1
1886,288.36351629388383,287.09933282322345,CESM2-WACCM,historical,r3i1p1f1
1887,288.31729783966256,287.07029407751713,CESM2-WACCM,historical,r3i1p1f1
1888,288.2094694567659,286.9696602889235,CESM2-WACCM,historical,r3i1p1f1
1889,288.39773140163123,287.1337643388052,CESM2-WACCM,historical,r3i1p1f1
1890,288.42540977820636,287.2132071310796,CESM2-WACCM,historical,r3i1p1f1
1891,288.4121842329297,287.1516477808568,CESM2-WACCM,historical,r3i1p1f1
1892,288.1446972992785,286.9379360017251,CESM2-WACCM,historical,r3i1p1f1
1893,288.3838972612343,287.18962737291764,CESM2-WACCM,historical,r3i1p1f1
1894,288.4867097740052,287.2991311173225,CESM2-WACCM,historical,r3i1p1f1
1895,288.32421632219314,287.1552698261345,CESM2-WACCM,historical,r3i1p1f1
1896,288.18968625186676,286.9823464982877,CESM2-WACCM,historical,r3i1p1f1
1897,288.3861929122575,287.1693806210117,CESM2-WACCM,historical,r3i1p1f1
1898,288.43803386473087,287.2125382163479,CESM2-WACCM,historical,r3i1p1f1
1899,288.4182339164097,287.19813876489076,CESM2-WACCM,historical,r3i1p1f1
1900,288.43839719832465,287.2030816869791,CESM2-WACCM,historical,r3i1p1f1
1901,288.3493164415692,287.1931184017802,CESM2-WACCM,historical,r3i1p1f1
1902,288.22127838972216,286.99327218223186,CESM2-WACCM,historical,r3i1p1f1
1903,288.1490320491877,286.9083344207342,CESM2-WACCM,historical,r3i1p1f1
1904,288.20651567955196,286.9684917607918,CESM2-WACCM,historical,r3i1p1f1
1905,288.1900222766197,286.9475214782819,CESM2-WACCM,historical,r3i1p1f1
1906,288.1663598439047,286.9702479090465,CESM2-WACCM,historical,r3i1p1f1
1907,288.1603303228479,286.9241269420789,CESM2-WACCM,historical,r3i1p1f1
1908,288.2397513274997,287.00991603956817,CESM2-WACCM,historical,r3i1p1f1
1909,288.28749821787136,287.0993051530701,CESM2-WACCM,historical,r3i1p1f1
1910,288.0938522917895,286.8613966569055,CESM2-WACCM,historical,r3i1p1f1
1911,288.1339598992505,286.9380440972483,CESM2-WACCM,historical,r3i1p1f1
1912,288.19889471254464,286.95760625760505,CESM2-WACCM,historical,r3i1p1f1
1913,288.18105102761035,286.90842715988776,CESM2-WACCM,historical,r3i1p1f1
1914,288.21839188144565,286.993439474156,CESM2-WACCM,historical,r3i1p1f1
1915,288.3769568956411,287.1352700767896,CESM2-WACCM,historical,r3i1p1f1
1916,288.3023343905023,287.10455865862804,CESM2-WACCM,historical,r3i1p1f1
1917,288.22661412373355,287.035635582232,CESM2-WACCM,historical,r3i1p1f1
1918,288.2379935825893,287.0337243518533,CESM2-WACCM,historical,r3i1p1f1
1919,288.2949382406916,287.1092689689914,CESM2-WACCM,historical,r3i1p1f1
1920,288.48318575825044,287.2937071237225,CESM2-WACCM,historical,r3i1p1f1
1921,288.5033226913213,287.3268280382258,CESM2-WACCM,historical,r3i1p1f1
1922,288.5023333074191,287.32318331719773,CESM2-WACCM,historical,r3i1p1f1
1923,288.54629702103415,287.3360353277938,CESM2-WACCM,historical,r3i1p1f1
1924,288.5217309578233,287.2792614314372,CESM2-WACCM,historical,r3i1p1f1
1925,288.2284423606711,286.99785730440556,CESM2-WACCM,historical,r3i1p1f1
1926,288.1682190095211,286.95634625129225,CESM2-WACCM,historical,r3i1p1f1
1927,288.2802912268919,287.03701069191385,CESM2-WACCM,historical,r3i1p1f1
1928,288.3581734187338,287.17777058287624,CESM2-WACCM,historical,r3i1p1f1
1929,288.3827970977309,287.17762275213323,CESM2-WACCM,historical,r3i1p1f1
1930,288.3748823800365,287.17334992570187,CESM2-WACCM,historical,r3i1p1f1
1931,288.3118615181563,287.097379568416,CESM2-WACCM,historical,r3i1p1f1
1932,288.28751220110445,287.09035360139467,CESM2-WACCM,historical,r3i1p1f1
1933,288.2850053865903,287.05026925356873,CESM2-WACCM,historical,r3i1p1f1
1934,288.4341750244218,287.24616918213553,CESM2-WACCM,historical,r3i1p1f1
1935,288.5032389574363,287.31275575468345,CESM2-WACCM,historical,r3i1p1f1
