year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.3942603379016,288.27246095600924,CESM2-WACCM,ssp370,r1i1p1f1
2016,289.51982194936636,288.36441800006764,CESM2-WACCM,ssp370,r1i1p1f1
2017,289.43809373086754,288.298598057702,CESM2-WACCM,ssp370,r1i1p1f1
2018,289.46175406356633,288.30738317033695,CESM2-WACCM,ssp370,r1i1p1f1
2019,289.3538147681078,288.2297807673028,CESM2-WACCM,ssp370,r1i1p1f1
2020,289.2533334996398,288.0883911800329,CESM2-WACCM,ssp370,r1i1p1f1
2021,289.40072560816776,288.22580192078806,CESM2-WACCM,ssp370,r1i1p1f1
2022,289.4296579158648,288.27347373383196,CESM2-WACCM,ssp370,r1i1p1f1
2023,289.50205534666867,288.3602602874665,CESM2-WACCM,ssp370,r1i1p1f1
2024,289.672730120329,288.54419551951014,CESM2-WACCM,ssp370,r1i1p1f1
2025,289.5124876937761,288.3742826384848,CESM2-WACCM,ssp370,r1i1p1f1
2026,289.5477216626919,288.41732331703446,CESM2-WACCM,ssp370,r1i1p1f1
2027,289.6198720593511,288.47570129947417,CESM2-WACCM,ssp370,r1i1p1f1
2028,289.7625118440453,288.6525482689936,CESM2-WACCM,ssp370,r1i1p1f1
2029,289.66003334764986,288.5508141383778,CESM2-WACCM,ssp370,r1i1p1f1
2030,289.6070469451171,288.476204372312,CESM2-WACCM,ssp370,r1i1p1f1
2031,289.75070096667633,288.6425070064731,CESM2-WACCM,ssp370,r1i1p1f1
2032,289.732584768045,288.6236040379444,CESM2-WACCM,ssp370,r1i1p1f1
2033,289.52097387616107,288.38881780204315,CESM2-WACCM,ssp370,r1i1p1f1
2034,289.46081270748783,288.3053878666761,CESM2-WACCM,ssp370,r1i1p1f1
2035,289.55833302530823,288.4196703037198,CESM2-WACCM,ssp370,r1i1p1f1
2036,289.84539101042765,288.7290323506992,CESM2-WACCM,ssp370,r1i1p1f1
2037,289.9330378771651,288.7966656823496,CESM2-WACCM,ssp370,r1i1p1f1
2038,290.01816799428747,288.9547026425623,CESM2-WACCM,ssp370,r1i1p1f1
2039,290.0801152940111,289.0082762279869,CESM2-WACCM,ssp370,r1i1p1f1
2040,290.27740619007824,289.2168918817467,CESM2-WACCM,ssp370,r1i1p1f1
2041,290.33562007846774,289.21606700207815,CESM2-WACCM,ssp370,r1i1p1f1
2042,290.15888383878627,289.07190372175035,CESM2-WACCM,ssp370,r1i1p1f1
2043,290.11315549575096,289.0410845570708,CESM2-WACCM,ssp370,r1i1p1f1
2044,290.03160683957844,288.9633112865664,CESM2-WACCM,ssp370,r1i1p1f1
2045,290.19759051845466,289.12369106423154,CESM2-WACCM,ssp370,r1i1p1f1
2046,290.1874657194377,289.12853215955676,CESM2-WACCM,ssp370,r1i1p1f1
2047,290.04496757698973,288.9648892510844,CESM2-WACCM,ssp370,r1i1p1f1
2048,290.3293159470264,289.2274255289202,CESM2-WACCM,ssp370,r1i1p1f1
2049,290.5598710166399,289.4453439902585,CESM2-WACCM,ssp370,r1i1p1f1
2050,290.36628504259215,289.28307516469204,CESM2-WACCM,ssp370,r1i1p1f1
2051,290.52144126500554,289.4383029570192,CESM2-WACCM,ssp370,r1i1p1f1
2052,290.5340334883595,289.43251662416884,CESM2-WACCM,ssp370,r1i1p1f1
2053,290.33862626944057,289.22398715850466,CESM2-WACCM,ssp370,r1i1p1f1
2054,290.3550908798872,289.26970271548805,CESM2-WACCM,ssp370,r1i1p1f1
2055,290.7467979909604,289.68606544285666,CESM2-WACCM,ssp370,r1i1p1f1
2056,290.65025572492897,289.5833001366977,CESM2-WACCM,ssp370,r1i1p1f1
2057,290.69234713335385,289.62209162869954,CESM2-WACCM,ssp370,r1i1p1f1
2058,290.80845254818354,289.7355192404763,CESM2-WACCM,ssp370,r1i1p1f1
2059,290.8821192549122,289.8019185822667,CESM2-WACCM,ssp370,r1i1p1f1
2060,290.7729874963184,289.6849004380086,CESM2-WACCM,ssp370,r1i1p1f1
2061,290.9568361134181,289.8868239690287,CESM2-WACCM,ssp370,r1i1p1f1
2062,291.0580462481125,289.9928335410498,CESM2-WACCM,ssp370,r1i1p1f1
2063,290.9483564712644,289.90742130614717,CESM2-WACCM,ssp370,r1i1p1f1
2064,291.00433000752184,289.9696451829336,CESM2-WACCM,ssp370,r1i1p1f1
2065,291.0171998634696,289.96821955067776,CESM2-WACCM,ssp370,r1i1p1f1
2066,291.2899971323561,290.2372284726119,CESM2-WACCM,ssp370,r1i1p1f1
2067,291.18621767473104,290.134754721481,CESM2-WACCM,ssp370,r1i1p1f1
2068,291.1265224882174,290.0983818652661,CESM2-WACCM,ssp370,r1i1p1f1
2069,291.34748512089425,290.34725980024933,CESM2-WACCM,ssp370,r1i1p1f1
2070,291.2453253434875,290.23464188901676,CESM2-WACCM,ssp370,r1i1p1f1
2071,291.3071193881333,290.28095182197785,CESM2-WACCM,ssp370,r1i1p1f1
2072,291.3590535003053,290.3362616040342,CESM2-WACCM,ssp370,r1i1p1f1
2073,291.49474821110454,290.47112279478995,CESM2-WACCM,ssp370,r1i1p1f1
2074,291.6287505075817,290.61388386111395,CESM2-WACCM,ssp370,r1i1p1f1
