year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.3924657971658,288.27996774067026,CESM2,ssp126,r4i1p1f1
2016,289.28519042089414,288.1944362847318,CESM2,ssp126,r4i1p1f1
2017,289.2748407676381,288.1626388437075,CESM2,ssp126,r4i1p1f1
2018,289.41992799556937,288.30940035718845,CESM2,ssp126,r4i1p1f1
2019,289.6224926837337,288.5026767652309,CESM2,ssp126,r4i1p1f1
2020,289.4322345673674,288.3021581241607,CESM2,ssp126,r4i1p1f1
2021,289.32627912193965,288.2154939501542,CESM2,ssp126,r4i1p1f1
2022,289.454696943371,288.3089051043522,CESM2,ssp126,r4i1p1f1
2023,289.6016713078201,288.4670576884983,CESM2,ssp126,r4i1p1f1
2024,289.6301684423868,288.5399525564661,CESM2,ssp126,r4i1p1f1
2025,289.62045731517134,288.5517069329672,CESM2,ssp126,r4i1p1f1
2026,289.70894761344357,288.606920446934,CESM2,ssp126,r4i1p1f1
2027,289.7950955590749,288.7396240687147,CESM2,ssp126,r4i1p1f1
2028,289.87318324854425,288.76472790883406,CESM2,ssp126,r4i1p1f1
2029,290.0544096981367,288.98789319762955,CESM2,ssp126,r4i1p1f1
2030,289.9691854223841,288.8573659154716,CESM2,ssp126,r4i1p1f1
2031,289.84135518401905,288.75723975216044,CESM2,ssp126,r4i1p1f1
2032,289.9973821985344,288.91102357229477,CESM2,ssp126,r4i1p1f1
2033,290.1982892254534,289.1085369227079,CESM2,ssp126,r4i1p1f1
2034,289.96190074865183,288.8797426225672,CESM2,ssp126,r4i1p1f1
2035,290.1228306341218,289.052088413809,CESM2,ssp126,r4i1p1f1
2036,290.13335006624465,289.0507348200177,CESM2,ssp126,r4i1p1f1
2037,290.07255848437586,288.97925824190736,CESM2,ssp126,r4i1p1f1
2038,290.18634209245994,289.1345829243874,CESM2,ssp126,r4i1p1f1
2039,290.2850473807758,289.193220430966,CESM2,ssp126,r4i1p1f1
2040,290.12619164676676,289.05568312416295,CESM2,ssp126,r4i1p1f1
2041,290.1985482178897,289.1301101608232,CESM2,ssp126,r4i1p1f1
2042,290.1910033238509,289.11147489610426,CESM2,ssp126,r4i1p1f1
2043,290.08753791263433,288.9742384325396,CESM2,ssp126,r4i1p1f1
2044,290.05624350542433,288.9252523088263,CESM2,ssp126,r4i1p1f1
2045,290.1925329195032,289.1408234768051,CESM2,ssp126,r4i1p1f1
2046,290.2643149288185,289.1951411535671,CESM2,ssp126,r4i1p1f1
2047,290.2450322059955,289.1539493246082,CESM2,ssp126,r4i1p1f1
2048,290.40826068854363,289.37414301413,CESM2,ssp126,r4i1p1f1
2049,290.5065327750481,289.4888555431463,CESM2,ssp126,r4i1p1f1
2050,290.35910826656533,289.3225005005122,CESM2,ssp126,r4i1p1f1
2051,290.2521550569873,289.19588951168623,CESM2,ssp126,r4i1p1f1
2052,290.2933621368362,289.233456991138,CESM2,ssp126,r4i1p1f1
2053,290.2385941832606,289.2182001530422,CESM2,ssp126,r4i1p1f1
2054,290.2911817056464,289.22999505470517,CESM2,ssp126,r4i1p1f1
2055,290.34127068172916,289.26220440236483,CESM2,ssp126,r4i1p1f1
2056,290.29539612059745,289.1616410844477,CESM2,ssp126,r4i1p1f1
