year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.5655394542091,288.6087553987102,CMCC-CM2-SR5,ssp370,r1i1p1f1
2016,289.5975771658097,288.6193949575254,CMCC-CM2-SR5,ssp370,r1i1p1f1
2017,289.47516373758833,288.4898942772168,CMCC-CM2-SR5,ssp370,r1i1p1f1
2018,289.3828829532816,288.39353258997573,CMCC-CM2-SR5,ssp370,r1i1p1f1
2019,289.46047659008985,288.4710381853969,CMCC-CM2-SR5,ssp370,r1i1p1f1
2020,289.7357072578456,288.7347147006584,CMCC-CM2-SR5,ssp370,r1i1p1f1
2021,289.86037190559347,288.84400974766146,CMCC-CM2-SR5,ssp370,r1i1p1f1
2022,289.74444398897066,288.76073249759827,CMCC-CM2-SR5,ssp370,r1i1p1f1
2023,289.45504298384316,288.45588437468166,CMCC-CM2-SR5,ssp370,r1i1p1f1
2024,289.4840189265731,288.47459813567383,CMCC-CM2-SR5,ssp370,r1i1p1f1
2025,289.64865926974494,288.6557543175311,CMCC-CM2-SR5,ssp370,r1i1p1f1
2026,289.9284027117207,288.94500170774904,CMCC-CM2-SR5,ssp370,r1i1p1f1
2027,289.8839795300387,288.8962708703712,CMCC-CM2-SR5,ssp370,r1i1p1f1
2028,289.51962122202826,288.5146188298558,CMCC-CM2-SR5,ssp370,r1i1p1f1
2029,289.53691056226427,288.52947154575236,CMCC-CM2-SR5,ssp370,r1i1p1f1
2030,289.5535548135477,288.5069725210879,CMCC-CM2-SR5,ssp370,r1i1p1f1
2031,289.7645939870242,288.7220870430278,CMCC-CM2-SR5,ssp370,r1i1p1f1
2032,289.9933663063623,289.0013079660964,CMCC-CM2-SR5,ssp370,r1i1p1f1
2033,290.2050859076689,289.2443855306216,CMCC-CM2-SR5,ssp370,r1i1p1f1
2034,290.0485556111888,289.0862419788501,CMCC-CM2-SR5,ssp370,r1i1p1f1
2035,289.8542928712724,288.89535745867374,CMCC-CM2-SR5,ssp370,r1i1p1f1
2036,289.92412419912586,288.97502983232283,CMCC-CM2-SR5,ssp370,r1i1p1f1
2037,290.1170161467495,289.1742119921266,CMCC-CM2-SR5,ssp370,r1i1p1f1
2038,290.2866839260415,289.346883948773,CMCC-CM2-SR5,ssp370,r1i1p1f1
2039,290.31316054337293,289.35578414183664,CMCC-CM2-SR5,ssp370,r1i1p1f1
2040,290.0097774625668,289.0738414650793,CMCC-CM2-SR5,ssp370,r1i1p1f1
2041,290.07556152254375,289.1071107624267,CMCC-CM2-SR5,ssp370,r1i1p1f1
2042,290.24583686652585,289.2927295369981,CMCC-CM2-SR5,ssp370,r1i1p1f1
2043,290.5604856338893,289.5941429714382,CMCC-CM2-SR5,ssp370,r1i1p1f1
2044,290.6679857682836,289.71688620711524,CMCC-CM2-SR5,ssp370,r1i1p1f1
2045,290.34900381705756,289.40911692834766,CMCC-CM2-SR5,ssp370,r1i1p1f1
2046,290.2873475578876,289.3603409586792,CMCC-CM2-SR5,ssp370,r1i1p1f1
2047,290.37953250650605,289.4476551590467,CMCC-CM2-SR5,ssp370,r1i1p1f1
2048,290.68181819519424,289.7624991023471,CMCC-CM2-SR5,ssp370,r1i1p1f1
2049,290.7454527623426,289.8476603765454,CMCC-CM2-SR5,ssp370,r1i1p1f1
2050,290.672651028961,289.75815348344224,CMCC-CM2-SR5,ssp370,r1i1p1f1
2051,290.7042726152454,289.7995947006564,CMCC-CM2-SR5,ssp370,r1i1p1f1
2052,290.92745293924634,290.01040680602836,CMCC-CM2-SR5,ssp370,r1i1p1f1
2053,291.08640966028304,290.18720114967226,CMCC-CM2-SR5,ssp370,r1i1p1f1
2054,290.89249443498795,290.00140028113685,CMCC-CM2-SR5,ssp370,r1i1p1f1
2055,290.6410458626121,289.7402742077648,CMCC-CM2-SR5,ssp370,r1i1p1f1
2056,290.6688853775701,289.7561809002146,CMCC-CM2-SR5,ssp370,r1i1p1f1
2057,290.8359818436795,289.9107235036027,CMCC-CM2-SR5,ssp370,r1i1p1f1
2058,290.921151367426,289.99081225684154,CMCC-CM2-SR5,ssp370,r1i1p1f1
2059,291.05428075558945,290.13942784000284,CMCC-CM2-SR5,ssp370,r1i1p1f1
2060,291.1800382156371,290.27790180392867,CMCC-CM2-SR5,ssp370,r1i1p1f1
2061,291.2762172919015,290.3705397238629,CMCC-CM2-SR5,ssp370,r1i1p1f1
2062,291.2376635469557,290.3666979611537,CMCC-CM2-SR5,ssp370,r1i1p1f1
2063,290.917762531473,290.05275528868924,CMCC-CM2-SR5,ssp370,r1i1p1f1
2064,290.8921594532859,290.01857552863765,CMCC-CM2-SR5,ssp370,r1i1p1f1
2065,291.0042229981521,290.1279038234114,CMCC-CM2-SR5,ssp370,r1i1p1f1
2066,291.2197765469104,290.3589244810711,CMCC-CM2-SR5,ssp370,r1i1p1f1
2067,291.37741971656715,290.5078075243144,CMCC-CM2-SR5,ssp370,r1i1p1f1
2068,291.5718730707754,290.7364833941303,CMCC-CM2-SR5,ssp370,r1i1p1f1
2069,291.4871857422671,290.62724175997573,CMCC-CM2-SR5,ssp370,r1i1p1f1
2070,291.0682912373587,290.1999447634426,CMCC-CM2-SR5,ssp370,r1i1p1f1
2071,291.0482097232019,290.1757161275769,CMCC-CM2-SR5,ssp370,r1i1p1f1
2072,291.1880124225587,290.30335893817136,CMCC-CM2-SR5,ssp370,r1i1p1f1
2073,291.24882274678305,290.37426723576783,CMCC-CM2-SR5,ssp370,r1i1p1f1
2074,291.52958025004847,290.6606183490027,CMCC-CM2-SR5,ssp370,r1i1p1f1
2075,291.71546503922434,290.8553909543561,CMCC-CM2-SR5,ssp370,r1i1p1f1
2076,291.61502169010123,290.77812784918257,CMCC-CM2-SR5,ssp370,r1i1p1f1
2077,291.4958843009699,290.65054059732745,CMCC-CM2-SR5,ssp370,r1i1p1f1
2078,291.63754538461944,290.79885203176894,CMCC-CM2-SR5,ssp370,r1i1p1f1
2079,291.65480610225944,290.8338568136036,CMCC-CM2-SR5,ssp370,r1i1p1f1
2080,291.8117215632925,290.97700327626836,CMCC-CM2-SR5,ssp370,r1i1p1f1
2081,291.9910838173693,291.17300908349733,CMCC-CM2-SR5,ssp370,r1i1p1f1
2082,291.78925867846857,290.97507655515625,CMCC-CM2-SR5,ssp370,r1i1p1f1
2083,291.7759752673754,290.9707080038908,CMCC-CM2-SR5,ssp370,r1i1p1f1
2084,291.97632215851723,291.15327473018203,CMCC-CM2-SR5,ssp370,r1i1p1f1
2085,292.20207665793475,291.3721422702601,CMCC-CM2-SR5,ssp370,r1i1p1f1
2086,292.21676931365215,291.399453478633,CMCC-CM2-SR5,ssp370,r1i1p1f1
2087,291.88487565544943,291.06553472361185,CMCC-CM2-SR5,ssp370,r1i1p1f1
2088,291.88846795009067,291.050605125172,CMCC-CM2-SR5,ssp370,r1i1p1f1
2089,292.1213031102155,291.3035180794657,CMCC-CM2-SR5,ssp370,r1i1p1f1
