year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.10023940033574,286.96348243671923,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2016,288.1309902628364,286.9834978287594,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2017,288.05479220357756,286.8882903480599,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2018,288.09756082644725,286.95135253812856,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2019,288.0417169530993,286.91792917694113,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2020,288.1570792329414,287.0415963633857,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2021,288.21837538998346,287.09193525263396,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2022,288.2121954995745,287.099420063956,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2023,288.2295197606215,287.1063553606783,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2024,288.19503013657595,287.10779505116346,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2025,288.351805296772,287.22992976039535,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2026,288.50256783152025,287.37425417351227,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2027,288.5272113240237,287.39052616730265,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2028,288.5216489546679,287.3978876155343,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2029,288.6725933188876,287.54168718761497,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2030,288.4882477612125,287.3434340640225,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2031,288.5527866049222,287.400385242155,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2032,288.6804151982871,287.56858150412575,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2033,288.6006310452241,287.5047232971107,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2034,288.70124590145645,287.5847462342334,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2035,288.72795909056526,287.6138929627466,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2036,288.83871124259207,287.7194999177808,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2037,288.9500245148998,287.8524785407193,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2038,288.98716752651876,287.8806961250758,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2039,288.81832319686634,287.7374488714031,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2040,288.82620609561883,287.7544603534937,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2041,288.9814932486448,287.8763989793799,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2042,289.06781893880316,287.93991215993174,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2043,289.04146063038814,287.9421832475932,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2044,289.0674525095097,287.97663986507473,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2045,289.18359143799927,288.11671900639163,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2046,288.9807452656024,287.8979678496688,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2047,289.05041146468454,287.93298939848063,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2048,289.30044593660114,288.1611307858528,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2049,289.1462105797748,288.0234279205566,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2050,289.2741378783223,288.179301528963,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2051,289.35791191973374,288.2635644681018,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2052,289.31644278593524,288.24045441089527,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2053,289.44340450350086,288.3603720179257,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2054,289.39946589625936,288.312623281195,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2055,289.5200517679267,288.4385323136423,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2056,289.45933915838475,288.3655050307016,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2057,289.49369352546597,288.4329307474953,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2058,289.6280023369112,288.5376883802872,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2059,289.7272068292455,288.64807266656265,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2060,289.82810874797417,288.7751457560544,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2061,289.8042406558357,288.74755823295135,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2062,289.87075038424155,288.7930561626291,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2063,289.94156130535686,288.8472143450047,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2064,289.8798915292784,288.81069904188814,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2065,289.94141505389405,288.89776095046426,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2066,289.8728049757066,288.80499078960173,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2067,290.10765677074806,289.04637845153223,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2068,290.0888447545696,289.02312287715347,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2069,290.15245341922514,289.09834178277043,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2070,290.2631439929645,289.2093069522629,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2071,290.27763375212004,289.25576460328534,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2072,290.41037821872453,289.4072926970069,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2073,290.3646451048739,289.35285661418095,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2074,290.4919277328605,289.4716698715946,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2075,290.4400554221314,289.43616343215257,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2076,290.55529342013955,289.53591268067623,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2077,290.5726595958644,289.56259536800025,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2078,290.59504685450736,289.5895129986198,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2079,290.66500989202746,289.6606208539411,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2080,290.60132446524074,289.60949622617136,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2081,290.7269650245717,289.7147209196743,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2082,290.9544774516404,289.9552131664794,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2083,290.7927145697406,289.79799526545264,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2084,290.84058933792784,289.852922612459,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2085,291.00092442299444,290.00393814951656,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2086,291.02841412720727,290.02435567034183,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2087,291.1478344458839,290.14607739268257,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2088,291.2274047593611,290.21946115966966,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2089,291.17810682445196,290.1833988566032,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2090,291.14583947364923,290.1558323995933,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2091,291.185471848797,290.2320721914651,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2092,291.31674514326244,290.3561461676419,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2093,291.4347118945094,290.46794046132237,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2094,291.28737333704856,290.3373542954899,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2095,291.4327909715799,290.4703525857985,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2096,291.47307148632257,290.50995970193753,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2097,291.6760812443311,290.7131642184808,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2098,291.67790850935194,290.7198044808447,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2099,291.6328458404198,290.6805554896831,CNRM-CM6-1-HR,ssp370,r1i1p1f2
2100,291.74730889763885,290.79756915075427,CNRM-CM6-1-HR,ssp370,r1i1p1f2
