year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.2764039393285,288.2560429251284,CanESM5-CanOE,ssp126,r3i1p2f1
2016,289.41285912761674,288.4026852141673,CanESM5-CanOE,ssp126,r3i1p2f1
2017,289.5056142007819,288.49911707479623,CanESM5-CanOE,ssp126,r3i1p2f1
2018,289.4175663836271,288.39157329065097,CanESM5-CanOE,ssp126,r3i1p2f1
2019,289.35484218759575,288.3495366821197,CanESM5-CanOE,ssp126,r3i1p2f1
2020,289.56532695633956,288.5181288372504,CanESM5-CanOE,ssp126,r3i1p2f1
2021,289.6397917558413,288.62128258755916,CanESM5-CanOE,ssp126,r3i1p2f1
2022,289.58693487407555,288.58026880909256,CanESM5-CanOE,ssp126,r3i1p2f1
2023,289.6988983467812,288.69385103592725,CanESM5-CanOE,ssp126,r3i1p2f1
2024,289.5683126701858,288.56330522824317,CanESM5-CanOE,ssp126,r3i1p2f1
2025,289.58322322912596,288.6066889903153,CanESM5-CanOE,ssp126,r3i1p2f1
2026,289.82343327819103,288.83501804507097,CanESM5-CanOE,ssp126,r3i1p2f1
2027,289.79172676615383,288.80324051502856,CanESM5-CanOE,ssp126,r3i1p2f1
2028,289.7048538592476,288.7000016846403,CanESM5-CanOE,ssp126,r3i1p2f1
2029,289.83294703238045,288.8478588173386,CanESM5-CanOE,ssp126,r3i1p2f1
2030,289.85238324611976,288.87752723048743,CanESM5-CanOE,ssp126,r3i1p2f1
2031,289.6783913836065,288.66588557208945,CanESM5-CanOE,ssp126,r3i1p2f1
2032,289.72872369134546,288.71487107794707,CanESM5-CanOE,ssp126,r3i1p2f1
2033,289.7263950968785,288.76789369480275,CanESM5-CanOE,ssp126,r3i1p2f1
2034,289.87888548214414,288.93714508340514,CanESM5-CanOE,ssp126,r3i1p2f1
2035,289.8761859438802,288.9390999155374,CanESM5-CanOE,ssp126,r3i1p2f1
2036,290.0301380460694,289.0887751553976,CanESM5-CanOE,ssp126,r3i1p2f1
2037,289.99208517805084,289.05505352881715,CanESM5-CanOE,ssp126,r3i1p2f1
2038,290.21591180022494,289.2705749722444,CanESM5-CanOE,ssp126,r3i1p2f1
2039,290.1980161022986,289.23996171978115,CanESM5-CanOE,ssp126,r3i1p2f1
2040,290.2279231043521,289.2741224690746,CanESM5-CanOE,ssp126,r3i1p2f1
2041,290.1422493598125,289.1859766572215,CanESM5-CanOE,ssp126,r3i1p2f1
2042,290.1594240907127,289.23347097193994,CanESM5-CanOE,ssp126,r3i1p2f1
2043,290.3028451755508,289.3506437129034,CanESM5-CanOE,ssp126,r3i1p2f1
2044,290.25919143771637,289.31415218270683,CanESM5-CanOE,ssp126,r3i1p2f1
2045,290.15263292152554,289.1811093170942,CanESM5-CanOE,ssp126,r3i1p2f1
2046,290.3096498227263,289.3734385482622,CanESM5-CanOE,ssp126,r3i1p2f1
2047,290.47447415897847,289.5495158409687,CanESM5-CanOE,ssp126,r3i1p2f1
2048,290.2457931381442,289.28879588922734,CanESM5-CanOE,ssp126,r3i1p2f1
2049,290.31785002705345,289.3506689805921,CanESM5-CanOE,ssp126,r3i1p2f1
2050,290.33084677933675,289.4089880519066,CanESM5-CanOE,ssp126,r3i1p2f1
2051,290.14830004026595,289.2130369048887,CanESM5-CanOE,ssp126,r3i1p2f1
2052,290.24535974044227,289.3071359405435,CanESM5-CanOE,ssp126,r3i1p2f1
2053,290.3830192043046,289.46599053263685,CanESM5-CanOE,ssp126,r3i1p2f1
2054,290.40883762536885,289.48776479575065,CanESM5-CanOE,ssp126,r3i1p2f1
2055,290.3757225040208,289.45940279462604,CanESM5-CanOE,ssp126,r3i1p2f1
2056,290.4405280816104,289.520829964027,CanESM5-CanOE,ssp126,r3i1p2f1
2057,290.5895630947803,289.67117745379846,CanESM5-CanOE,ssp126,r3i1p2f1
2058,290.388132751507,289.4938099353489,CanESM5-CanOE,ssp126,r3i1p2f1
2059,290.3297757351512,289.43005029994055,CanESM5-CanOE,ssp126,r3i1p2f1
2060,290.3673205724926,289.469064587268,CanESM5-CanOE,ssp126,r3i1p2f1
2061,290.2131381639597,289.3092317899932,CanESM5-CanOE,ssp126,r3i1p2f1
2062,290.3762655297832,289.4636226266345,CanESM5-CanOE,ssp126,r3i1p2f1
2063,290.3555270624789,289.43789613848804,CanESM5-CanOE,ssp126,r3i1p2f1
2064,290.1265890519197,289.1974362389058,CanESM5-CanOE,ssp126,r3i1p2f1
2065,290.33180419659146,289.39524802391446,CanESM5-CanOE,ssp126,r3i1p2f1
2066,290.3863238093867,289.45714052837343,CanESM5-CanOE,ssp126,r3i1p2f1
2067,290.4773238823487,289.54246751484874,CanESM5-CanOE,ssp126,r3i1p2f1
2068,290.30409383262315,289.3985343250388,CanESM5-CanOE,ssp126,r3i1p2f1
2069,290.2856251680629,289.35510113835016,CanESM5-CanOE,ssp126,r3i1p2f1
2070,290.431788763982,289.52536761191993,CanESM5-CanOE,ssp126,r3i1p2f1
2071,290.4876442945258,289.58235193280785,CanESM5-CanOE,ssp126,r3i1p2f1
2072,290.3974664377865,289.48424739246997,CanESM5-CanOE,ssp126,r3i1p2f1
2073,290.50303796058864,289.63674419293443,CanESM5-CanOE,ssp126,r3i1p2f1
2074,290.46667496731453,289.5734670140573,CanESM5-CanOE,ssp126,r3i1p2f1
2075,290.54050234202793,289.6584455608718,CanESM5-CanOE,ssp126,r3i1p2f1
2076,290.5553289722017,289.6649721754615,CanESM5-CanOE,ssp126,r3i1p2f1
2077,290.40966374989955,289.4996904776156,CanESM5-CanOE,ssp126,r3i1p2f1
2078,290.4675396411146,289.5617895165318,CanESM5-CanOE,ssp126,r3i1p2f1
2079,290.35571069984434,289.46053396563997,CanESM5-CanOE,ssp126,r3i1p2f1
2080,290.26025362806223,289.3687362019096,CanESM5-CanOE,ssp126,r3i1p2f1
2081,290.30749088203646,289.3914002946407,CanESM5-CanOE,ssp126,r3i1p2f1
2082,290.3856374097689,289.4614095006619,CanESM5-CanOE,ssp126,r3i1p2f1
2083,290.37316442919024,289.4504339748012,CanESM5-CanOE,ssp126,r3i1p2f1
2084,290.5405690916622,289.62749132550977,CanESM5-CanOE,ssp126,r3i1p2f1
2085,290.4223403940252,289.53112874421413,CanESM5-CanOE,ssp126,r3i1p2f1
2086,290.2976300379452,289.3858378825147,CanESM5-CanOE,ssp126,r3i1p2f1
2087,290.19238505618216,289.2966801676825,CanESM5-CanOE,ssp126,r3i1p2f1
2088,290.4479459159378,289.53509432418355,CanESM5-CanOE,ssp126,r3i1p2f1
2089,290.4011818282329,289.49440428241,CanESM5-CanOE,ssp126,r3i1p2f1
2090,290.32051365735373,289.4232347755186,CanESM5-CanOE,ssp126,r3i1p2f1
2091,290.3366481085964,289.42121174234404,CanESM5-CanOE,ssp126,r3i1p2f1
2092,290.20261128598327,289.30002055647026,CanESM5-CanOE,ssp126,r3i1p2f1
2093,290.37462406019614,289.47701465106536,CanESM5-CanOE,ssp126,r3i1p2f1
2094,290.47298932391936,289.55425022586223,CanESM5-CanOE,ssp126,r3i1p2f1
2095,290.3264787763205,289.39477116655416,CanESM5-CanOE,ssp126,r3i1p2f1
2096,290.31505754445004,289.41779562239424,CanESM5-CanOE,ssp126,r3i1p2f1
2097,290.2289092143312,289.33008429620327,CanESM5-CanOE,ssp126,r3i1p2f1
2098,290.3155701516012,289.4187775161265,CanESM5-CanOE,ssp126,r3i1p2f1
2099,290.2287896066084,289.3203001086165,CanESM5-CanOE,ssp126,r3i1p2f1
2100,290.1084250544037,289.2053046642514,CanESM5-CanOE,ssp126,r3i1p2f1
