year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.5572978464291,288.54874814272836,CanESM5,ssp370,r10i1p1f1
2016,289.4265967793107,288.4260810474813,CanESM5,ssp370,r10i1p1f1
2017,289.480258818542,288.4841437591248,CanESM5,ssp370,r10i1p1f1
2018,289.4881030535561,288.51662816289405,CanESM5,ssp370,r10i1p1f1
2019,289.5532513766795,288.58247988259967,CanESM5,ssp370,r10i1p1f1
2020,289.6555234951469,288.67759996045953,CanESM5,ssp370,r10i1p1f1
2021,289.7312586852735,288.7445015001903,CanESM5,ssp370,r10i1p1f1
2022,289.7075147355762,288.7265735151431,CanESM5,ssp370,r10i1p1f1
2023,289.7507477811235,288.75394460771736,CanESM5,ssp370,r10i1p1f1
2024,289.798057007448,288.8059832957113,CanESM5,ssp370,r10i1p1f1
2025,289.89509106925516,288.9405257185717,CanESM5,ssp370,r10i1p1f1
2026,289.8434749923212,288.9028276731325,CanESM5,ssp370,r10i1p1f1
2027,289.9394935947874,288.9879169183982,CanESM5,ssp370,r10i1p1f1
2028,289.94262443805883,288.95556180615154,CanESM5,ssp370,r10i1p1f1
2029,289.953783227657,288.97182770543225,CanESM5,ssp370,r10i1p1f1
2030,289.9359567130368,288.9747514922347,CanESM5,ssp370,r10i1p1f1
2031,290.0154164456237,289.06474684501495,CanESM5,ssp370,r10i1p1f1
2032,290.0509411841206,289.089582248598,CanESM5,ssp370,r10i1p1f1
2033,290.1096661258747,289.130999242118,CanESM5,ssp370,r10i1p1f1
2034,290.2194495518279,289.23144136511524,CanESM5,ssp370,r10i1p1f1
2035,290.25021460317146,289.2884780832242,CanESM5,ssp370,r10i1p1f1
2036,290.22057850989336,289.2707041714078,CanESM5,ssp370,r10i1p1f1
2037,290.388592337137,289.443941792019,CanESM5,ssp370,r10i1p1f1
2038,290.35910495172095,289.4609537850754,CanESM5,ssp370,r10i1p1f1
2039,290.6528200675068,289.7443574651195,CanESM5,ssp370,r10i1p1f1
2040,290.6651094488702,289.7380570463532,CanESM5,ssp370,r10i1p1f1
2041,290.5437227091944,289.6080228066723,CanESM5,ssp370,r10i1p1f1
2042,290.4493767624435,289.5070844836941,CanESM5,ssp370,r10i1p1f1
2043,290.71689389355976,289.8029595748118,CanESM5,ssp370,r10i1p1f1
2044,290.78389472560787,289.8565169176505,CanESM5,ssp370,r10i1p1f1
