year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.50748223170666,288.4175915146048,EC-Earth3-AerChem,ssp370,r1i1p1f1
2016,289.3843134983056,288.2966292924994,EC-Earth3-AerChem,ssp370,r1i1p1f1
2017,289.34467974405834,288.2927444282573,EC-Earth3-AerChem,ssp370,r1i1p1f1
2018,289.4111392634444,288.37680972900927,EC-Earth3-AerChem,ssp370,r1i1p1f1
2019,289.5071456021032,288.463313797974,EC-Earth3-AerChem,ssp370,r1i1p1f1
2020,289.40663620077527,288.3458249572047,EC-Earth3-AerChem,ssp370,r1i1p1f1
2021,289.49867005738264,288.41303069354444,EC-Earth3-AerChem,ssp370,r1i1p1f1
2022,289.6100722684829,288.5082541876823,EC-Earth3-AerChem,ssp370,r1i1p1f1
2023,289.77235050767206,288.682435351641,EC-Earth3-AerChem,ssp370,r1i1p1f1
2024,289.56249358379256,288.4709028005545,EC-Earth3-AerChem,ssp370,r1i1p1f1
2025,289.57514655061163,288.45375562607563,EC-Earth3-AerChem,ssp370,r1i1p1f1
2026,289.6544709933688,288.5539792100656,EC-Earth3-AerChem,ssp370,r1i1p1f1
2027,289.87278629338675,288.7423818356616,EC-Earth3-AerChem,ssp370,r1i1p1f1
2028,289.887513786162,288.8070660030352,EC-Earth3-AerChem,ssp370,r1i1p1f1
2029,289.7701028588131,288.67307272060077,EC-Earth3-AerChem,ssp370,r1i1p1f1
2030,289.728169873836,288.6633882854016,EC-Earth3-AerChem,ssp370,r1i1p1f1
2031,289.95574400244163,288.8809368602852,EC-Earth3-AerChem,ssp370,r1i1p1f1
2032,289.9943229262421,288.9075617166243,EC-Earth3-AerChem,ssp370,r1i1p1f1
2033,289.84875653597067,288.76503970300195,EC-Earth3-AerChem,ssp370,r1i1p1f1
2034,289.80447910153515,288.7239373039273,EC-Earth3-AerChem,ssp370,r1i1p1f1
2035,290.043954020883,288.97450717229026,EC-Earth3-AerChem,ssp370,r1i1p1f1
2036,290.1951217468093,289.1205534758734,EC-Earth3-AerChem,ssp370,r1i1p1f1
2037,290.00400845166183,288.898744008238,EC-Earth3-AerChem,ssp370,r1i1p1f1
2038,289.950231793227,288.8479379391123,EC-Earth3-AerChem,ssp370,r1i1p1f1
2039,290.10931779379155,289.04201845781915,EC-Earth3-AerChem,ssp370,r1i1p1f1
2040,290.2071033718995,289.154991461149,EC-Earth3-AerChem,ssp370,r1i1p1f1
2041,290.2760737176923,289.250907649466,EC-Earth3-AerChem,ssp370,r1i1p1f1
2042,290.2251994233389,289.2061269552037,EC-Earth3-AerChem,ssp370,r1i1p1f1
2043,290.53511701883906,289.5042742469149,EC-Earth3-AerChem,ssp370,r1i1p1f1
2044,290.354225066668,289.3075597487343,EC-Earth3-AerChem,ssp370,r1i1p1f1
2045,290.1941983527841,289.16558585754115,EC-Earth3-AerChem,ssp370,r1i1p1f1
2046,290.16989028842045,289.1071382714746,EC-Earth3-AerChem,ssp370,r1i1p1f1
2047,290.32257461647737,289.25267237376545,EC-Earth3-AerChem,ssp370,r1i1p1f1
2048,290.592113398622,289.5423187088716,EC-Earth3-AerChem,ssp370,r1i1p1f1
2049,290.3499811753612,289.2209262970514,EC-Earth3-AerChem,ssp370,r1i1p1f1
2050,290.42062277466675,289.3144194492359,EC-Earth3-AerChem,ssp370,r1i1p1f1
2051,290.4792125008377,289.3975377656981,EC-Earth3-AerChem,ssp370,r1i1p1f1
2052,290.59224181582186,289.53046078317965,EC-Earth3-AerChem,ssp370,r1i1p1f1
2053,290.56538496493425,289.5284305383098,EC-Earth3-AerChem,ssp370,r1i1p1f1
2054,290.5706602647107,289.548477471221,EC-Earth3-AerChem,ssp370,r1i1p1f1
2055,290.6217163084608,289.6005287504286,EC-Earth3-AerChem,ssp370,r1i1p1f1
2056,290.74860374419995,289.7104674498163,EC-Earth3-AerChem,ssp370,r1i1p1f1
2057,290.97208500053034,289.93246453188704,EC-Earth3-AerChem,ssp370,r1i1p1f1
2058,290.84640299172463,289.78723209901017,EC-Earth3-AerChem,ssp370,r1i1p1f1
2059,290.7900506408037,289.7238747229244,EC-Earth3-AerChem,ssp370,r1i1p1f1
2060,290.896860817456,289.8664523158288,EC-Earth3-AerChem,ssp370,r1i1p1f1
2061,291.11838973340633,290.0737936013261,EC-Earth3-AerChem,ssp370,r1i1p1f1
2062,291.08703209330076,290.0712249617932,EC-Earth3-AerChem,ssp370,r1i1p1f1
2063,291.0930840890496,290.09416363903114,EC-Earth3-AerChem,ssp370,r1i1p1f1
2064,291.1818516117945,290.2138842265833,EC-Earth3-AerChem,ssp370,r1i1p1f1
2065,291.40333560117887,290.43928753035584,EC-Earth3-AerChem,ssp370,r1i1p1f1
2066,291.31917825870016,290.3796912775116,EC-Earth3-AerChem,ssp370,r1i1p1f1
2067,291.2665106704542,290.3158131807532,EC-Earth3-AerChem,ssp370,r1i1p1f1
2068,291.1837379859829,290.23206695374546,EC-Earth3-AerChem,ssp370,r1i1p1f1
2069,291.56242794378915,290.6161901623267,EC-Earth3-AerChem,ssp370,r1i1p1f1
2070,291.8640041584816,290.9047611071906,EC-Earth3-AerChem,ssp370,r1i1p1f1
2071,291.4726376763796,290.5205789166842,EC-Earth3-AerChem,ssp370,r1i1p1f1
2072,291.5604226529866,290.62621227494355,EC-Earth3-AerChem,ssp370,r1i1p1f1
2073,291.9092938644805,290.97056015328786,EC-Earth3-AerChem,ssp370,r1i1p1f1
2074,291.70486918450797,290.7938567956755,EC-Earth3-AerChem,ssp370,r1i1p1f1
2075,291.67846117978166,290.7465771762141,EC-Earth3-AerChem,ssp370,r1i1p1f1
2076,291.90174911563946,290.9831191356545,EC-Earth3-AerChem,ssp370,r1i1p1f1
2077,291.89844335052277,290.9840358933828,EC-Earth3-AerChem,ssp370,r1i1p1f1
2078,291.97743669100703,291.04207115030374,EC-Earth3-AerChem,ssp370,r1i1p1f1
2079,292.0686093406633,291.1718964232072,EC-Earth3-AerChem,ssp370,r1i1p1f1
2080,292.26324648841023,291.3587581941902,EC-Earth3-AerChem,ssp370,r1i1p1f1
2081,292.0165476031167,291.1097692723188,EC-Earth3-AerChem,ssp370,r1i1p1f1
2082,292.00377808895126,291.0773832671151,EC-Earth3-AerChem,ssp370,r1i1p1f1
2083,292.1770568490071,291.2392925400066,EC-Earth3-AerChem,ssp370,r1i1p1f1
2084,292.25822784055646,291.3475634608231,EC-Earth3-AerChem,ssp370,r1i1p1f1
2085,292.4476231877655,291.52123999679475,EC-Earth3-AerChem,ssp370,r1i1p1f1
2086,292.6272342122481,291.70655828119783,EC-Earth3-AerChem,ssp370,r1i1p1f1
2087,292.24425361237013,291.3524081276633,EC-Earth3-AerChem,ssp370,r1i1p1f1
2088,292.25213424006057,291.3601552132024,EC-Earth3-AerChem,ssp370,r1i1p1f1
2089,292.44087406179455,291.540024139032,EC-Earth3-AerChem,ssp370,r1i1p1f1
2090,292.8804183524478,292.013935047169,EC-Earth3-AerChem,ssp370,r1i1p1f1
2091,292.87286520113133,292.0046014877932,EC-Earth3-AerChem,ssp370,r1i1p1f1
2092,292.661848031438,291.8004086460079,EC-Earth3-AerChem,ssp370,r1i1p1f1
2093,292.6679422390248,291.8383833149109,EC-Earth3-AerChem,ssp370,r1i1p1f1
2094,292.8944299928271,292.07929092130337,EC-Earth3-AerChem,ssp370,r1i1p1f1
2095,293.1015409790581,292.2613595253437,EC-Earth3-AerChem,ssp370,r1i1p1f1
2096,292.89150994722195,292.05697410051846,EC-Earth3-AerChem,ssp370,r1i1p1f1
2097,292.92629482584533,292.0883999201292,EC-Earth3-AerChem,ssp370,r1i1p1f1
2098,293.03687091263043,292.2326368848735,EC-Earth3-AerChem,ssp370,r1i1p1f1
2099,293.3517520615529,292.5551534492892,EC-Earth3-AerChem,ssp370,r1i1p1f1
2100,293.3481545240279,292.54479534329573,EC-Earth3-AerChem,ssp370,r1i1p1f1
