year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.9970339020726,288.90020845378785,EC-Earth3-CC,ssp245,r1i1p1f1
2016,290.09563163823765,288.97159302500637,EC-Earth3-CC,ssp245,r1i1p1f1
2017,289.91788557413986,288.7599898912701,EC-Earth3-CC,ssp245,r1i1p1f1
2018,289.7378315103405,288.62395303441315,EC-Earth3-CC,ssp245,r1i1p1f1
2019,289.96301140630936,288.838376030195,EC-Earth3-CC,ssp245,r1i1p1f1
2020,289.9816596327126,288.8751399110595,EC-Earth3-CC,ssp245,r1i1p1f1
2021,289.7820793950872,288.6411059726024,EC-Earth3-CC,ssp245,r1i1p1f1
2022,289.78855848806865,288.628984794428,EC-Earth3-CC,ssp245,r1i1p1f1
2023,290.0822316998646,288.99216642693557,EC-Earth3-CC,ssp245,r1i1p1f1
2024,290.0951221058083,288.958391621809,EC-Earth3-CC,ssp245,r1i1p1f1
2025,289.7385930666583,288.60643108731557,EC-Earth3-CC,ssp245,r1i1p1f1
2026,289.8629672173174,288.7662924702395,EC-Earth3-CC,ssp245,r1i1p1f1
2027,290.2274964585146,289.0935390276448,EC-Earth3-CC,ssp245,r1i1p1f1
2028,290.1198596545852,288.9954431064572,EC-Earth3-CC,ssp245,r1i1p1f1
2029,289.9692236329365,288.87054023448576,EC-Earth3-CC,ssp245,r1i1p1f1
2030,289.97702438460533,288.88168727281464,EC-Earth3-CC,ssp245,r1i1p1f1
2031,290.1477632988942,289.0458999946553,EC-Earth3-CC,ssp245,r1i1p1f1
2032,290.33824987915636,289.2474010977926,EC-Earth3-CC,ssp245,r1i1p1f1
2033,290.08390575866406,288.99006705562493,EC-Earth3-CC,ssp245,r1i1p1f1
2034,290.1337390909523,289.03369789251593,EC-Earth3-CC,ssp245,r1i1p1f1
2035,290.2389150294489,289.16309694864896,EC-Earth3-CC,ssp245,r1i1p1f1
2036,290.1905783338971,289.06941686017205,EC-Earth3-CC,ssp245,r1i1p1f1
2037,290.1600775464942,289.06625142598136,EC-Earth3-CC,ssp245,r1i1p1f1
2038,290.22009672054173,289.1081203938717,EC-Earth3-CC,ssp245,r1i1p1f1
2039,290.44950060627855,289.3639065002996,EC-Earth3-CC,ssp245,r1i1p1f1
2040,290.4377907907979,289.35774437458485,EC-Earth3-CC,ssp245,r1i1p1f1
2041,290.428883199314,289.37939088865295,EC-Earth3-CC,ssp245,r1i1p1f1
2042,290.3770976809811,289.32201254912525,EC-Earth3-CC,ssp245,r1i1p1f1
2043,290.3943521766247,289.3363426679282,EC-Earth3-CC,ssp245,r1i1p1f1
2044,290.2416775557528,289.1702396424548,EC-Earth3-CC,ssp245,r1i1p1f1
2045,290.4193927630189,289.33527912253334,EC-Earth3-CC,ssp245,r1i1p1f1
2046,290.45299167302437,289.3756900889807,EC-Earth3-CC,ssp245,r1i1p1f1
2047,290.64895349534055,289.59209787039055,EC-Earth3-CC,ssp245,r1i1p1f1
2048,290.6603802889771,289.63122317750503,EC-Earth3-CC,ssp245,r1i1p1f1
2049,290.48407203280254,289.4291498225311,EC-Earth3-CC,ssp245,r1i1p1f1
2050,290.49048203467737,289.4288565682517,EC-Earth3-CC,ssp245,r1i1p1f1
2051,290.7369002051504,289.67712100326446,EC-Earth3-CC,ssp245,r1i1p1f1
2052,290.6167838130965,289.5301678807683,EC-Earth3-CC,ssp245,r1i1p1f1
2053,290.5027192094782,289.4216422024842,EC-Earth3-CC,ssp245,r1i1p1f1
2054,290.6261278097809,289.56066088455714,EC-Earth3-CC,ssp245,r1i1p1f1
2055,290.6535107592364,289.62968243862395,EC-Earth3-CC,ssp245,r1i1p1f1
2056,290.6508283602421,289.6161909372443,EC-Earth3-CC,ssp245,r1i1p1f1
2057,291.0091500064405,289.95255860073433,EC-Earth3-CC,ssp245,r1i1p1f1
2058,290.8871476647468,289.8488517668754,EC-Earth3-CC,ssp245,r1i1p1f1
2059,290.65813338468786,289.6063947355018,EC-Earth3-CC,ssp245,r1i1p1f1
2060,290.64055813155346,289.6082444803249,EC-Earth3-CC,ssp245,r1i1p1f1
2061,290.82283046357134,289.7639723370177,EC-Earth3-CC,ssp245,r1i1p1f1
2062,290.79883668267576,289.709705135793,EC-Earth3-CC,ssp245,r1i1p1f1
2063,290.7127307484796,289.6527943516062,EC-Earth3-CC,ssp245,r1i1p1f1
2064,290.9774569015327,289.9138891483757,EC-Earth3-CC,ssp245,r1i1p1f1
2065,290.8796164780231,289.8117430973003,EC-Earth3-CC,ssp245,r1i1p1f1
2066,290.9063141637912,289.83545400323595,EC-Earth3-CC,ssp245,r1i1p1f1
2067,291.07933430495143,290.0223098816231,EC-Earth3-CC,ssp245,r1i1p1f1
2068,291.1151421667351,290.06761018417603,EC-Earth3-CC,ssp245,r1i1p1f1
2069,290.8958797824235,289.8679178756652,EC-Earth3-CC,ssp245,r1i1p1f1
2070,291.1333646340696,290.0760887037239,EC-Earth3-CC,ssp245,r1i1p1f1
2071,291.19856981415876,290.1690615322567,EC-Earth3-CC,ssp245,r1i1p1f1
2072,291.01225340931325,290.02802436502856,EC-Earth3-CC,ssp245,r1i1p1f1
2073,291.16298040932065,290.14103238841585,EC-Earth3-CC,ssp245,r1i1p1f1
2074,291.14534947994093,290.1488948085969,EC-Earth3-CC,ssp245,r1i1p1f1
2075,291.1466618308945,290.1796889372657,EC-Earth3-CC,ssp245,r1i1p1f1
2076,291.18010197221275,290.21882053989975,EC-Earth3-CC,ssp245,r1i1p1f1
2077,291.36796195085793,290.4019807675099,EC-Earth3-CC,ssp245,r1i1p1f1
2078,291.3124829769248,290.3501321888704,EC-Earth3-CC,ssp245,r1i1p1f1
2079,290.9815188893743,289.98592340818044,EC-Earth3-CC,ssp245,r1i1p1f1
2080,291.11114946127077,290.11410463208074,EC-Earth3-CC,ssp245,r1i1p1f1
2081,291.3607819816438,290.40535852406,EC-Earth3-CC,ssp245,r1i1p1f1
2082,291.46386151455056,290.50049083229953,EC-Earth3-CC,ssp245,r1i1p1f1
2083,291.4128071273999,290.4475629983773,EC-Earth3-CC,ssp245,r1i1p1f1
2084,291.37433200049907,290.3976453354772,EC-Earth3-CC,ssp245,r1i1p1f1
2085,291.4366821568771,290.45776428302963,EC-Earth3-CC,ssp245,r1i1p1f1
2086,291.5354844718842,290.5726675517453,EC-Earth3-CC,ssp245,r1i1p1f1
2087,291.448621649108,290.5079205487304,EC-Earth3-CC,ssp245,r1i1p1f1
2088,291.4447198885834,290.47611164846325,EC-Earth3-CC,ssp245,r1i1p1f1
2089,291.47628573769873,290.53065150065686,EC-Earth3-CC,ssp245,r1i1p1f1
2090,291.5219052213932,290.5477353402165,EC-Earth3-CC,ssp245,r1i1p1f1
2091,291.57084684687516,290.5926993103497,EC-Earth3-CC,ssp245,r1i1p1f1
2092,291.4364813976465,290.4783249661693,EC-Earth3-CC,ssp245,r1i1p1f1
2093,291.51079180572657,290.55929902148523,EC-Earth3-CC,ssp245,r1i1p1f1
2094,291.61723189079476,290.6503487782368,EC-Earth3-CC,ssp245,r1i1p1f1
2095,291.68985552199405,290.72765766547917,EC-Earth3-CC,ssp245,r1i1p1f1
2096,291.40654141303276,290.4348530351259,EC-Earth3-CC,ssp245,r1i1p1f1
2097,291.47467385700554,290.51109799809393,EC-Earth3-CC,ssp245,r1i1p1f1
2098,291.55646149606434,290.5919693834007,EC-Earth3-CC,ssp245,r1i1p1f1
2099,291.80817451580265,290.8532576144509,EC-Earth3-CC,ssp245,r1i1p1f1
