year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.1613444433959,287.9821452570386,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2016,289.05731452038185,287.88193003880986,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2017,289.1655056077626,287.99246111450617,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2018,289.1382193725366,287.9536240437977,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2019,289.1827071371504,288.00341021750364,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2020,289.0807797207598,287.8812032564206,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2021,289.1888220483809,288.0122577684054,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2022,289.4278916426965,288.2638095820558,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2023,289.1859711931105,288.0268937984855,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2024,289.2451214793484,288.0875673185831,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2025,289.2616244142413,288.1130183287311,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2026,289.3274449922115,288.1767850005512,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2027,289.355950851919,288.1816022727439,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2028,289.1137901197133,287.95403646948387,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2029,289.2487618175959,288.0948804532188,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2030,289.3849687987381,288.27709523547986,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2031,289.5103008530584,288.3529797618247,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2032,289.3320253890552,288.1976650635328,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2033,289.53263079309824,288.4191070287073,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2034,289.48710316830835,288.37437528171,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2035,289.4311352659386,288.3229434815667,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2036,289.5023583833154,288.3998737957551,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2037,289.62232763943837,288.4906888407769,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2038,289.5628442088501,288.4399704033637,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2039,289.6587004449018,288.4971244731746,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2040,289.60383772889855,288.4742143590556,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2041,289.7489149984715,288.614802776334,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2042,289.9597020944475,288.8065458451456,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2043,289.7843466064302,288.63202416660374,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2044,289.8510012813056,288.738431995159,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2045,289.7094669758859,288.58903811098406,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2046,289.7730639093654,288.6433440013774,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2047,289.8896464688217,288.7636380343147,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2048,289.8794051376604,288.74718111948283,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2049,290.01200043206,288.8434722932652,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2050,290.06716557436744,288.943762511701,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2051,290.08832907914183,288.9877445143818,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
2052,289.9628683889925,288.79506211754483,EC-Earth3-Veg-LR,ssp370,r1i1p1f1
