year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.7634926524231,288.6178756518777,EC-Earth3-Veg,ssp126,r2i1p1f1
2016,289.3990060566122,288.2492802804686,EC-Earth3-Veg,ssp126,r2i1p1f1
2017,289.4737193317377,288.3220281933306,EC-Earth3-Veg,ssp126,r2i1p1f1
2018,289.62527673894834,288.51194979943335,EC-Earth3-Veg,ssp126,r2i1p1f1
2019,289.7229897285359,288.62323658016965,EC-Earth3-Veg,ssp126,r2i1p1f1
2020,289.4857080858184,288.35067647825963,EC-Earth3-Veg,ssp126,r2i1p1f1
2021,289.34541368206817,288.2100688527294,EC-Earth3-Veg,ssp126,r2i1p1f1
2022,289.5883271815585,288.4783713099694,EC-Earth3-Veg,ssp126,r2i1p1f1
2023,289.70212239397426,288.5985139633289,EC-Earth3-Veg,ssp126,r2i1p1f1
2024,289.7473776431615,288.63100551062746,EC-Earth3-Veg,ssp126,r2i1p1f1
2025,289.7601433984218,288.6017258860793,EC-Earth3-Veg,ssp126,r2i1p1f1
2026,289.8908843384711,288.7515004921461,EC-Earth3-Veg,ssp126,r2i1p1f1
2027,289.73972089152335,288.62640621354547,EC-Earth3-Veg,ssp126,r2i1p1f1
2028,289.80925749106007,288.70926587322435,EC-Earth3-Veg,ssp126,r2i1p1f1
2029,289.9703756902753,288.8863619882319,EC-Earth3-Veg,ssp126,r2i1p1f1
2030,289.8216931764671,288.7199680500513,EC-Earth3-Veg,ssp126,r2i1p1f1
2031,289.7160055601036,288.6217967956446,EC-Earth3-Veg,ssp126,r2i1p1f1
2032,289.84355047128054,288.74956008469854,EC-Earth3-Veg,ssp126,r2i1p1f1
2033,289.823865958892,288.74324877346874,EC-Earth3-Veg,ssp126,r2i1p1f1
2034,289.89977285006256,288.8146422673744,EC-Earth3-Veg,ssp126,r2i1p1f1
2035,290.00225625990737,288.9164974065667,EC-Earth3-Veg,ssp126,r2i1p1f1
2036,290.0726849980803,289.02330153236363,EC-Earth3-Veg,ssp126,r2i1p1f1
