year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.4647813982417,288.3570333331333,EC-Earth3,ssp370,r1i1p1f1
2016,289.54110501519085,288.45288766378906,EC-Earth3,ssp370,r1i1p1f1
2017,289.48881667165347,288.3956188782301,EC-Earth3,ssp370,r1i1p1f1
2018,289.5489737155283,288.4508629443116,EC-Earth3,ssp370,r1i1p1f1
2019,289.77828407436306,288.6640079526106,EC-Earth3,ssp370,r1i1p1f1
2020,289.5623902988036,288.44052444237946,EC-Earth3,ssp370,r1i1p1f1
2021,289.7423936568528,288.637583378091,EC-Earth3,ssp370,r1i1p1f1
2022,289.86265332315395,288.7508221454958,EC-Earth3,ssp370,r1i1p1f1
2023,289.84354245952676,288.7515561678013,EC-Earth3,ssp370,r1i1p1f1
2024,289.7164454887944,288.5779951466055,EC-Earth3,ssp370,r1i1p1f1
2025,289.67440686992165,288.5434692729595,EC-Earth3,ssp370,r1i1p1f1
2026,289.94318145755864,288.84080474641496,EC-Earth3,ssp370,r1i1p1f1
2027,289.9843034916714,288.8777988691174,EC-Earth3,ssp370,r1i1p1f1
2028,289.841636661667,288.77630398715246,EC-Earth3,ssp370,r1i1p1f1
2029,289.92390615335404,288.8345270828367,EC-Earth3,ssp370,r1i1p1f1
2030,289.95067416533436,288.85090802999275,EC-Earth3,ssp370,r1i1p1f1
2031,289.86766402856085,288.7858045677025,EC-Earth3,ssp370,r1i1p1f1
2032,289.8428297435094,288.7177383290919,EC-Earth3,ssp370,r1i1p1f1
2033,290.1752643103773,289.09318371423626,EC-Earth3,ssp370,r1i1p1f1
2034,289.9477806439771,288.8775991306086,EC-Earth3,ssp370,r1i1p1f1
2035,289.8927202491499,288.8330200991144,EC-Earth3,ssp370,r1i1p1f1
2036,290.040839859918,288.98032808739146,EC-Earth3,ssp370,r1i1p1f1
2037,290.0654093980526,289.00942819941594,EC-Earth3,ssp370,r1i1p1f1
2038,290.1777345416493,289.10833051911385,EC-Earth3,ssp370,r1i1p1f1
2039,290.2570243913569,289.2110926974544,EC-Earth3,ssp370,r1i1p1f1
2040,290.3019257563914,289.24404604560135,EC-Earth3,ssp370,r1i1p1f1
2041,290.1745545075971,289.10550825686954,EC-Earth3,ssp370,r1i1p1f1
2042,290.36464496513713,289.30029401959825,EC-Earth3,ssp370,r1i1p1f1
2043,290.49667019335953,289.41577829684786,EC-Earth3,ssp370,r1i1p1f1
2044,290.2261648116336,289.17760423679897,EC-Earth3,ssp370,r1i1p1f1
2045,290.41631585492246,289.3451228974208,EC-Earth3,ssp370,r1i1p1f1
2046,290.5093504514541,289.4744228561707,EC-Earth3,ssp370,r1i1p1f1
2047,290.4527334655563,289.4436513221826,EC-Earth3,ssp370,r1i1p1f1
2048,290.51830859091825,289.50521294319515,EC-Earth3,ssp370,r1i1p1f1
2049,290.5340027724465,289.4913322549727,EC-Earth3,ssp370,r1i1p1f1
2050,290.4315175906036,289.3423527076512,EC-Earth3,ssp370,r1i1p1f1
2051,290.5772926787693,289.5162098398944,EC-Earth3,ssp370,r1i1p1f1
2052,290.75724019361076,289.67097775636597,EC-Earth3,ssp370,r1i1p1f1
2053,290.8529710388774,289.80290776617755,EC-Earth3,ssp370,r1i1p1f1
2054,290.60252334083197,289.5669884080132,EC-Earth3,ssp370,r1i1p1f1
2055,290.57652215422416,289.5694355836251,EC-Earth3,ssp370,r1i1p1f1
2056,290.7416163693471,289.7439046922213,EC-Earth3,ssp370,r1i1p1f1
2057,291.0834847552128,290.0216290485952,EC-Earth3,ssp370,r1i1p1f1
2058,290.8616354308821,289.80565141437717,EC-Earth3,ssp370,r1i1p1f1
2059,290.9374664415312,289.9000243720645,EC-Earth3,ssp370,r1i1p1f1
2060,291.02628932302497,290.0323547316311,EC-Earth3,ssp370,r1i1p1f1
2061,291.2193026419598,290.23972695226996,EC-Earth3,ssp370,r1i1p1f1
2062,291.16950613937604,290.2069975129198,EC-Earth3,ssp370,r1i1p1f1
2063,291.044782483178,290.0760669827158,EC-Earth3,ssp370,r1i1p1f1
