year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.2188356097626,287.0075887612004,FGOALS-f3-L,ssp245,r1i1p1f1
2016,288.3271238596387,287.1155403381308,FGOALS-f3-L,ssp245,r1i1p1f1
2017,288.33199460436805,287.11829754273674,FGOALS-f3-L,ssp245,r1i1p1f1
2018,288.46286294254963,287.21430786494716,FGOALS-f3-L,ssp245,r1i1p1f1
2019,288.6420320319415,287.4424124450118,FGOALS-f3-L,ssp245,r1i1p1f1
2020,288.6029856250024,287.3988351254036,FGOALS-f3-L,ssp245,r1i1p1f1
2021,288.4697533467249,287.23526376643787,FGOALS-f3-L,ssp245,r1i1p1f1
2022,288.7611222538951,287.54207184516673,FGOALS-f3-L,ssp245,r1i1p1f1
2023,288.82936228985085,287.6188088435979,FGOALS-f3-L,ssp245,r1i1p1f1
2024,288.57104603074106,287.3368554254339,FGOALS-f3-L,ssp245,r1i1p1f1
2025,288.80551008009235,287.5896256965647,FGOALS-f3-L,ssp245,r1i1p1f1
2026,288.8229372957106,287.6402925246747,FGOALS-f3-L,ssp245,r1i1p1f1
2027,288.5793352275811,287.3821814247862,FGOALS-f3-L,ssp245,r1i1p1f1
2028,288.7259469008624,287.53308233076575,FGOALS-f3-L,ssp245,r1i1p1f1
2029,288.91734759287056,287.7338838857858,FGOALS-f3-L,ssp245,r1i1p1f1
2030,288.74113569469193,287.56330098751226,FGOALS-f3-L,ssp245,r1i1p1f1
2031,288.8507425390068,287.6613078435871,FGOALS-f3-L,ssp245,r1i1p1f1
2032,288.854338150375,287.6172527072063,FGOALS-f3-L,ssp245,r1i1p1f1
2033,289.1433546969297,287.91790970892185,FGOALS-f3-L,ssp245,r1i1p1f1
2034,288.8876543001797,287.6890489194964,FGOALS-f3-L,ssp245,r1i1p1f1
2035,288.8451086994513,287.66238843511195,FGOALS-f3-L,ssp245,r1i1p1f1
2036,289.1190743441756,287.94763178796575,FGOALS-f3-L,ssp245,r1i1p1f1
2037,288.9415660556081,287.77585613413993,FGOALS-f3-L,ssp245,r1i1p1f1
2038,288.9190775223498,287.7759955974021,FGOALS-f3-L,ssp245,r1i1p1f1
2039,289.2956037917156,288.1489874967147,FGOALS-f3-L,ssp245,r1i1p1f1
2040,289.17179782237935,288.03205370334064,FGOALS-f3-L,ssp245,r1i1p1f1
2041,288.905262509659,287.7152894493358,FGOALS-f3-L,ssp245,r1i1p1f1
2042,289.0606096519413,287.90214823745214,FGOALS-f3-L,ssp245,r1i1p1f1
2043,289.16136915957185,288.03463997751055,FGOALS-f3-L,ssp245,r1i1p1f1
2044,289.0487411565209,287.85230649857374,FGOALS-f3-L,ssp245,r1i1p1f1
2045,288.9572755002704,287.8021290207693,FGOALS-f3-L,ssp245,r1i1p1f1
2046,289.22078768345045,288.0292286318057,FGOALS-f3-L,ssp245,r1i1p1f1
2047,289.0635306872123,287.9147024725101,FGOALS-f3-L,ssp245,r1i1p1f1
2048,289.25958751904557,288.09154022147123,FGOALS-f3-L,ssp245,r1i1p1f1
2049,289.408283330875,288.26367771416204,FGOALS-f3-L,ssp245,r1i1p1f1
2050,289.046400347503,287.8971158768937,FGOALS-f3-L,ssp245,r1i1p1f1
2051,289.30105387074667,288.1476746593233,FGOALS-f3-L,ssp245,r1i1p1f1
2052,289.54639930348094,288.402401173069,FGOALS-f3-L,ssp245,r1i1p1f1
2053,289.23073869137755,288.07349675962394,FGOALS-f3-L,ssp245,r1i1p1f1
2054,289.3491434250208,288.1977124983881,FGOALS-f3-L,ssp245,r1i1p1f1
2055,289.5347700517643,288.3750214541624,FGOALS-f3-L,ssp245,r1i1p1f1
2056,289.2751914515727,288.1024585019326,FGOALS-f3-L,ssp245,r1i1p1f1
2057,289.4965045861062,288.3509001035709,FGOALS-f3-L,ssp245,r1i1p1f1
2058,289.63814352327444,288.49669015537495,FGOALS-f3-L,ssp245,r1i1p1f1
2059,289.3471093566602,288.2092861860662,FGOALS-f3-L,ssp245,r1i1p1f1
2060,289.6448181453313,288.5159026097661,FGOALS-f3-L,ssp245,r1i1p1f1
2061,289.43551453184057,288.31496496160304,FGOALS-f3-L,ssp245,r1i1p1f1
2062,289.3742143569757,288.2532377426631,FGOALS-f3-L,ssp245,r1i1p1f1
2063,289.77541301202825,288.6542090118068,FGOALS-f3-L,ssp245,r1i1p1f1
2064,289.5925924690848,288.4675289137323,FGOALS-f3-L,ssp245,r1i1p1f1
2065,289.5713292015656,288.45160832457026,FGOALS-f3-L,ssp245,r1i1p1f1
2066,289.5945145933792,288.48703201789385,FGOALS-f3-L,ssp245,r1i1p1f1
2067,289.5667114584475,288.4571183674731,FGOALS-f3-L,ssp245,r1i1p1f1
2068,289.6065935391836,288.5014230307836,FGOALS-f3-L,ssp245,r1i1p1f1
2069,289.77607916915827,288.64928467136906,FGOALS-f3-L,ssp245,r1i1p1f1
2070,289.4467230164658,288.32054347249186,FGOALS-f3-L,ssp245,r1i1p1f1
2071,289.40585757633215,288.2713794060537,FGOALS-f3-L,ssp245,r1i1p1f1
2072,289.7269041190027,288.57337090912216,FGOALS-f3-L,ssp245,r1i1p1f1
2073,289.50115506823806,288.36128043365727,FGOALS-f3-L,ssp245,r1i1p1f1
2074,289.5825068682201,288.39915187798084,FGOALS-f3-L,ssp245,r1i1p1f1
2075,289.8517458485432,288.7054464948688,FGOALS-f3-L,ssp245,r1i1p1f1
2076,289.60247985227414,288.47193656092327,FGOALS-f3-L,ssp245,r1i1p1f1
2077,289.56892281980606,288.44886265467727,FGOALS-f3-L,ssp245,r1i1p1f1
2078,289.8339894272859,288.7196517791224,FGOALS-f3-L,ssp245,r1i1p1f1
2079,289.649201657816,288.5077376653707,FGOALS-f3-L,ssp245,r1i1p1f1
2080,289.3924400213772,288.2645905026769,FGOALS-f3-L,ssp245,r1i1p1f1
2081,289.79092933563305,288.68308921331067,FGOALS-f3-L,ssp245,r1i1p1f1
2082,290.0390318475411,288.917148586162,FGOALS-f3-L,ssp245,r1i1p1f1
2083,289.66175476808525,288.5633692936869,FGOALS-f3-L,ssp245,r1i1p1f1
2084,289.66486894737443,288.5766433124559,FGOALS-f3-L,ssp245,r1i1p1f1
2085,289.845454352223,288.740556078208,FGOALS-f3-L,ssp245,r1i1p1f1
2086,289.86066674996414,288.76355818605816,FGOALS-f3-L,ssp245,r1i1p1f1
2087,289.74505813698704,288.6350722942401,FGOALS-f3-L,ssp245,r1i1p1f1
2088,289.6602850727143,288.55130658579395,FGOALS-f3-L,ssp245,r1i1p1f1
2089,289.80532292843844,288.70438673858195,FGOALS-f3-L,ssp245,r1i1p1f1
2090,289.66689910405535,288.56271120256935,FGOALS-f3-L,ssp245,r1i1p1f1
2091,289.83663785610497,288.7161332512184,FGOALS-f3-L,ssp245,r1i1p1f1
2092,289.687988607966,288.6010757441367,FGOALS-f3-L,ssp245,r1i1p1f1
