year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.2537679852654,288.1812322564699,FGOALS-g3,ssp245,r1i1p1f1
2016,289.5799100058424,288.55561083326353,FGOALS-g3,ssp245,r1i1p1f1
2017,289.54964580303175,288.51076463976995,FGOALS-g3,ssp245,r1i1p1f1
2018,289.6509612816632,288.6034462743502,FGOALS-g3,ssp245,r1i1p1f1
2019,289.56191146412107,288.5258997011963,FGOALS-g3,ssp245,r1i1p1f1
2020,289.40397405922187,288.37537081930867,FGOALS-g3,ssp245,r1i1p1f1
2021,289.3514817370657,288.29726771746755,FGOALS-g3,ssp245,r1i1p1f1
2022,289.4863341044187,288.4335286709036,FGOALS-g3,ssp245,r1i1p1f1
2023,289.5271084737149,288.46986559480115,FGOALS-g3,ssp245,r1i1p1f1
2024,289.68276838462594,288.63294801654126,FGOALS-g3,ssp245,r1i1p1f1
2025,289.5194741889842,288.4819455401861,FGOALS-g3,ssp245,r1i1p1f1
2026,289.5871018970194,288.5589764373455,FGOALS-g3,ssp245,r1i1p1f1
2027,289.57645727450114,288.551554476164,FGOALS-g3,ssp245,r1i1p1f1
2028,289.5478347291251,288.4916637049418,FGOALS-g3,ssp245,r1i1p1f1
2029,289.64047432811446,288.57235219353055,FGOALS-g3,ssp245,r1i1p1f1
2030,289.55285201176935,288.52225326066724,FGOALS-g3,ssp245,r1i1p1f1
2031,289.57354174031695,288.50989747600215,FGOALS-g3,ssp245,r1i1p1f1
2032,289.77057004824854,288.731927554798,FGOALS-g3,ssp245,r1i1p1f1
2033,289.7944207944032,288.7589781728674,FGOALS-g3,ssp245,r1i1p1f1
2034,289.79217912756735,288.78067808680817,FGOALS-g3,ssp245,r1i1p1f1
2035,289.79341473974546,288.76632584659205,FGOALS-g3,ssp245,r1i1p1f1
2036,289.8378283483234,288.8051525579707,FGOALS-g3,ssp245,r1i1p1f1
2037,289.92445448458227,288.87692267393913,FGOALS-g3,ssp245,r1i1p1f1
2038,289.89180474074146,288.8754196157576,FGOALS-g3,ssp245,r1i1p1f1
2039,289.9121018049431,288.9119323774213,FGOALS-g3,ssp245,r1i1p1f1
2040,289.9258941162952,288.89737289448277,FGOALS-g3,ssp245,r1i1p1f1
2041,289.91041013380254,288.91605284160727,FGOALS-g3,ssp245,r1i1p1f1
2042,289.88528066826143,288.85969304559495,FGOALS-g3,ssp245,r1i1p1f1
2043,289.9886555708049,288.9601916918677,FGOALS-g3,ssp245,r1i1p1f1
2044,289.99185698206884,288.9844694493942,FGOALS-g3,ssp245,r1i1p1f1
2045,290.08366479895085,289.0705574318207,FGOALS-g3,ssp245,r1i1p1f1
2046,289.9141612882196,288.9088841175531,FGOALS-g3,ssp245,r1i1p1f1
2047,289.94565767165915,288.93379475098425,FGOALS-g3,ssp245,r1i1p1f1
2048,290.1612869930161,289.14371893557865,FGOALS-g3,ssp245,r1i1p1f1
2049,289.96098412029994,288.95310838833404,FGOALS-g3,ssp245,r1i1p1f1
2050,289.91175888587395,288.891274225563,FGOALS-g3,ssp245,r1i1p1f1
2051,290.06746493109296,289.0448137460135,FGOALS-g3,ssp245,r1i1p1f1
2052,290.0196944881435,288.9865437898897,FGOALS-g3,ssp245,r1i1p1f1
2053,289.96232925835056,288.9580698294821,FGOALS-g3,ssp245,r1i1p1f1
2054,289.9502623780588,288.92544766311914,FGOALS-g3,ssp245,r1i1p1f1
2055,290.10801473749547,289.11011101050894,FGOALS-g3,ssp245,r1i1p1f1
2056,289.97688695557576,288.96654773411325,FGOALS-g3,ssp245,r1i1p1f1
2057,289.9815194723392,288.9536258926346,FGOALS-g3,ssp245,r1i1p1f1
2058,290.124731580287,289.11017587608177,FGOALS-g3,ssp245,r1i1p1f1
2059,290.0894613532344,289.08820287420184,FGOALS-g3,ssp245,r1i1p1f1
2060,290.1433525006687,289.131153917119,FGOALS-g3,ssp245,r1i1p1f1
2061,290.0510301021157,289.023094628488,FGOALS-g3,ssp245,r1i1p1f1
2062,290.0788680625066,289.05608267502765,FGOALS-g3,ssp245,r1i1p1f1
2063,290.07450664724405,289.0634772943773,FGOALS-g3,ssp245,r1i1p1f1
2064,290.15050766156844,289.11538552036666,FGOALS-g3,ssp245,r1i1p1f1
2065,290.11386704909415,289.0936381391178,FGOALS-g3,ssp245,r1i1p1f1
2066,290.10005257978844,289.0895464176775,FGOALS-g3,ssp245,r1i1p1f1
2067,290.2235753871333,289.2045144790821,FGOALS-g3,ssp245,r1i1p1f1
2068,290.32514403076533,289.2998445824012,FGOALS-g3,ssp245,r1i1p1f1
2069,290.3442236511889,289.34278083115765,FGOALS-g3,ssp245,r1i1p1f1
2070,290.26858533319415,289.2704966246316,FGOALS-g3,ssp245,r1i1p1f1
2071,290.20789153231885,289.1993298405675,FGOALS-g3,ssp245,r1i1p1f1
2072,290.3276916194387,289.3307856900562,FGOALS-g3,ssp245,r1i1p1f1
2073,290.3481817983842,289.35432313651137,FGOALS-g3,ssp245,r1i1p1f1
2074,290.27971415904966,289.31880471182694,FGOALS-g3,ssp245,r1i1p1f1
2075,290.35762488633753,289.37289305932717,FGOALS-g3,ssp245,r1i1p1f1
2076,290.32624433978197,289.34199743466326,FGOALS-g3,ssp245,r1i1p1f1
2077,290.39151046305733,289.4038516730957,FGOALS-g3,ssp245,r1i1p1f1
2078,290.32888570588796,289.343415817913,FGOALS-g3,ssp245,r1i1p1f1
2079,290.3486913577195,289.38219405858433,FGOALS-g3,ssp245,r1i1p1f1
2080,290.3787278069778,289.38049397829354,FGOALS-g3,ssp245,r1i1p1f1
2081,290.36673976862454,289.3706977927907,FGOALS-g3,ssp245,r1i1p1f1
2082,290.312971885018,289.32605707745387,FGOALS-g3,ssp245,r1i1p1f1
2083,290.35495174217334,289.3611534672266,FGOALS-g3,ssp245,r1i1p1f1
2084,290.40089625979516,289.3996323796433,FGOALS-g3,ssp245,r1i1p1f1
2085,290.29323395101034,289.2949079727164,FGOALS-g3,ssp245,r1i1p1f1
2086,290.4415277852033,289.45357574826204,FGOALS-g3,ssp245,r1i1p1f1
2087,290.54877098032216,289.56560956410044,FGOALS-g3,ssp245,r1i1p1f1
2088,290.41823224256893,289.4297693604727,FGOALS-g3,ssp245,r1i1p1f1
2089,290.33775712291276,289.32009171254464,FGOALS-g3,ssp245,r1i1p1f1
2090,290.3777947764801,289.4070888163688,FGOALS-g3,ssp245,r1i1p1f1
2091,290.44466171486437,289.46966013600354,FGOALS-g3,ssp245,r1i1p1f1
2092,290.45528979686145,289.46899367090606,FGOALS-g3,ssp245,r1i1p1f1
2093,290.4134587089091,289.4064665451027,FGOALS-g3,ssp245,r1i1p1f1
2094,290.5860146012524,289.5842660389325,FGOALS-g3,ssp245,r1i1p1f1
2095,290.5977581052407,289.6060336683311,FGOALS-g3,ssp245,r1i1p1f1
2096,290.59721277067337,289.622163768035,FGOALS-g3,ssp245,r1i1p1f1
2097,290.38453057992444,289.4134046799327,FGOALS-g3,ssp245,r1i1p1f1
2098,290.4813908650838,289.5239254008981,FGOALS-g3,ssp245,r1i1p1f1
2099,290.4407091624229,289.47533597968965,FGOALS-g3,ssp245,r1i1p1f1
2100,290.41351664095436,289.43914594648254,FGOALS-g3,ssp245,r1i1p1f1
