year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.87738888802846,287.75789302069654,FIO-ESM-2-0,ssp126,r3i1p1f1
2016,288.9651568015138,287.8779018478358,FIO-ESM-2-0,ssp126,r3i1p1f1
2017,289.0587007596406,287.9543286571424,FIO-ESM-2-0,ssp126,r3i1p1f1
2018,289.0826064253443,287.95989194745925,FIO-ESM-2-0,ssp126,r3i1p1f1
2019,289.0035779472499,287.909631953473,FIO-ESM-2-0,ssp126,r3i1p1f1
2020,288.9505860141881,287.80596726911,FIO-ESM-2-0,ssp126,r3i1p1f1
2021,289.0500323168658,287.92457171839953,FIO-ESM-2-0,ssp126,r3i1p1f1
2022,289.15955663712884,288.03304348054587,FIO-ESM-2-0,ssp126,r3i1p1f1
2023,289.19124932475665,288.08685544246094,FIO-ESM-2-0,ssp126,r3i1p1f1
2024,289.1717815769,288.03521337084925,FIO-ESM-2-0,ssp126,r3i1p1f1
2025,289.356514983028,288.2478177566483,FIO-ESM-2-0,ssp126,r3i1p1f1
2026,289.25785938408467,288.1673213448249,FIO-ESM-2-0,ssp126,r3i1p1f1
2027,289.245039899466,288.14280903442364,FIO-ESM-2-0,ssp126,r3i1p1f1
2028,289.32923812656475,288.2179753702607,FIO-ESM-2-0,ssp126,r3i1p1f1
2029,289.3557218423878,288.23733300435714,FIO-ESM-2-0,ssp126,r3i1p1f1
2030,289.52182561471494,288.3964993114491,FIO-ESM-2-0,ssp126,r3i1p1f1
2031,289.30926922171057,288.18822252518487,FIO-ESM-2-0,ssp126,r3i1p1f1
2032,289.255462378613,288.1313950687444,FIO-ESM-2-0,ssp126,r3i1p1f1
2033,289.61273365439615,288.4973426221782,FIO-ESM-2-0,ssp126,r3i1p1f1
2034,289.65668650623,288.55292989394144,FIO-ESM-2-0,ssp126,r3i1p1f1
2035,289.35739606480513,288.26884983506864,FIO-ESM-2-0,ssp126,r3i1p1f1
2036,289.49501372525185,288.40790281047555,FIO-ESM-2-0,ssp126,r3i1p1f1
2037,289.58138244106533,288.5373201844519,FIO-ESM-2-0,ssp126,r3i1p1f1
2038,289.665599989756,288.5999860087796,FIO-ESM-2-0,ssp126,r3i1p1f1
2039,289.5345005755989,288.46855051757603,FIO-ESM-2-0,ssp126,r3i1p1f1
2040,289.64001616105907,288.5512627003237,FIO-ESM-2-0,ssp126,r3i1p1f1
2041,289.69067700870556,288.59123087866584,FIO-ESM-2-0,ssp126,r3i1p1f1
2042,289.5220152915059,288.43180500748235,FIO-ESM-2-0,ssp126,r3i1p1f1
2043,289.5456980734447,288.43787272462185,FIO-ESM-2-0,ssp126,r3i1p1f1
2044,289.602795109237,288.51111641811696,FIO-ESM-2-0,ssp126,r3i1p1f1
2045,289.54188683793916,288.4508661816021,FIO-ESM-2-0,ssp126,r3i1p1f1
2046,289.5187461169477,288.4680269106068,FIO-ESM-2-0,ssp126,r3i1p1f1
2047,289.6876488671747,288.6435763360517,FIO-ESM-2-0,ssp126,r3i1p1f1
2048,289.6663343696467,288.61564641393505,FIO-ESM-2-0,ssp126,r3i1p1f1
2049,289.5906067964169,288.4973203241867,FIO-ESM-2-0,ssp126,r3i1p1f1
2050,289.6151326130144,288.528066632409,FIO-ESM-2-0,ssp126,r3i1p1f1
2051,289.6157827286267,288.53482258362186,FIO-ESM-2-0,ssp126,r3i1p1f1
2052,289.6707855669443,288.61017813242546,FIO-ESM-2-0,ssp126,r3i1p1f1
2053,289.6467077268537,288.5702218276567,FIO-ESM-2-0,ssp126,r3i1p1f1
2054,289.6037210789426,288.54671636033277,FIO-ESM-2-0,ssp126,r3i1p1f1
2055,289.5579400671849,288.4867522140074,FIO-ESM-2-0,ssp126,r3i1p1f1
2056,289.63091247310894,288.58713940158316,FIO-ESM-2-0,ssp126,r3i1p1f1
2057,289.7405519608118,288.67800077410556,FIO-ESM-2-0,ssp126,r3i1p1f1
2058,289.61958992237135,288.53711398735555,FIO-ESM-2-0,ssp126,r3i1p1f1
2059,289.6009892609806,288.53567140971427,FIO-ESM-2-0,ssp126,r3i1p1f1
2060,289.8162746429603,288.76411110784716,FIO-ESM-2-0,ssp126,r3i1p1f1
2061,289.8295378203964,288.8013711685032,FIO-ESM-2-0,ssp126,r3i1p1f1
2062,289.6931553546721,288.6196078025984,FIO-ESM-2-0,ssp126,r3i1p1f1
2063,289.6708718014911,288.6304683236908,FIO-ESM-2-0,ssp126,r3i1p1f1
2064,289.67080944218907,288.625057276328,FIO-ESM-2-0,ssp126,r3i1p1f1
2065,289.8569966789745,288.77107431273674,FIO-ESM-2-0,ssp126,r3i1p1f1
2066,289.8237151566344,288.71317835706964,FIO-ESM-2-0,ssp126,r3i1p1f1
2067,289.5721859908375,288.49591072860056,FIO-ESM-2-0,ssp126,r3i1p1f1
2068,289.63980712258916,288.5635470448616,FIO-ESM-2-0,ssp126,r3i1p1f1
2069,289.78672373252823,288.6746480063489,FIO-ESM-2-0,ssp126,r3i1p1f1
2070,289.8080318058905,288.7287574385989,FIO-ESM-2-0,ssp126,r3i1p1f1
2071,289.9121179622113,288.8424032820708,FIO-ESM-2-0,ssp126,r3i1p1f1
