year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.09050782947156,285.89067590766314,GFDL-CM4,historical,r1i1p1f1
1851,287.2260294101764,286.0230963109519,GFDL-CM4,historical,r1i1p1f1
1852,287.2306934772668,286.0255207819501,GFDL-CM4,historical,r1i1p1f1
1853,287.2792847084088,286.0598673896943,GFDL-CM4,historical,r1i1p1f1
1854,287.29513750574387,286.09982197682723,GFDL-CM4,historical,r1i1p1f1
1855,287.31799293890913,286.1016238632427,GFDL-CM4,historical,r1i1p1f1
1856,287.11585091347115,285.90654971669505,GFDL-CM4,historical,r1i1p1f1
1857,287.10932699399126,285.91581254747956,GFDL-CM4,historical,r1i1p1f1
1858,287.21003853705787,286.0165938922818,GFDL-CM4,historical,r1i1p1f1
1859,287.1072773286156,285.88931825225706,GFDL-CM4,historical,r1i1p1f1
1860,287.0777322003666,285.8577438872549,GFDL-CM4,historical,r1i1p1f1
1861,287.02201967840585,285.8044863716713,GFDL-CM4,historical,r1i1p1f1
1862,287.0668927397525,285.85348157735086,GFDL-CM4,historical,r1i1p1f1
1863,286.90946443835344,285.6779186472082,GFDL-CM4,historical,r1i1p1f1
1864,286.98531488400664,285.7608651388036,GFDL-CM4,historical,r1i1p1f1
1865,287.0793305376393,285.8407898667154,GFDL-CM4,historical,r1i1p1f1
1866,287.21925532175607,285.9814039646543,GFDL-CM4,historical,r1i1p1f1
1867,287.21362029441946,286.0281692345195,GFDL-CM4,historical,r1i1p1f1
1868,287.15124236804417,285.9586658308178,GFDL-CM4,historical,r1i1p1f1
1869,287.17739422927855,286.0106056540396,GFDL-CM4,historical,r1i1p1f1
1870,287.20334071983024,286.0077705595822,GFDL-CM4,historical,r1i1p1f1
1871,287.2683558447746,286.05334309064403,GFDL-CM4,historical,r1i1p1f1
1872,287.3627440355049,286.18195826503006,GFDL-CM4,historical,r1i1p1f1
1873,287.23286675482035,286.0313849968802,GFDL-CM4,historical,r1i1p1f1
1874,287.0762047986267,285.8561196008031,GFDL-CM4,historical,r1i1p1f1
1875,287.1396409044471,285.9050877344035,GFDL-CM4,historical,r1i1p1f1
1876,287.1957336412037,285.97119906334547,GFDL-CM4,historical,r1i1p1f1
1877,287.2089301304127,285.9868715873347,GFDL-CM4,historical,r1i1p1f1
1878,287.07434007617036,285.83082410121716,GFDL-CM4,historical,r1i1p1f1
1879,287.05595106616516,285.8584246915834,GFDL-CM4,historical,r1i1p1f1
1880,287.0521998228806,285.8141847858639,GFDL-CM4,historical,r1i1p1f1
1881,287.1352354838699,285.90943394972976,GFDL-CM4,historical,r1i1p1f1
1882,287.14693546292784,285.9339430699891,GFDL-CM4,historical,r1i1p1f1
1883,287.1077084838754,285.87225297336806,GFDL-CM4,historical,r1i1p1f1
1884,286.75692567621763,285.5780929824274,GFDL-CM4,historical,r1i1p1f1
1885,286.8586135127884,285.65611899415114,GFDL-CM4,historical,r1i1p1f1
1886,286.9901785674977,285.7887359833014,GFDL-CM4,historical,r1i1p1f1
1887,287.0848062955862,285.8713657194456,GFDL-CM4,historical,r1i1p1f1
1888,287.0815169561131,285.8650463935399,GFDL-CM4,historical,r1i1p1f1
1889,287.0001974634613,285.80370221457076,GFDL-CM4,historical,r1i1p1f1
1890,287.1117246934758,285.8861289112322,GFDL-CM4,historical,r1i1p1f1
1891,287.1964441703401,285.9510241575262,GFDL-CM4,historical,r1i1p1f1
1892,287.19450802054365,285.95719438595296,GFDL-CM4,historical,r1i1p1f1
1893,287.0871136602131,285.86253565725065,GFDL-CM4,historical,r1i1p1f1
1894,287.12957669250295,285.87218150578144,GFDL-CM4,historical,r1i1p1f1
1895,287.15442146830213,285.90200684399025,GFDL-CM4,historical,r1i1p1f1
1896,287.20283740287226,285.98811033011634,GFDL-CM4,historical,r1i1p1f1
1897,287.1618801803801,285.92852613025286,GFDL-CM4,historical,r1i1p1f1
1898,287.09912613993686,285.85565725409776,GFDL-CM4,historical,r1i1p1f1
1899,286.9941086395087,285.7613368502498,GFDL-CM4,historical,r1i1p1f1
1900,287.1214401374527,285.8612026939001,GFDL-CM4,historical,r1i1p1f1
1901,287.2879331587104,286.0277209422364,GFDL-CM4,historical,r1i1p1f1
1902,287.0837573801458,285.88175429453344,GFDL-CM4,historical,r1i1p1f1
1903,287.0146792209792,285.79103048795145,GFDL-CM4,historical,r1i1p1f1
1904,287.07967087765144,285.86565670168955,GFDL-CM4,historical,r1i1p1f1
1905,287.0080701239601,285.7843203109874,GFDL-CM4,historical,r1i1p1f1
1906,287.1170210118853,285.9118348342571,GFDL-CM4,historical,r1i1p1f1
1907,287.117082663844,285.95007582295034,GFDL-CM4,historical,r1i1p1f1
1908,287.1245647606168,285.9235542382005,GFDL-CM4,historical,r1i1p1f1
1909,287.1009297979959,285.8942060299417,GFDL-CM4,historical,r1i1p1f1
1910,287.02003564936985,285.8377130583455,GFDL-CM4,historical,r1i1p1f1
1911,287.1693870930549,285.9270764836884,GFDL-CM4,historical,r1i1p1f1
1912,287.0860172891396,285.85042846685633,GFDL-CM4,historical,r1i1p1f1
1913,286.98150371423185,285.7540664948522,GFDL-CM4,historical,r1i1p1f1
1914,287.0927390445546,285.8509633539257,GFDL-CM4,historical,r1i1p1f1
1915,287.19821401929175,285.97523722284177,GFDL-CM4,historical,r1i1p1f1
1916,287.0320515664365,285.7907407592101,GFDL-CM4,historical,r1i1p1f1
1917,287.0175484935651,285.77383587546575,GFDL-CM4,historical,r1i1p1f1
1918,286.9990509256667,285.7097899813758,GFDL-CM4,historical,r1i1p1f1
1919,287.10217263452853,285.8698469854949,GFDL-CM4,historical,r1i1p1f1
