year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.11747914560056,286.9670795516426,GFDL-CM4,ssp245,r1i1p1f1
2016,288.10220744275165,286.92959034050244,GFDL-CM4,ssp245,r1i1p1f1
2017,288.00866795134795,286.85154167637063,GFDL-CM4,ssp245,r1i1p1f1
2018,288.12405236143616,286.9525631771646,GFDL-CM4,ssp245,r1i1p1f1
2019,288.08129518286347,286.95087353049576,GFDL-CM4,ssp245,r1i1p1f1
2020,288.1612788295569,286.98441855765213,GFDL-CM4,ssp245,r1i1p1f1
2021,288.24572600703067,287.0897908211076,GFDL-CM4,ssp245,r1i1p1f1
2022,288.3138648025532,287.17374717984717,GFDL-CM4,ssp245,r1i1p1f1
2023,288.3157501688065,287.18843115527864,GFDL-CM4,ssp245,r1i1p1f1
2024,288.31937663637103,287.1953266279438,GFDL-CM4,ssp245,r1i1p1f1
2025,288.4477985528991,287.31914618595414,GFDL-CM4,ssp245,r1i1p1f1
2026,288.5299164257217,287.406604391533,GFDL-CM4,ssp245,r1i1p1f1
2027,288.42807359535107,287.318668266766,GFDL-CM4,ssp245,r1i1p1f1
2028,288.40894645838193,287.2970832181437,GFDL-CM4,ssp245,r1i1p1f1
2029,288.53523565041183,287.44167463555806,GFDL-CM4,ssp245,r1i1p1f1
2030,288.59190438737807,287.5119007850307,GFDL-CM4,ssp245,r1i1p1f1
2031,288.4476855908296,287.3506063123871,GFDL-CM4,ssp245,r1i1p1f1
2032,288.44909615704347,287.33640935408437,GFDL-CM4,ssp245,r1i1p1f1
2033,288.4315723279081,287.3199685639703,GFDL-CM4,ssp245,r1i1p1f1
2034,288.57727484101304,287.47386043658344,GFDL-CM4,ssp245,r1i1p1f1
2035,288.63932048533684,287.5162334518334,GFDL-CM4,ssp245,r1i1p1f1
2036,288.709631771828,287.61743210398845,GFDL-CM4,ssp245,r1i1p1f1
2037,288.72037942209414,287.61886962189794,GFDL-CM4,ssp245,r1i1p1f1
2038,288.731948397841,287.62714522586907,GFDL-CM4,ssp245,r1i1p1f1
2039,288.7204721992895,287.6311054703615,GFDL-CM4,ssp245,r1i1p1f1
2040,288.72479286763536,287.653363129477,GFDL-CM4,ssp245,r1i1p1f1
2041,288.70946939073497,287.61025293571277,GFDL-CM4,ssp245,r1i1p1f1
2042,288.6441608925641,287.5467337664309,GFDL-CM4,ssp245,r1i1p1f1
2043,288.7687187724843,287.6774259287684,GFDL-CM4,ssp245,r1i1p1f1
2044,288.7625328224197,287.6843634616073,GFDL-CM4,ssp245,r1i1p1f1
2045,288.85509637581504,287.7793935927344,GFDL-CM4,ssp245,r1i1p1f1
2046,289.0656055270251,287.99340684128543,GFDL-CM4,ssp245,r1i1p1f1
2047,288.8963868774903,287.815934851257,GFDL-CM4,ssp245,r1i1p1f1
2048,289.08770219968,288.00686296466216,GFDL-CM4,ssp245,r1i1p1f1
2049,289.0769826707386,288.0156229028691,GFDL-CM4,ssp245,r1i1p1f1
2050,288.9852123474087,287.9329453200783,GFDL-CM4,ssp245,r1i1p1f1
2051,289.1021451963182,288.04379433167543,GFDL-CM4,ssp245,r1i1p1f1
2052,289.15396549948434,288.0974936899976,GFDL-CM4,ssp245,r1i1p1f1
2053,288.9847817029235,287.92249193839876,GFDL-CM4,ssp245,r1i1p1f1
2054,289.1113949583179,288.03971456202663,GFDL-CM4,ssp245,r1i1p1f1
2055,289.05574836665284,287.99666888493107,GFDL-CM4,ssp245,r1i1p1f1
2056,289.0256188928034,287.92619413488313,GFDL-CM4,ssp245,r1i1p1f1
2057,289.247304781075,288.1427660951759,GFDL-CM4,ssp245,r1i1p1f1
2058,289.3298103687627,288.24630864876536,GFDL-CM4,ssp245,r1i1p1f1
2059,289.0842968866204,288.033244732906,GFDL-CM4,ssp245,r1i1p1f1
2060,289.23230463434237,288.16075945529064,GFDL-CM4,ssp245,r1i1p1f1
2061,289.3122035402265,288.26372431986164,GFDL-CM4,ssp245,r1i1p1f1
2062,289.2600745840489,288.22016734249974,GFDL-CM4,ssp245,r1i1p1f1
2063,289.21425559438575,288.14473394451505,GFDL-CM4,ssp245,r1i1p1f1
2064,289.28398744060905,288.26339381555994,GFDL-CM4,ssp245,r1i1p1f1
2065,289.4162407613525,288.38262670633804,GFDL-CM4,ssp245,r1i1p1f1
2066,289.3398178502624,288.3170431567877,GFDL-CM4,ssp245,r1i1p1f1
2067,289.2873282870224,288.22662956493036,GFDL-CM4,ssp245,r1i1p1f1
2068,289.2990092633206,288.24583241166437,GFDL-CM4,ssp245,r1i1p1f1
2069,289.37235293788353,288.33761512514116,GFDL-CM4,ssp245,r1i1p1f1
2070,289.42524502112667,288.3920142471396,GFDL-CM4,ssp245,r1i1p1f1
2071,289.48937649253105,288.4619456412324,GFDL-CM4,ssp245,r1i1p1f1
2072,289.5878583435181,288.55911811095297,GFDL-CM4,ssp245,r1i1p1f1
2073,289.6774799127079,288.6315196256524,GFDL-CM4,ssp245,r1i1p1f1
2074,289.40882538276355,288.3704479731722,GFDL-CM4,ssp245,r1i1p1f1
2075,289.4943554489059,288.46162749925725,GFDL-CM4,ssp245,r1i1p1f1
2076,289.58703841549516,288.55573367097304,GFDL-CM4,ssp245,r1i1p1f1
2077,289.6027649378918,288.58007453811024,GFDL-CM4,ssp245,r1i1p1f1
2078,289.77893251099607,288.77269043752665,GFDL-CM4,ssp245,r1i1p1f1
2079,289.57538109705456,288.56355353380405,GFDL-CM4,ssp245,r1i1p1f1
2080,289.58533765506246,288.55256092258713,GFDL-CM4,ssp245,r1i1p1f1
2081,289.3988929725669,288.3760457961805,GFDL-CM4,ssp245,r1i1p1f1
2082,289.5307481769376,288.52422022824544,GFDL-CM4,ssp245,r1i1p1f1
2083,289.61258250061803,288.584823084543,GFDL-CM4,ssp245,r1i1p1f1
2084,289.8490443267011,288.85493968133613,GFDL-CM4,ssp245,r1i1p1f1
2085,289.9466464474023,288.9471953091379,GFDL-CM4,ssp245,r1i1p1f1
2086,289.5279342395531,288.53647824729785,GFDL-CM4,ssp245,r1i1p1f1
2087,289.8341004788013,288.8169300465289,GFDL-CM4,ssp245,r1i1p1f1
2088,290.01743213111786,289.0170950073237,GFDL-CM4,ssp245,r1i1p1f1
2089,289.8046622937999,288.8031865403242,GFDL-CM4,ssp245,r1i1p1f1
2090,289.8157034789151,288.8066069098844,GFDL-CM4,ssp245,r1i1p1f1
2091,289.96937320789135,288.9764910846026,GFDL-CM4,ssp245,r1i1p1f1
2092,289.8703099561141,288.91534593391157,GFDL-CM4,ssp245,r1i1p1f1
2093,289.6893739640356,288.7317098282694,GFDL-CM4,ssp245,r1i1p1f1
2094,289.76763206047167,288.79444459933916,GFDL-CM4,ssp245,r1i1p1f1
2095,289.99986483662786,289.01573091966003,GFDL-CM4,ssp245,r1i1p1f1
2096,290.00919619995386,289.0129410329992,GFDL-CM4,ssp245,r1i1p1f1
2097,289.91934935968743,288.9441030172344,GFDL-CM4,ssp245,r1i1p1f1
2098,290.00303484853504,289.014661331785,GFDL-CM4,ssp245,r1i1p1f1
2099,289.89658161310405,288.92807524890753,GFDL-CM4,ssp245,r1i1p1f1
2100,289.91678371278107,288.94340537537767,GFDL-CM4,ssp245,r1i1p1f1
