year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.18415034856304,286.853443253716,GISS-E2-1-G-CC,historical,r1i1p1f1
1851,288.1832751820123,286.82785212343117,GISS-E2-1-G-CC,historical,r1i1p1f1
1852,288.27052616842667,286.8680076227491,GISS-E2-1-G-CC,historical,r1i1p1f1
1853,288.5019460773209,287.16226160321185,GISS-E2-1-G-CC,historical,r1i1p1f1
1854,288.0833149579601,286.72997983374444,GISS-E2-1-G-CC,historical,r1i1p1f1
1855,287.9795910886434,286.58285120834006,GISS-E2-1-G-CC,historical,r1i1p1f1
1856,288.24359695225667,286.89276863392587,GISS-E2-1-G-CC,historical,r1i1p1f1
1857,288.43704750816636,287.088985939555,GISS-E2-1-G-CC,historical,r1i1p1f1
1858,288.20910855488313,286.90549154211493,GISS-E2-1-G-CC,historical,r1i1p1f1
1859,288.16439034679115,286.8357519073223,GISS-E2-1-G-CC,historical,r1i1p1f1
1860,288.21198055446854,286.863005114125,GISS-E2-1-G-CC,historical,r1i1p1f1
1861,288.3684237815764,286.9864577573878,GISS-E2-1-G-CC,historical,r1i1p1f1
1862,288.4240106841599,287.04136269689167,GISS-E2-1-G-CC,historical,r1i1p1f1
1863,288.13691668230024,286.7640766586393,GISS-E2-1-G-CC,historical,r1i1p1f1
1864,288.2251221205086,286.9105804529283,GISS-E2-1-G-CC,historical,r1i1p1f1
1865,288.3081133175944,286.9473995707097,GISS-E2-1-G-CC,historical,r1i1p1f1
1866,288.51637499512765,287.1647732226042,GISS-E2-1-G-CC,historical,r1i1p1f1
1867,288.31592769294446,286.95260081191236,GISS-E2-1-G-CC,historical,r1i1p1f1
1868,288.3015587474309,286.93190614360253,GISS-E2-1-G-CC,historical,r1i1p1f1
1869,288.49025895611845,287.1263421274678,GISS-E2-1-G-CC,historical,r1i1p1f1
1870,288.4630484848026,287.10894067640254,GISS-E2-1-G-CC,historical,r1i1p1f1
1871,288.27003579500393,286.92800924304623,GISS-E2-1-G-CC,historical,r1i1p1f1
1872,288.02229804059937,286.6354769437302,GISS-E2-1-G-CC,historical,r1i1p1f1
1873,288.1757376940987,286.81008348801305,GISS-E2-1-G-CC,historical,r1i1p1f1
1874,288.44924154758,287.0691663185485,GISS-E2-1-G-CC,historical,r1i1p1f1
1875,288.19074857434754,286.82163041082293,GISS-E2-1-G-CC,historical,r1i1p1f1
1876,287.9917762502452,286.59938775739624,GISS-E2-1-G-CC,historical,r1i1p1f1
1877,288.0080964994738,286.6634481822339,GISS-E2-1-G-CC,historical,r1i1p1f1
1878,288.2741749350715,286.9153683421411,GISS-E2-1-G-CC,historical,r1i1p1f1
1879,288.3536213169277,287.0363607134068,GISS-E2-1-G-CC,historical,r1i1p1f1
1880,288.0412988700647,286.6930352865263,GISS-E2-1-G-CC,historical,r1i1p1f1
1881,288.11515219896876,286.7412068396015,GISS-E2-1-G-CC,historical,r1i1p1f1
1882,288.2944774637809,286.90458541010105,GISS-E2-1-G-CC,historical,r1i1p1f1
1883,288.46573414969833,287.0768616077333,GISS-E2-1-G-CC,historical,r1i1p1f1
1884,287.83212252209114,286.47227273848034,GISS-E2-1-G-CC,historical,r1i1p1f1
1885,287.9683567085141,286.58319257897574,GISS-E2-1-G-CC,historical,r1i1p1f1
1886,288.26418284505024,286.87629598950355,GISS-E2-1-G-CC,historical,r1i1p1f1
1887,288.3461451747895,286.9960301520971,GISS-E2-1-G-CC,historical,r1i1p1f1
1888,288.43678560844546,287.0691223015352,GISS-E2-1-G-CC,historical,r1i1p1f1
1889,288.1310425774495,286.7743191940363,GISS-E2-1-G-CC,historical,r1i1p1f1
1890,288.065962717111,286.69435303717086,GISS-E2-1-G-CC,historical,r1i1p1f1
1891,288.2765208264688,286.88718184114146,GISS-E2-1-G-CC,historical,r1i1p1f1
1892,288.338313659559,286.9296607197137,GISS-E2-1-G-CC,historical,r1i1p1f1
1893,288.2289728963127,286.8316515013528,GISS-E2-1-G-CC,historical,r1i1p1f1
1894,288.24320328519497,286.8814059576968,GISS-E2-1-G-CC,historical,r1i1p1f1
1895,288.2789061200366,286.9476655627711,GISS-E2-1-G-CC,historical,r1i1p1f1
1896,288.30310047594185,286.9538770536778,GISS-E2-1-G-CC,historical,r1i1p1f1
1897,288.48701007881607,287.1076773735185,GISS-E2-1-G-CC,historical,r1i1p1f1
1898,288.3693171280226,286.9865016034285,GISS-E2-1-G-CC,historical,r1i1p1f1
1899,288.302133964829,286.94412096705327,GISS-E2-1-G-CC,historical,r1i1p1f1
1900,288.23154508093944,286.8486298060029,GISS-E2-1-G-CC,historical,r1i1p1f1
1901,287.8375639214642,286.4696255285136,GISS-E2-1-G-CC,historical,r1i1p1f1
1902,287.8284756721615,286.4346944112032,GISS-E2-1-G-CC,historical,r1i1p1f1
1903,287.84010399417656,286.4624607689157,GISS-E2-1-G-CC,historical,r1i1p1f1
1904,288.0145367992349,286.5995210744886,GISS-E2-1-G-CC,historical,r1i1p1f1
1905,288.21155576427066,286.8102948935053,GISS-E2-1-G-CC,historical,r1i1p1f1
1906,287.9365418038812,286.5482918473414,GISS-E2-1-G-CC,historical,r1i1p1f1
1907,287.91200162350094,286.5417183870232,GISS-E2-1-G-CC,historical,r1i1p1f1
1908,288.1525048138621,286.7902567617252,GISS-E2-1-G-CC,historical,r1i1p1f1
1909,288.15584805036536,286.8176446543135,GISS-E2-1-G-CC,historical,r1i1p1f1
1910,287.98775066057715,286.61702687330796,GISS-E2-1-G-CC,historical,r1i1p1f1
1911,288.18677325774604,286.820651202269,GISS-E2-1-G-CC,historical,r1i1p1f1
1912,288.3299736290072,286.95432170660075,GISS-E2-1-G-CC,historical,r1i1p1f1
1913,288.13080460221795,286.80455365360575,GISS-E2-1-G-CC,historical,r1i1p1f1
1914,288.043615943275,286.7020942597748,GISS-E2-1-G-CC,historical,r1i1p1f1
1915,288.1558694783094,286.8137416450733,GISS-E2-1-G-CC,historical,r1i1p1f1
1916,288.27207595013164,286.93002146360186,GISS-E2-1-G-CC,historical,r1i1p1f1
1917,288.4074567167593,287.05437786942446,GISS-E2-1-G-CC,historical,r1i1p1f1
1918,288.2672111416507,286.9620193064664,GISS-E2-1-G-CC,historical,r1i1p1f1
1919,288.17694841201154,286.8378390359263,GISS-E2-1-G-CC,historical,r1i1p1f1
1920,288.12269999491906,286.7758434928906,GISS-E2-1-G-CC,historical,r1i1p1f1
1921,288.4791056488455,287.11988380444427,GISS-E2-1-G-CC,historical,r1i1p1f1
1922,288.36070416119185,287.0283772407008,GISS-E2-1-G-CC,historical,r1i1p1f1
1923,287.90833365982843,286.5697782238682,GISS-E2-1-G-CC,historical,r1i1p1f1
1924,288.03510949551105,286.6422682235239,GISS-E2-1-G-CC,historical,r1i1p1f1
1925,288.39317555471257,287.02585896286536,GISS-E2-1-G-CC,historical,r1i1p1f1
1926,288.30231750090087,286.96693000423045,GISS-E2-1-G-CC,historical,r1i1p1f1
1927,288.16607049993246,286.80693049280114,GISS-E2-1-G-CC,historical,r1i1p1f1
1928,288.1769102554748,286.85627409544054,GISS-E2-1-G-CC,historical,r1i1p1f1
1929,288.3187653815896,286.96247211997314,GISS-E2-1-G-CC,historical,r1i1p1f1
1930,288.25288361067436,286.9041020443529,GISS-E2-1-G-CC,historical,r1i1p1f1
1931,288.1558198197674,286.7913037812267,GISS-E2-1-G-CC,historical,r1i1p1f1
1932,288.2666425583313,286.9291585391864,GISS-E2-1-G-CC,historical,r1i1p1f1
1933,288.5352653155363,287.13066355688005,GISS-E2-1-G-CC,historical,r1i1p1f1
1934,288.22372372516054,286.8780233178277,GISS-E2-1-G-CC,historical,r1i1p1f1
1935,288.140127610428,286.758667475828,GISS-E2-1-G-CC,historical,r1i1p1f1
1936,288.3309479765005,286.9800580742947,GISS-E2-1-G-CC,historical,r1i1p1f1
1937,288.3648106709335,287.00788582000285,GISS-E2-1-G-CC,historical,r1i1p1f1
1938,288.39211208562585,287.07684922903667,GISS-E2-1-G-CC,historical,r1i1p1f1
1939,288.3283787681692,287.02354377268955,GISS-E2-1-G-CC,historical,r1i1p1f1
1940,288.2649346347733,286.93182064267035,GISS-E2-1-G-CC,historical,r1i1p1f1
1941,288.5368218731085,287.1928525923028,GISS-E2-1-G-CC,historical,r1i1p1f1
1942,288.34290809634984,287.00888545913836,GISS-E2-1-G-CC,historical,r1i1p1f1
1943,288.09912419368624,286.78867665878744,GISS-E2-1-G-CC,historical,r1i1p1f1
1944,288.3050654971494,286.997145202551,GISS-E2-1-G-CC,historical,r1i1p1f1
1945,288.47845808182393,287.14527935286793,GISS-E2-1-G-CC,historical,r1i1p1f1
1946,288.2541426130593,286.9203077003517,GISS-E2-1-G-CC,historical,r1i1p1f1
1947,288.184240433575,286.82652470198633,GISS-E2-1-G-CC,historical,r1i1p1f1
1948,288.2666597412603,286.92258336457013,GISS-E2-1-G-CC,historical,r1i1p1f1
1949,288.4864039468984,287.15341440241286,GISS-E2-1-G-CC,historical,r1i1p1f1
1950,288.4705590627442,287.11330947711735,GISS-E2-1-G-CC,historical,r1i1p1f1
1951,288.2019436412916,286.82839141752254,GISS-E2-1-G-CC,historical,r1i1p1f1
1952,288.17371665697175,286.8008599213941,GISS-E2-1-G-CC,historical,r1i1p1f1
1953,288.5037398302045,287.12740928909176,GISS-E2-1-G-CC,historical,r1i1p1f1
1954,288.4853889384108,287.1077558553992,GISS-E2-1-G-CC,historical,r1i1p1f1
1955,288.28236089107315,286.9112960793728,GISS-E2-1-G-CC,historical,r1i1p1f1
1956,288.27581161509585,286.9103083920438,GISS-E2-1-G-CC,historical,r1i1p1f1
1957,288.61105173928405,287.25575668973187,GISS-E2-1-G-CC,historical,r1i1p1f1
1958,288.36943561857936,287.00624240061643,GISS-E2-1-G-CC,historical,r1i1p1f1
1959,288.3214183730607,286.9686032574085,GISS-E2-1-G-CC,historical,r1i1p1f1
1960,288.56080064661336,287.21193161998485,GISS-E2-1-G-CC,historical,r1i1p1f1
1961,288.52436130970136,287.1756859810064,GISS-E2-1-G-CC,historical,r1i1p1f1
1962,288.26526721599686,286.912006232037,GISS-E2-1-G-CC,historical,r1i1p1f1
1963,288.09077686426383,286.73846743932654,GISS-E2-1-G-CC,historical,r1i1p1f1
1964,288.371035959401,287.0586922098299,GISS-E2-1-G-CC,historical,r1i1p1f1
1965,288.40684456467653,287.0653419161568,GISS-E2-1-G-CC,historical,r1i1p1f1
1966,288.2522748676187,286.9374147033446,GISS-E2-1-G-CC,historical,r1i1p1f1
1967,288.1982359396955,286.84170912896343,GISS-E2-1-G-CC,historical,r1i1p1f1
1968,288.42434479481136,287.0657713037127,GISS-E2-1-G-CC,historical,r1i1p1f1
1969,288.5696261019346,287.1792491934199,GISS-E2-1-G-CC,historical,r1i1p1f1
1970,288.35894967426447,286.9509306958751,GISS-E2-1-G-CC,historical,r1i1p1f1
1971,288.2203783857907,286.844526985976,GISS-E2-1-G-CC,historical,r1i1p1f1
1972,288.3248705743997,286.9903120630115,GISS-E2-1-G-CC,historical,r1i1p1f1
1973,288.46180297979043,287.1531270239491,GISS-E2-1-G-CC,historical,r1i1p1f1
1974,288.2250055007739,286.8774627128053,GISS-E2-1-G-CC,historical,r1i1p1f1
1975,288.2387087966016,286.9248220377159,GISS-E2-1-G-CC,historical,r1i1p1f1
1976,288.5388656379091,287.19216588043827,GISS-E2-1-G-CC,historical,r1i1p1f1
1977,288.7094860330953,287.36911468692983,GISS-E2-1-G-CC,historical,r1i1p1f1
1978,288.3980534447558,287.0765425114171,GISS-E2-1-G-CC,historical,r1i1p1f1
1979,288.39056123343005,287.0383540147453,GISS-E2-1-G-CC,historical,r1i1p1f1
1980,288.57191320862506,287.2318288265349,GISS-E2-1-G-CC,historical,r1i1p1f1
1981,288.7111038377613,287.36319867479807,GISS-E2-1-G-CC,historical,r1i1p1f1
1982,288.4407770970473,287.13435857711045,GISS-E2-1-G-CC,historical,r1i1p1f1
1983,288.42778351733074,287.0745210220664,GISS-E2-1-G-CC,historical,r1i1p1f1
1984,288.51345459702173,287.20225181515997,GISS-E2-1-G-CC,historical,r1i1p1f1
1985,288.506341854099,287.18771299159295,GISS-E2-1-G-CC,historical,r1i1p1f1
1986,288.7391460704929,287.4610887284352,GISS-E2-1-G-CC,historical,r1i1p1f1
1987,288.66125122395863,287.3699556666473,GISS-E2-1-G-CC,historical,r1i1p1f1
1988,288.36413579393127,287.0305427052109,GISS-E2-1-G-CC,historical,r1i1p1f1
1989,288.54980527592073,287.20363193844656,GISS-E2-1-G-CC,historical,r1i1p1f1
1990,288.86677245998385,287.4869323388907,GISS-E2-1-G-CC,historical,r1i1p1f1
1991,288.7703914220425,287.42424167654593,GISS-E2-1-G-CC,historical,r1i1p1f1
1992,288.34533759032433,286.97581805019587,GISS-E2-1-G-CC,historical,r1i1p1f1
1993,288.55670287180544,287.1596935973095,GISS-E2-1-G-CC,historical,r1i1p1f1
1994,288.8280254531145,287.49524391912524,GISS-E2-1-G-CC,historical,r1i1p1f1
1995,288.7702740499035,287.4282721931639,GISS-E2-1-G-CC,historical,r1i1p1f1
1996,288.46856856962887,287.1732574282967,GISS-E2-1-G-CC,historical,r1i1p1f1
1997,288.6056478476124,287.3129740698416,GISS-E2-1-G-CC,historical,r1i1p1f1
1998,288.90392891761064,287.5979474912888,GISS-E2-1-G-CC,historical,r1i1p1f1
1999,288.9087291299907,287.6543655629302,GISS-E2-1-G-CC,historical,r1i1p1f1
2000,289.062854247682,287.7733249845287,GISS-E2-1-G-CC,historical,r1i1p1f1
2001,289.01324141125735,287.72637437685285,GISS-E2-1-G-CC,historical,r1i1p1f1
2002,288.95841021995363,287.69163055138745,GISS-E2-1-G-CC,historical,r1i1p1f1
2003,288.92088201551314,287.6321617068994,GISS-E2-1-G-CC,historical,r1i1p1f1
2004,288.8606420967048,287.5902148172465,GISS-E2-1-G-CC,historical,r1i1p1f1
2005,289.1452005560012,287.86322058249453,GISS-E2-1-G-CC,historical,r1i1p1f1
2006,289.17455078580423,287.9210813152025,GISS-E2-1-G-CC,historical,r1i1p1f1
2007,288.9186812698944,287.657799939754,GISS-E2-1-G-CC,historical,r1i1p1f1
2008,288.89093152862495,287.628822211657,GISS-E2-1-G-CC,historical,r1i1p1f1
2009,289.0637882076945,287.81197015916536,GISS-E2-1-G-CC,historical,r1i1p1f1
2010,289.2487137999719,287.97858748357663,GISS-E2-1-G-CC,historical,r1i1p1f1
2011,289.07718055010156,287.8224238387363,GISS-E2-1-G-CC,historical,r1i1p1f1
2012,288.92752993263815,287.6438692491819,GISS-E2-1-G-CC,historical,r1i1p1f1
2013,289.1126442970321,287.833045951854,GISS-E2-1-G-CC,historical,r1i1p1f1
2014,289.2768336011666,288.01350188008604,GISS-E2-1-G-CC,historical,r1i1p1f1
