year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.84940360844956,287.5741110186968,GISS-E2-1-G,historical,r9i1p3f1
1851,288.74719161647226,287.5064877108604,GISS-E2-1-G,historical,r9i1p3f1
1852,288.38038978360197,287.1462387956332,GISS-E2-1-G,historical,r9i1p3f1
1853,288.2871226037499,287.0454364315833,GISS-E2-1-G,historical,r9i1p3f1
1854,288.43980939725833,287.1980092799566,GISS-E2-1-G,historical,r9i1p3f1
1855,288.8713899762254,287.5948510103153,GISS-E2-1-G,historical,r9i1p3f1
1856,288.92966886320386,287.63612279001103,GISS-E2-1-G,historical,r9i1p3f1
1857,288.53832797661545,287.27091318358714,GISS-E2-1-G,historical,r9i1p3f1
1858,288.5212805577556,287.2445800855581,GISS-E2-1-G,historical,r9i1p3f1
1859,288.74512301262865,287.45739260059395,GISS-E2-1-G,historical,r9i1p3f1
1860,288.98130344074974,287.67897981012976,GISS-E2-1-G,historical,r9i1p3f1
1861,288.5566741763695,287.3038853472202,GISS-E2-1-G,historical,r9i1p3f1
1862,288.36963094002715,287.0549560578377,GISS-E2-1-G,historical,r9i1p3f1
1863,288.5411607746609,287.26725853687736,GISS-E2-1-G,historical,r9i1p3f1
1864,288.6240815330814,287.3845836691133,GISS-E2-1-G,historical,r9i1p3f1
1865,288.62411472611393,287.3585654506277,GISS-E2-1-G,historical,r9i1p3f1
1866,288.5107128702572,287.25741511967055,GISS-E2-1-G,historical,r9i1p3f1
1867,288.37974731783464,287.0880768633052,GISS-E2-1-G,historical,r9i1p3f1
1868,288.3906760680992,287.0680717500815,GISS-E2-1-G,historical,r9i1p3f1
1869,288.44694567271597,287.19907290351216,GISS-E2-1-G,historical,r9i1p3f1
1870,288.57370277255745,287.2788852143503,GISS-E2-1-G,historical,r9i1p3f1
1871,288.74760847178516,287.47813375416087,GISS-E2-1-G,historical,r9i1p3f1
1872,288.7211631739489,287.4403407046754,GISS-E2-1-G,historical,r9i1p3f1
1873,288.6206846461912,287.3446151819994,GISS-E2-1-G,historical,r9i1p3f1
1874,288.48474944858486,287.2343493209303,GISS-E2-1-G,historical,r9i1p3f1
1875,288.50723565323136,287.2281147254581,GISS-E2-1-G,historical,r9i1p3f1
1876,288.6201922248605,287.37010602262836,GISS-E2-1-G,historical,r9i1p3f1
1877,288.7326176902685,287.4346543729022,GISS-E2-1-G,historical,r9i1p3f1
1878,288.6051679018172,287.32040393998363,GISS-E2-1-G,historical,r9i1p3f1
1879,288.4655363888614,287.2000383599834,GISS-E2-1-G,historical,r9i1p3f1
1880,288.4485645884952,287.1281196022408,GISS-E2-1-G,historical,r9i1p3f1
1881,288.69737543885,287.41972913792284,GISS-E2-1-G,historical,r9i1p3f1
1882,288.7966900615071,287.52834939617355,GISS-E2-1-G,historical,r9i1p3f1
1883,288.4248510811308,287.13693206104267,GISS-E2-1-G,historical,r9i1p3f1
1884,288.0402155651754,286.7550612727763,GISS-E2-1-G,historical,r9i1p3f1
1885,288.27827769587645,286.9662027167486,GISS-E2-1-G,historical,r9i1p3f1
1886,288.7179331523405,287.4349625961919,GISS-E2-1-G,historical,r9i1p3f1
1887,288.7160745294914,287.40862500189536,GISS-E2-1-G,historical,r9i1p3f1
1888,288.39772856048705,287.14976284781625,GISS-E2-1-G,historical,r9i1p3f1
1889,288.5304669944982,287.2255347600804,GISS-E2-1-G,historical,r9i1p3f1
1890,288.71857882782916,287.44125152843276,GISS-E2-1-G,historical,r9i1p3f1
1891,288.84232201170636,287.5814497513229,GISS-E2-1-G,historical,r9i1p3f1
1892,288.4606345319428,287.1728181418802,GISS-E2-1-G,historical,r9i1p3f1
1893,288.310072310175,287.0293070202336,GISS-E2-1-G,historical,r9i1p3f1
1894,288.4660702172442,287.1833015921053,GISS-E2-1-G,historical,r9i1p3f1
1895,288.668353356264,287.3773761542466,GISS-E2-1-G,historical,r9i1p3f1
1896,288.93317496257794,287.66313199325566,GISS-E2-1-G,historical,r9i1p3f1
1897,288.75898285028296,287.4877525602904,GISS-E2-1-G,historical,r9i1p3f1
1898,288.5793073271733,287.29522889558604,GISS-E2-1-G,historical,r9i1p3f1
1899,288.75083244212215,287.4729391477404,GISS-E2-1-G,historical,r9i1p3f1
1900,288.9358255860507,287.670902680603,GISS-E2-1-G,historical,r9i1p3f1
1901,288.47960158965304,287.21581366918895,GISS-E2-1-G,historical,r9i1p3f1
1902,288.3537165081819,287.0730001445662,GISS-E2-1-G,historical,r9i1p3f1
1903,288.3447376634169,287.03120873925815,GISS-E2-1-G,historical,r9i1p3f1
1904,288.6183707146767,287.327307792772,GISS-E2-1-G,historical,r9i1p3f1
1905,288.640282839777,287.34464997655704,GISS-E2-1-G,historical,r9i1p3f1
1906,288.63593393928534,287.3088256258738,GISS-E2-1-G,historical,r9i1p3f1
1907,288.4795102551883,287.1641986117727,GISS-E2-1-G,historical,r9i1p3f1
1908,288.43940882034724,287.1440691677933,GISS-E2-1-G,historical,r9i1p3f1
1909,288.54171609359923,287.214112679133,GISS-E2-1-G,historical,r9i1p3f1
1910,288.6786226564581,287.3971473029647,GISS-E2-1-G,historical,r9i1p3f1
1911,288.76377217943144,287.45642522512986,GISS-E2-1-G,historical,r9i1p3f1
1912,288.5166839934927,287.20578820101053,GISS-E2-1-G,historical,r9i1p3f1
1913,288.2595614107949,286.9482504721778,GISS-E2-1-G,historical,r9i1p3f1
1914,288.5280116175522,287.2493730662573,GISS-E2-1-G,historical,r9i1p3f1
1915,288.7315010780786,287.4613209337372,GISS-E2-1-G,historical,r9i1p3f1
1916,288.49024830709124,287.1895059729091,GISS-E2-1-G,historical,r9i1p3f1
1917,288.4083368944931,287.14893536731415,GISS-E2-1-G,historical,r9i1p3f1
1918,288.52636634240804,287.25297406859727,GISS-E2-1-G,historical,r9i1p3f1
1919,288.9211240353684,287.6475333998389,GISS-E2-1-G,historical,r9i1p3f1
1920,288.8899691135432,287.59768177485216,GISS-E2-1-G,historical,r9i1p3f1
1921,288.55599449260507,287.29146689197944,GISS-E2-1-G,historical,r9i1p3f1
1922,288.553300112673,287.2842208869067,GISS-E2-1-G,historical,r9i1p3f1
1923,288.74275026939006,287.4811146231874,GISS-E2-1-G,historical,r9i1p3f1
1924,288.8495998251902,287.55978301801196,GISS-E2-1-G,historical,r9i1p3f1
1925,288.9154716258374,287.6533191319696,GISS-E2-1-G,historical,r9i1p3f1
1926,288.60490649785675,287.34749256862403,GISS-E2-1-G,historical,r9i1p3f1
1927,288.57608469381836,287.30484670925824,GISS-E2-1-G,historical,r9i1p3f1
1928,288.6609707863433,287.44852074449346,GISS-E2-1-G,historical,r9i1p3f1
1929,288.8874490683411,287.6351371981175,GISS-E2-1-G,historical,r9i1p3f1
1930,288.91292006226973,287.6861548632607,GISS-E2-1-G,historical,r9i1p3f1
1931,288.9923664131799,287.70572952671154,GISS-E2-1-G,historical,r9i1p3f1
1932,288.66448079766434,287.3552862622449,GISS-E2-1-G,historical,r9i1p3f1
1933,288.4033518187935,287.12668265917904,GISS-E2-1-G,historical,r9i1p3f1
1934,288.5067377546481,287.25942731784653,GISS-E2-1-G,historical,r9i1p3f1
1935,288.5555687238407,287.26417202432174,GISS-E2-1-G,historical,r9i1p3f1
1936,288.69084994814693,287.43357885491525,GISS-E2-1-G,historical,r9i1p3f1
1937,288.7877452795381,287.4882088315349,GISS-E2-1-G,historical,r9i1p3f1
1938,288.6773743562179,287.4470574332421,GISS-E2-1-G,historical,r9i1p3f1
1939,288.6543771475625,287.4028691512623,GISS-E2-1-G,historical,r9i1p3f1
1940,288.6594621370784,287.37784393445645,GISS-E2-1-G,historical,r9i1p3f1
1941,288.8030336311463,287.5453072062092,GISS-E2-1-G,historical,r9i1p3f1
1942,288.93490641909426,287.6671443561439,GISS-E2-1-G,historical,r9i1p3f1
1943,288.76766092924566,287.5066952431463,GISS-E2-1-G,historical,r9i1p3f1
1944,288.6128154978084,287.377186539246,GISS-E2-1-G,historical,r9i1p3f1
1945,288.69008790091857,287.4378749317991,GISS-E2-1-G,historical,r9i1p3f1
1946,288.67181726491856,287.44310713962545,GISS-E2-1-G,historical,r9i1p3f1
1947,288.5737002320653,287.35212164877584,GISS-E2-1-G,historical,r9i1p3f1
1948,288.6669285939812,287.4423523795765,GISS-E2-1-G,historical,r9i1p3f1
1949,288.9169479645233,287.6654138956997,GISS-E2-1-G,historical,r9i1p3f1
1950,288.94889809762054,287.6994764283405,GISS-E2-1-G,historical,r9i1p3f1
1951,288.71570130273955,287.4692138899602,GISS-E2-1-G,historical,r9i1p3f1
1952,288.60212010364904,287.3181952518437,GISS-E2-1-G,historical,r9i1p3f1
1953,288.6582215449434,287.36349114685225,GISS-E2-1-G,historical,r9i1p3f1
1954,288.9268152883124,287.68664033232704,GISS-E2-1-G,historical,r9i1p3f1
1955,288.871308352024,287.5624162863998,GISS-E2-1-G,historical,r9i1p3f1
1956,288.6026684065342,287.3494210231552,GISS-E2-1-G,historical,r9i1p3f1
1957,288.6375020406529,287.39486425222645,GISS-E2-1-G,historical,r9i1p3f1
1958,288.8347086327823,287.5627758060029,GISS-E2-1-G,historical,r9i1p3f1
1959,289.02155907346463,287.7499980630062,GISS-E2-1-G,historical,r9i1p3f1
1960,288.8470735943263,287.5791326592685,GISS-E2-1-G,historical,r9i1p3f1
1961,288.55502237889834,287.2905677940275,GISS-E2-1-G,historical,r9i1p3f1
1962,288.74546868530126,287.4872607410543,GISS-E2-1-G,historical,r9i1p3f1
1963,288.9223839388504,287.66634750723523,GISS-E2-1-G,historical,r9i1p3f1
1964,288.51515930376434,287.2579415272612,GISS-E2-1-G,historical,r9i1p3f1
1965,288.35826350044925,287.0908215677715,GISS-E2-1-G,historical,r9i1p3f1
1966,288.56835636279334,287.30248100241613,GISS-E2-1-G,historical,r9i1p3f1
1967,288.8489854209739,287.5872661461607,GISS-E2-1-G,historical,r9i1p3f1
1968,288.9586539011369,287.6694362106778,GISS-E2-1-G,historical,r9i1p3f1
1969,288.83088395994866,287.5553250921238,GISS-E2-1-G,historical,r9i1p3f1
1970,288.75718863574815,287.51334034336634,GISS-E2-1-G,historical,r9i1p3f1
1971,288.677322551967,287.41241841688753,GISS-E2-1-G,historical,r9i1p3f1
1972,288.7413420360299,287.47044698351414,GISS-E2-1-G,historical,r9i1p3f1
1973,288.8394090009293,287.5555854140018,GISS-E2-1-G,historical,r9i1p3f1
1974,288.8835116140958,287.594214791531,GISS-E2-1-G,historical,r9i1p3f1
1975,288.6008031908011,287.33807223493557,GISS-E2-1-G,historical,r9i1p3f1
1976,288.6956049703665,287.4105220908593,GISS-E2-1-G,historical,r9i1p3f1
1977,288.85936585760237,287.5664884990333,GISS-E2-1-G,historical,r9i1p3f1
1978,288.90056243252354,287.6336955762208,GISS-E2-1-G,historical,r9i1p3f1
1979,288.78723706514785,287.49800765711325,GISS-E2-1-G,historical,r9i1p3f1
1980,288.8042338190237,287.5344457599612,GISS-E2-1-G,historical,r9i1p3f1
1981,288.9662816136915,287.7104427483833,GISS-E2-1-G,historical,r9i1p3f1
1982,289.1094259333705,287.83699766398723,GISS-E2-1-G,historical,r9i1p3f1
1983,288.9351403191064,287.6477429664481,GISS-E2-1-G,historical,r9i1p3f1
1984,289.02961107611753,287.74684744489315,GISS-E2-1-G,historical,r9i1p3f1
1985,288.9156237426853,287.6611219129731,GISS-E2-1-G,historical,r9i1p3f1
1986,288.9875986656453,287.69281950983566,GISS-E2-1-G,historical,r9i1p3f1
1987,289.0987886505457,287.78680377182275,GISS-E2-1-G,historical,r9i1p3f1
1988,289.2399334727154,287.96544736326166,GISS-E2-1-G,historical,r9i1p3f1
1989,289.0284693040432,287.7549462759004,GISS-E2-1-G,historical,r9i1p3f1
1990,288.8535902152619,287.59124414813857,GISS-E2-1-G,historical,r9i1p3f1
1991,288.9163202421027,287.6719628948764,GISS-E2-1-G,historical,r9i1p3f1
1992,288.8892514813927,287.6125112904699,GISS-E2-1-G,historical,r9i1p3f1
1993,289.0747261583199,287.7858359832158,GISS-E2-1-G,historical,r9i1p3f1
1994,288.8059162276652,287.51711110335697,GISS-E2-1-G,historical,r9i1p3f1
1995,288.8755440676007,287.6046446008374,GISS-E2-1-G,historical,r9i1p3f1
1996,288.8217749417879,287.553869104158,GISS-E2-1-G,historical,r9i1p3f1
1997,289.090237493928,287.83653396072077,GISS-E2-1-G,historical,r9i1p3f1
1998,289.3582940434838,288.08667404663663,GISS-E2-1-G,historical,r9i1p3f1
1999,289.39288817703755,288.1293538116793,GISS-E2-1-G,historical,r9i1p3f1
2000,289.2552117840029,287.9894257872891,GISS-E2-1-G,historical,r9i1p3f1
2001,289.12304805882445,287.90375166790625,GISS-E2-1-G,historical,r9i1p3f1
2002,289.33392349287476,288.1202911495184,GISS-E2-1-G,historical,r9i1p3f1
2003,289.4303999327247,288.20593331921174,GISS-E2-1-G,historical,r9i1p3f1
2004,289.4738561669743,288.2919186441442,GISS-E2-1-G,historical,r9i1p3f1
2005,289.1042546179551,287.8482555622888,GISS-E2-1-G,historical,r9i1p3f1
2006,289.0417820921319,287.80028802555324,GISS-E2-1-G,historical,r9i1p3f1
2007,289.2507577295692,288.07283041624066,GISS-E2-1-G,historical,r9i1p3f1
2008,289.4756087305069,288.2079015511583,GISS-E2-1-G,historical,r9i1p3f1
2009,289.14086389827264,287.9173402655141,GISS-E2-1-G,historical,r9i1p3f1
2010,289.02661991114235,287.77625933152365,GISS-E2-1-G,historical,r9i1p3f1
2011,289.2268387439136,288.02860237147877,GISS-E2-1-G,historical,r9i1p3f1
2012,289.5897402933151,288.365724654611,GISS-E2-1-G,historical,r9i1p3f1
2013,289.51378666564574,288.2632321249842,GISS-E2-1-G,historical,r9i1p3f1
2014,289.1619557159092,287.9779548771919,GISS-E2-1-G,historical,r9i1p3f1
