year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.2791367846855,288.06707389520176,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2016,289.28393048959015,288.06353357381914,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2017,289.24139098610254,288.05208040967534,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2018,289.3581799300501,288.17956835143815,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2019,289.2246098366162,288.096228933903,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2020,289.30508134740944,288.19065563670705,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2021,289.4646692490663,288.3371754588941,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2022,289.6888104342333,288.5766312177772,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2023,289.52497565373346,288.43326987617206,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2024,289.55248268150297,288.43558380843467,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2025,289.69791760863694,288.5949229884495,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2026,289.7533034633419,288.6302566389859,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2027,289.6993893089158,288.5857792742964,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2028,289.7728007496345,288.675188655243,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2029,289.75276641351724,288.62519762692347,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2030,289.796435436161,288.64283825863754,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2031,289.74306960536643,288.5742393214309,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2032,289.8636267595193,288.69768209637385,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2033,289.79559119964824,288.6410496720746,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2034,289.95463018996287,288.79141978177734,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2035,289.96339992603987,288.84840857661277,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2036,289.6784245600913,288.58986157876853,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2037,289.8831290692395,288.76985226976035,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2038,289.87541197212516,288.7954685062169,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2039,289.9923103703812,288.8955239743224,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2040,290.1324572142182,289.06886625430286,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2041,290.04224093112487,288.98319400439254,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2042,290.0637173899224,289.003134435473,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2043,290.239136917983,289.1937351375413,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2044,290.27308100432396,289.21035491490454,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2045,290.2557950969492,289.1889741022976,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2046,290.26182985779286,289.1804131694168,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2047,290.18748006038925,289.1403678193075,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2048,290.38552553985306,289.32427182010144,HadGEM3-GC31-LL,ssp245,r1i1p1f3
2049,290.52525139376445,289.46476448490284,HadGEM3-GC31-LL,ssp245,r1i1p1f3
