year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.35251236956105,288.21619368907733,IITM-ESM,ssp370,r1i1p1f1
2016,289.51505333429105,288.366337916372,IITM-ESM,ssp370,r1i1p1f1
2017,289.5904248371306,288.4504771840007,IITM-ESM,ssp370,r1i1p1f1
2018,289.58678223257436,288.46683303501817,IITM-ESM,ssp370,r1i1p1f1
2019,289.59050960884707,288.4546673806998,IITM-ESM,ssp370,r1i1p1f1
2020,289.4209056192698,288.26771959761413,IITM-ESM,ssp370,r1i1p1f1
2021,289.47461484110653,288.34977860202196,IITM-ESM,ssp370,r1i1p1f1
2022,289.6675102137198,288.50144816179613,IITM-ESM,ssp370,r1i1p1f1
2023,289.6884839989168,288.5579043655538,IITM-ESM,ssp370,r1i1p1f1
2024,289.7438905957986,288.5837915847816,IITM-ESM,ssp370,r1i1p1f1
2025,289.6684485385818,288.5696046794467,IITM-ESM,ssp370,r1i1p1f1
2026,289.6142458692089,288.4629771702296,IITM-ESM,ssp370,r1i1p1f1
2027,289.72544229783614,288.549590432257,IITM-ESM,ssp370,r1i1p1f1
2028,289.76867939136326,288.62341684084214,IITM-ESM,ssp370,r1i1p1f1
2029,289.76732468518037,288.64405780249376,IITM-ESM,ssp370,r1i1p1f1
2030,289.87970632689365,288.7871138357589,IITM-ESM,ssp370,r1i1p1f1
2031,289.94692508360293,288.8160195482292,IITM-ESM,ssp370,r1i1p1f1
2032,289.69762022328973,288.542170492395,IITM-ESM,ssp370,r1i1p1f1
2033,289.9120828789949,288.7744829161855,IITM-ESM,ssp370,r1i1p1f1
2034,289.88982668173804,288.77492266763124,IITM-ESM,ssp370,r1i1p1f1
2035,289.9273897088249,288.80054704884327,IITM-ESM,ssp370,r1i1p1f1
2036,289.87976359682335,288.78977333513575,IITM-ESM,ssp370,r1i1p1f1
2037,289.9643052334391,288.8591190045101,IITM-ESM,ssp370,r1i1p1f1
2038,289.97688834286,288.8502222178413,IITM-ESM,ssp370,r1i1p1f1
2039,290.16481085014897,289.0494957804069,IITM-ESM,ssp370,r1i1p1f1
2040,289.98747434158537,288.88708515006994,IITM-ESM,ssp370,r1i1p1f1
2041,290.0287166887695,288.9507677805153,IITM-ESM,ssp370,r1i1p1f1
2042,290.1913510661425,289.10014418487305,IITM-ESM,ssp370,r1i1p1f1
2043,290.24259393459766,289.13538187585357,IITM-ESM,ssp370,r1i1p1f1
2044,290.0865768755205,289.0022545404747,IITM-ESM,ssp370,r1i1p1f1
2045,290.0910881072177,289.0152425861247,IITM-ESM,ssp370,r1i1p1f1
2046,290.28381338985554,289.21350904859355,IITM-ESM,ssp370,r1i1p1f1
2047,290.3377074115101,289.27814103551987,IITM-ESM,ssp370,r1i1p1f1
2048,290.1298853510211,289.04855230501266,IITM-ESM,ssp370,r1i1p1f1
2049,290.15829691814616,289.0816164235663,IITM-ESM,ssp370,r1i1p1f1
2050,290.28401818067465,289.16396902098995,IITM-ESM,ssp370,r1i1p1f1
2051,290.55167214495486,289.43883345155956,IITM-ESM,ssp370,r1i1p1f1
2052,290.44418376003443,289.3547395227157,IITM-ESM,ssp370,r1i1p1f1
2053,290.5590025157316,289.4853115567425,IITM-ESM,ssp370,r1i1p1f1
2054,290.31314698200487,289.2080836497628,IITM-ESM,ssp370,r1i1p1f1
2055,290.57469688372794,289.4566056870464,IITM-ESM,ssp370,r1i1p1f1
2056,290.40567923162126,289.3188411897707,IITM-ESM,ssp370,r1i1p1f1
2057,290.55294358981075,289.4650857527321,IITM-ESM,ssp370,r1i1p1f1
2058,290.32593421316204,289.2465035577933,IITM-ESM,ssp370,r1i1p1f1
2059,290.49093309922375,289.4289869988824,IITM-ESM,ssp370,r1i1p1f1
2060,290.4236858172142,289.34943296857466,IITM-ESM,ssp370,r1i1p1f1
2061,290.5454818065253,289.4810518038598,IITM-ESM,ssp370,r1i1p1f1
2062,290.4029670066153,289.33349209395277,IITM-ESM,ssp370,r1i1p1f1
2063,290.52623904116314,289.4562759495461,IITM-ESM,ssp370,r1i1p1f1
2064,290.55693330068993,289.49424321242657,IITM-ESM,ssp370,r1i1p1f1
2065,290.6462054705769,289.55643881388175,IITM-ESM,ssp370,r1i1p1f1
2066,290.5777628765629,289.528552283823,IITM-ESM,ssp370,r1i1p1f1
2067,290.78886588006634,289.75208113972786,IITM-ESM,ssp370,r1i1p1f1
2068,290.85191495109297,289.84071899155447,IITM-ESM,ssp370,r1i1p1f1
2069,290.7620201539973,289.7389686236166,IITM-ESM,ssp370,r1i1p1f1
2070,290.83440192118707,289.80977206642996,IITM-ESM,ssp370,r1i1p1f1
2071,291.0672181008746,290.0264482869166,IITM-ESM,ssp370,r1i1p1f1
2072,290.8631847822756,289.79872459389725,IITM-ESM,ssp370,r1i1p1f1
2073,290.9229653548534,289.86230826384326,IITM-ESM,ssp370,r1i1p1f1
2074,290.84620114635,289.80621320989866,IITM-ESM,ssp370,r1i1p1f1
2075,291.0014130463574,289.969475306104,IITM-ESM,ssp370,r1i1p1f1
2076,291.0334136501961,289.9954535214329,IITM-ESM,ssp370,r1i1p1f1
2077,290.86260495761456,289.837052879177,IITM-ESM,ssp370,r1i1p1f1
2078,291.0928439181257,290.06585924089836,IITM-ESM,ssp370,r1i1p1f1
2079,291.09757273125217,290.08364554466436,IITM-ESM,ssp370,r1i1p1f1
2080,291.05204044855077,290.05374080902357,IITM-ESM,ssp370,r1i1p1f1
