year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.47815714890345,287.33870053262217,INM-CM5-0,ssp370,r1i1p1f1
2016,288.40518840871783,287.2558054458797,INM-CM5-0,ssp370,r1i1p1f1
2017,288.4911996968323,287.33350559576957,INM-CM5-0,ssp370,r1i1p1f1
2018,288.56916933001884,287.4558019381389,INM-CM5-0,ssp370,r1i1p1f1
2019,288.58380579063333,287.5075729207151,INM-CM5-0,ssp370,r1i1p1f1
2020,288.51257120338107,287.3873280988705,INM-CM5-0,ssp370,r1i1p1f1
2021,288.57104680296635,287.4132995675143,INM-CM5-0,ssp370,r1i1p1f1
2022,288.71235964987187,287.59390984493126,INM-CM5-0,ssp370,r1i1p1f1
2023,288.6242650517034,287.49298283112086,INM-CM5-0,ssp370,r1i1p1f1
2024,288.6653762792908,287.50369200933307,INM-CM5-0,ssp370,r1i1p1f1
2025,288.7139826572824,287.6034984895675,INM-CM5-0,ssp370,r1i1p1f1
2026,288.71976997158,287.6102167867187,INM-CM5-0,ssp370,r1i1p1f1
2027,288.71411226019944,287.5958281002795,INM-CM5-0,ssp370,r1i1p1f1
2028,288.7169875930597,287.5704053155536,INM-CM5-0,ssp370,r1i1p1f1
2029,288.8384190669846,287.71206810648584,INM-CM5-0,ssp370,r1i1p1f1
2030,288.87312914944556,287.73783477434694,INM-CM5-0,ssp370,r1i1p1f1
2031,289.00120811121695,287.88524518083614,INM-CM5-0,ssp370,r1i1p1f1
2032,289.008253733119,287.9035494685042,INM-CM5-0,ssp370,r1i1p1f1
2033,288.95723643518477,287.84332545450303,INM-CM5-0,ssp370,r1i1p1f1
2034,288.98540180994445,287.8646410816133,INM-CM5-0,ssp370,r1i1p1f1
2035,289.02829952472933,287.93173118027767,INM-CM5-0,ssp370,r1i1p1f1
2036,289.0497312280701,287.91691575353764,INM-CM5-0,ssp370,r1i1p1f1
2037,289.14316025435926,288.04709082416343,INM-CM5-0,ssp370,r1i1p1f1
2038,289.1812051870752,288.0817734633228,INM-CM5-0,ssp370,r1i1p1f1
2039,289.19708868712314,288.13556272578955,INM-CM5-0,ssp370,r1i1p1f1
2040,289.23536147915945,288.1159531779584,INM-CM5-0,ssp370,r1i1p1f1
2041,289.20179714734894,288.0635825638022,INM-CM5-0,ssp370,r1i1p1f1
2042,289.1847102233549,288.0621019333998,INM-CM5-0,ssp370,r1i1p1f1
2043,289.29152050660383,288.15600177602215,INM-CM5-0,ssp370,r1i1p1f1
2044,289.3225581084125,288.1981293849244,INM-CM5-0,ssp370,r1i1p1f1
2045,289.3469255298631,288.25706873411156,INM-CM5-0,ssp370,r1i1p1f1
2046,289.3661495192613,288.27476610757816,INM-CM5-0,ssp370,r1i1p1f1
2047,289.4100812198287,288.31316823835147,INM-CM5-0,ssp370,r1i1p1f1
2048,289.4800272161758,288.3743598635373,INM-CM5-0,ssp370,r1i1p1f1
2049,289.39805584018484,288.29648390997824,INM-CM5-0,ssp370,r1i1p1f1
2050,289.40609713106824,288.3030270037818,INM-CM5-0,ssp370,r1i1p1f1
2051,289.3765213093392,288.26583537229203,INM-CM5-0,ssp370,r1i1p1f1
2052,289.4928853991922,288.3936644396225,INM-CM5-0,ssp370,r1i1p1f1
2053,289.51941160344603,288.4323916211382,INM-CM5-0,ssp370,r1i1p1f1
2054,289.4390542184112,288.32480905341396,INM-CM5-0,ssp370,r1i1p1f1
2055,289.4916116202858,288.39446942131354,INM-CM5-0,ssp370,r1i1p1f1
2056,289.48160159847174,288.35974393543074,INM-CM5-0,ssp370,r1i1p1f1
2057,289.534732967062,288.4560245087392,INM-CM5-0,ssp370,r1i1p1f1
2058,289.55544384156156,288.46613041204824,INM-CM5-0,ssp370,r1i1p1f1
2059,289.63170713425217,288.5678202809454,INM-CM5-0,ssp370,r1i1p1f1
2060,289.73288751684595,288.6629172940894,INM-CM5-0,ssp370,r1i1p1f1
2061,289.582586901128,288.52579600872275,INM-CM5-0,ssp370,r1i1p1f1
2062,289.6571043907492,288.6255460160091,INM-CM5-0,ssp370,r1i1p1f1
