year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.57355,287.49835,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2016,288.56888,287.49225,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2017,288.6836,287.58972,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2018,288.66678,287.60327,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2019,288.7393,287.66043,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2020,288.7653,287.6826,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2021,288.6743,287.59634,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2022,288.7289,287.63727,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2023,288.8392,287.75198,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2024,288.79056,287.70358,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2025,288.90674,287.86676,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2026,288.78812,287.74142,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2027,288.72232,287.62555,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2028,288.84924,287.75964,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2029,288.97256,287.91647,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2030,289.12476,288.035,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2031,288.96542,287.8549,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2032,289.07944,287.987,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2033,289.02908,287.91974,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2034,289.20404,288.12128,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2035,289.2624,288.18463,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2036,289.04437,287.98535,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2037,289.02603,287.92465,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2038,289.14835,288.06845,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2039,289.21466,288.13376,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2040,289.43973,288.37415,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2041,289.334,288.27032,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2042,289.23776,288.13794,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2043,289.25235,288.15298,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2044,289.474,288.409,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2045,289.3682,288.28232,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2046,289.5814,288.5559,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2047,289.6635,288.6059,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2048,289.44156,288.3756,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2049,289.5568,288.48804,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2050,289.70764,288.6139,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2051,289.75098,288.6916,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2052,289.66373,288.60046,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2053,289.7681,288.72058,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2054,289.8894,288.81912,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2055,289.96085,288.91702,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2056,289.88257,288.81573,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2057,289.80164,288.76263,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2058,289.72623,288.70056,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2059,289.73996,288.68036,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2060,290.07184,289.02692,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2061,290.20322,289.17618,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2062,290.08957,289.04346,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2063,290.17032,289.17496,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2064,290.2022,289.1985,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2065,290.14938,289.13467,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2066,290.22137,289.21222,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2067,290.2969,289.28226,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2068,290.49014,289.45932,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2069,290.50165,289.5049,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2070,290.46777,289.45398,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2071,290.42194,289.42587,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2072,290.49915,289.50034,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2073,290.62393,289.62402,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2074,290.7094,289.73663,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2075,290.87613,289.86823,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2076,290.88028,289.8949,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2077,290.71893,289.72623,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2078,290.73022,289.72894,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2079,290.8226,289.859,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2080,290.95294,290.03653,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2081,290.9694,290.02072,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2082,290.91098,289.96527,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2083,290.95667,290.003,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2084,291.29922,290.3241,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2085,291.12738,290.1837,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2086,291.1698,290.22574,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2087,291.21347,290.30865,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2088,291.3555,290.43625,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2089,291.1862,290.27408,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2090,291.48907,290.5676,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2091,291.6695,290.74435,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2092,291.5887,290.664,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2093,291.63126,290.69168,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2094,291.56604,290.64697,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2095,291.59552,290.66742,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2096,291.75824,290.84238,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2097,291.9627,291.04034,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2098,292.0707,291.1506,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2099,291.90378,290.99957,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
2100,291.86398,290.93515,IPSL-CM5A2-INCA,ssp370,r1i1p1f1
