year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.11795,286.028,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1851,287.2014,286.13882,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1852,287.23633,286.1716,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1853,287.19434,286.10803,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1854,287.31357,286.23798,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1855,287.33325,286.27185,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1856,287.23004,286.13123,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1857,287.23404,286.1658,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1858,287.31525,286.22357,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1859,287.07904,285.976,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1860,287.0192,285.89056,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1861,287.1431,286.06232,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1862,287.0765,285.9882,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1863,287.02484,285.94055,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1864,287.2408,286.17603,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1865,287.33777,286.21686,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1866,287.16544,286.03506,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1867,287.24936,286.1604,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1868,287.12967,286.0443,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1869,287.15714,286.07645,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1870,287.10782,286.0162,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1871,287.33987,286.24597,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
1872,287.2718,286.21106,IPSL-CM6A-LR-INCA,historical,r1i1p1f1
