year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.22223,287.2557,IPSL-CM6A-LR,ssp245,r10i1p1f1
2016,288.436,287.46817,IPSL-CM6A-LR,ssp245,r10i1p1f1
2017,288.35062,287.3446,IPSL-CM6A-LR,ssp245,r10i1p1f1
2018,288.40344,287.39886,IPSL-CM6A-LR,ssp245,r10i1p1f1
2019,288.64203,287.67596,IPSL-CM6A-LR,ssp245,r10i1p1f1
2020,288.503,287.50995,IPSL-CM6A-LR,ssp245,r10i1p1f1
2021,288.3714,287.38574,IPSL-CM6A-LR,ssp245,r10i1p1f1
2022,288.506,287.54062,IPSL-CM6A-LR,ssp245,r10i1p1f1
2023,288.54205,287.57507,IPSL-CM6A-LR,ssp245,r10i1p1f1
2024,288.5972,287.61206,IPSL-CM6A-LR,ssp245,r10i1p1f1
2025,288.66766,287.6612,IPSL-CM6A-LR,ssp245,r10i1p1f1
2026,288.57507,287.5762,IPSL-CM6A-LR,ssp245,r10i1p1f1
2027,288.4729,287.4897,IPSL-CM6A-LR,ssp245,r10i1p1f1
2028,288.56747,287.56805,IPSL-CM6A-LR,ssp245,r10i1p1f1
2029,288.57742,287.59317,IPSL-CM6A-LR,ssp245,r10i1p1f1
2030,288.61166,287.63364,IPSL-CM6A-LR,ssp245,r10i1p1f1
2031,288.55878,287.58127,IPSL-CM6A-LR,ssp245,r10i1p1f1
2032,288.66006,287.66592,IPSL-CM6A-LR,ssp245,r10i1p1f1
2033,288.96716,287.96844,IPSL-CM6A-LR,ssp245,r10i1p1f1
2034,288.8664,287.87656,IPSL-CM6A-LR,ssp245,r10i1p1f1
2035,288.86557,287.85828,IPSL-CM6A-LR,ssp245,r10i1p1f1
2036,288.9326,287.95422,IPSL-CM6A-LR,ssp245,r10i1p1f1
2037,288.92426,287.9897,IPSL-CM6A-LR,ssp245,r10i1p1f1
2038,289.00217,288.10815,IPSL-CM6A-LR,ssp245,r10i1p1f1
2039,289.07837,288.14752,IPSL-CM6A-LR,ssp245,r10i1p1f1
2040,289.1089,288.1728,IPSL-CM6A-LR,ssp245,r10i1p1f1
2041,289.08807,288.16083,IPSL-CM6A-LR,ssp245,r10i1p1f1
2042,288.96457,288.0334,IPSL-CM6A-LR,ssp245,r10i1p1f1
2043,289.04608,288.10028,IPSL-CM6A-LR,ssp245,r10i1p1f1
2044,289.08246,288.1357,IPSL-CM6A-LR,ssp245,r10i1p1f1
2045,289.12653,288.18076,IPSL-CM6A-LR,ssp245,r10i1p1f1
2046,288.9968,288.05615,IPSL-CM6A-LR,ssp245,r10i1p1f1
2047,289.1574,288.1983,IPSL-CM6A-LR,ssp245,r10i1p1f1
2048,289.4605,288.54425,IPSL-CM6A-LR,ssp245,r10i1p1f1
2049,289.4244,288.52277,IPSL-CM6A-LR,ssp245,r10i1p1f1
2050,289.25406,288.34665,IPSL-CM6A-LR,ssp245,r10i1p1f1
2051,289.40997,288.48938,IPSL-CM6A-LR,ssp245,r10i1p1f1
2052,289.5515,288.6396,IPSL-CM6A-LR,ssp245,r10i1p1f1
2053,289.45145,288.51862,IPSL-CM6A-LR,ssp245,r10i1p1f1
2054,289.40424,288.48315,IPSL-CM6A-LR,ssp245,r10i1p1f1
2055,289.34967,288.46872,IPSL-CM6A-LR,ssp245,r10i1p1f1
2056,289.65402,288.76917,IPSL-CM6A-LR,ssp245,r10i1p1f1
2057,289.89865,289.03137,IPSL-CM6A-LR,ssp245,r10i1p1f1
2058,289.99152,289.1265,IPSL-CM6A-LR,ssp245,r10i1p1f1
2059,289.5024,288.64053,IPSL-CM6A-LR,ssp245,r10i1p1f1
2060,289.71155,288.83142,IPSL-CM6A-LR,ssp245,r10i1p1f1
2061,289.90436,289.02316,IPSL-CM6A-LR,ssp245,r10i1p1f1
2062,289.84567,288.97253,IPSL-CM6A-LR,ssp245,r10i1p1f1
2063,289.77118,288.88126,IPSL-CM6A-LR,ssp245,r10i1p1f1
2064,289.9693,289.08395,IPSL-CM6A-LR,ssp245,r10i1p1f1
2065,290.01978,289.14038,IPSL-CM6A-LR,ssp245,r10i1p1f1
2066,289.77255,288.9077,IPSL-CM6A-LR,ssp245,r10i1p1f1
2067,289.73322,288.8421,IPSL-CM6A-LR,ssp245,r10i1p1f1
2068,289.87994,288.96375,IPSL-CM6A-LR,ssp245,r10i1p1f1
2069,289.9876,289.09488,IPSL-CM6A-LR,ssp245,r10i1p1f1
2070,290.03937,289.16165,IPSL-CM6A-LR,ssp245,r10i1p1f1
2071,290.0431,289.19843,IPSL-CM6A-LR,ssp245,r10i1p1f1
2072,289.97086,289.11935,IPSL-CM6A-LR,ssp245,r10i1p1f1
2073,289.89038,289.08173,IPSL-CM6A-LR,ssp245,r10i1p1f1
2074,289.94217,289.11832,IPSL-CM6A-LR,ssp245,r10i1p1f1
2075,290.19904,289.38535,IPSL-CM6A-LR,ssp245,r10i1p1f1
2076,290.22675,289.40045,IPSL-CM6A-LR,ssp245,r10i1p1f1
2077,290.33154,289.49152,IPSL-CM6A-LR,ssp245,r10i1p1f1
2078,290.25403,289.41602,IPSL-CM6A-LR,ssp245,r10i1p1f1
2079,290.0647,289.2479,IPSL-CM6A-LR,ssp245,r10i1p1f1
2080,290.07855,289.2482,IPSL-CM6A-LR,ssp245,r10i1p1f1
2081,290.26166,289.4184,IPSL-CM6A-LR,ssp245,r10i1p1f1
2082,290.1944,289.3509,IPSL-CM6A-LR,ssp245,r10i1p1f1
2083,290.17825,289.31473,IPSL-CM6A-LR,ssp245,r10i1p1f1
2084,290.43484,289.56067,IPSL-CM6A-LR,ssp245,r10i1p1f1
2085,290.36407,289.53,IPSL-CM6A-LR,ssp245,r10i1p1f1
2086,290.1917,289.3401,IPSL-CM6A-LR,ssp245,r10i1p1f1
2087,290.3326,289.47272,IPSL-CM6A-LR,ssp245,r10i1p1f1
2088,290.64832,289.80917,IPSL-CM6A-LR,ssp245,r10i1p1f1
2089,290.56772,289.76855,IPSL-CM6A-LR,ssp245,r10i1p1f1
2090,290.38055,289.57236,IPSL-CM6A-LR,ssp245,r10i1p1f1
2091,290.46457,289.6449,IPSL-CM6A-LR,ssp245,r10i1p1f1
2092,290.35654,289.55283,IPSL-CM6A-LR,ssp245,r10i1p1f1
2093,290.3297,289.4967,IPSL-CM6A-LR,ssp245,r10i1p1f1
