year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.58668664111684,288.3843151186019,KACE-1-0-G,ssp126,r3i1p1f1
2016,289.60649814096377,288.47518451622636,KACE-1-0-G,ssp126,r3i1p1f1
2017,289.6916541857894,288.5799528943094,KACE-1-0-G,ssp126,r3i1p1f1
2018,289.6749188811951,288.57049750938603,KACE-1-0-G,ssp126,r3i1p1f1
2019,289.7669022767025,288.66695988525476,KACE-1-0-G,ssp126,r3i1p1f1
2020,289.8868888224726,288.75972922138135,KACE-1-0-G,ssp126,r3i1p1f1
2021,289.87704912400517,288.7741646553984,KACE-1-0-G,ssp126,r3i1p1f1
2022,289.8972634727185,288.8042336901205,KACE-1-0-G,ssp126,r3i1p1f1
2023,289.931365346178,288.82851119628265,KACE-1-0-G,ssp126,r3i1p1f1
2024,290.07237950288373,288.9763957390624,KACE-1-0-G,ssp126,r3i1p1f1
2025,290.0994911085584,289.0044035184533,KACE-1-0-G,ssp126,r3i1p1f1
2026,290.0454989268832,288.95656796252314,KACE-1-0-G,ssp126,r3i1p1f1
2027,290.0555778939556,288.9871520198993,KACE-1-0-G,ssp126,r3i1p1f1
2028,290.26756057600403,289.1691614477706,KACE-1-0-G,ssp126,r3i1p1f1
2029,290.2196440469008,289.13999855511173,KACE-1-0-G,ssp126,r3i1p1f1
2030,290.214275172678,289.1432727974328,KACE-1-0-G,ssp126,r3i1p1f1
2031,290.2939055439018,289.21336430986617,KACE-1-0-G,ssp126,r3i1p1f1
2032,290.24642035871636,289.1804436508042,KACE-1-0-G,ssp126,r3i1p1f1
2033,290.2142739743174,289.13291259212735,KACE-1-0-G,ssp126,r3i1p1f1
2034,290.21101853598117,289.1060608212021,KACE-1-0-G,ssp126,r3i1p1f1
2035,290.2847442141866,289.19018170819277,KACE-1-0-G,ssp126,r3i1p1f1
2036,290.28749760946977,289.20879932420405,KACE-1-0-G,ssp126,r3i1p1f1
2037,290.2696427639194,289.19325627379203,KACE-1-0-G,ssp126,r3i1p1f1
2038,290.3219777571756,289.24718009813216,KACE-1-0-G,ssp126,r3i1p1f1
2039,290.24298530068074,289.1963323245061,KACE-1-0-G,ssp126,r3i1p1f1
2040,290.40862854629364,289.3437685687604,KACE-1-0-G,ssp126,r3i1p1f1
2041,290.4462149387343,289.36065801923706,KACE-1-0-G,ssp126,r3i1p1f1
2042,290.36166286226825,289.28101699193644,KACE-1-0-G,ssp126,r3i1p1f1
2043,290.4005063272489,289.3378197374251,KACE-1-0-G,ssp126,r3i1p1f1
2044,290.36758154433545,289.29599971071735,KACE-1-0-G,ssp126,r3i1p1f1
2045,290.3632161363354,289.27723968434094,KACE-1-0-G,ssp126,r3i1p1f1
2046,290.40206009515964,289.3304678698147,KACE-1-0-G,ssp126,r3i1p1f1
2047,290.38193023047495,289.31279374711306,KACE-1-0-G,ssp126,r3i1p1f1
2048,290.49035385264574,289.4090478049213,KACE-1-0-G,ssp126,r3i1p1f1
2049,290.5627667382311,289.4972880873722,KACE-1-0-G,ssp126,r3i1p1f1
2050,290.4634158233863,289.40160177494295,KACE-1-0-G,ssp126,r3i1p1f1
2051,290.4776323940215,289.4324522633085,KACE-1-0-G,ssp126,r3i1p1f1
2052,290.5015987739999,289.45624027550286,KACE-1-0-G,ssp126,r3i1p1f1
2053,290.5726808544991,289.52765313218816,KACE-1-0-G,ssp126,r3i1p1f1
2054,290.52187726890554,289.45950476231405,KACE-1-0-G,ssp126,r3i1p1f1
2055,290.47104976557114,289.39873084424886,KACE-1-0-G,ssp126,r3i1p1f1
2056,290.5192121524441,289.46221299859275,KACE-1-0-G,ssp126,r3i1p1f1
2057,290.6030388717663,289.52680240721094,KACE-1-0-G,ssp126,r3i1p1f1
2058,290.50887869156736,289.4196946542782,KACE-1-0-G,ssp126,r3i1p1f1
2059,290.48898080460964,289.4056882985356,KACE-1-0-G,ssp126,r3i1p1f1
2060,290.6101535565872,289.5229318019038,KACE-1-0-G,ssp126,r3i1p1f1
2061,290.54429839477706,289.4744810751114,KACE-1-0-G,ssp126,r3i1p1f1
2062,290.56741865965165,289.4802455318996,KACE-1-0-G,ssp126,r3i1p1f1
2063,290.65412571256707,289.56079237246064,KACE-1-0-G,ssp126,r3i1p1f1
2064,290.702539112217,289.6056266372985,KACE-1-0-G,ssp126,r3i1p1f1
2065,290.58737014937185,289.4837321350343,KACE-1-0-G,ssp126,r3i1p1f1
2066,290.5626873431344,289.471338012438,KACE-1-0-G,ssp126,r3i1p1f1
2067,290.61437439367694,289.54340635905044,KACE-1-0-G,ssp126,r3i1p1f1
2068,290.7220330582619,289.67053308780635,KACE-1-0-G,ssp126,r3i1p1f1
2069,290.68050564229713,289.63330598430815,KACE-1-0-G,ssp126,r3i1p1f1
2070,290.7585955816637,289.676020811875,KACE-1-0-G,ssp126,r3i1p1f1
2071,290.8167847627089,289.74855553342616,KACE-1-0-G,ssp126,r3i1p1f1
2072,290.69331363978966,289.6086634093204,KACE-1-0-G,ssp126,r3i1p1f1
2073,290.6445198277526,289.5886001852142,KACE-1-0-G,ssp126,r3i1p1f1
2074,290.7471211800857,289.6999476419176,KACE-1-0-G,ssp126,r3i1p1f1
2075,290.7030441343477,289.64923622449544,KACE-1-0-G,ssp126,r3i1p1f1
2076,290.6554415964732,289.60484514382256,KACE-1-0-G,ssp126,r3i1p1f1
2077,290.5805305327047,289.51051261419747,KACE-1-0-G,ssp126,r3i1p1f1
2078,290.58845313623254,289.5096483499047,KACE-1-0-G,ssp126,r3i1p1f1
2079,290.61092573094476,289.5289273888948,KACE-1-0-G,ssp126,r3i1p1f1
2080,290.68974039653153,289.6168159032076,KACE-1-0-G,ssp126,r3i1p1f1
2081,290.64657860123253,289.562653440167,KACE-1-0-G,ssp126,r3i1p1f1
2082,290.7202059005635,289.6314866966332,KACE-1-0-G,ssp126,r3i1p1f1
2083,290.62720841035457,289.53227483928174,KACE-1-0-G,ssp126,r3i1p1f1
2084,290.6089041853496,289.51584099680406,KACE-1-0-G,ssp126,r3i1p1f1
2085,290.64750006933224,289.57764905347193,KACE-1-0-G,ssp126,r3i1p1f1
2086,290.6717166613911,289.58948374734,KACE-1-0-G,ssp126,r3i1p1f1
2087,290.6520117271472,289.54973429943203,KACE-1-0-G,ssp126,r3i1p1f1
2088,290.604802336518,289.51178640554474,KACE-1-0-G,ssp126,r3i1p1f1
2089,290.6389983265194,289.54161499452306,KACE-1-0-G,ssp126,r3i1p1f1
2090,290.6028267514023,289.52261213189763,KACE-1-0-G,ssp126,r3i1p1f1
2091,290.64810689555316,289.5561832015541,KACE-1-0-G,ssp126,r3i1p1f1
2092,290.67932198217693,289.6303399713558,KACE-1-0-G,ssp126,r3i1p1f1
2093,290.7014212882416,289.6442348870048,KACE-1-0-G,ssp126,r3i1p1f1
2094,290.71156368807164,289.63454148133667,KACE-1-0-G,ssp126,r3i1p1f1
2095,290.78545955101504,289.692586153065,KACE-1-0-G,ssp126,r3i1p1f1
2096,290.75221097632135,289.6944144052626,KACE-1-0-G,ssp126,r3i1p1f1
2097,290.75821086034233,289.6922314896022,KACE-1-0-G,ssp126,r3i1p1f1
2098,290.90666221340064,289.81664840725347,KACE-1-0-G,ssp126,r3i1p1f1
2099,290.7650001317237,289.6774266486812,KACE-1-0-G,ssp126,r3i1p1f1
2100,290.756954499097,289.6629140829217,KACE-1-0-G,ssp126,r3i1p1f1
