year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.56953951620017,286.3773842468347,KIOST-ESM,historical,r1i1p1f1
1851,287.5415110968451,286.2989659298211,KIOST-ESM,historical,r1i1p1f1
1852,287.49302422392157,286.2294557947953,KIOST-ESM,historical,r1i1p1f1
1853,287.3538806578176,286.12288813179225,KIOST-ESM,historical,r1i1p1f1
1854,287.2054326350133,285.96068359037406,KIOST-ESM,historical,r1i1p1f1
1855,287.41494713676786,286.1693635627807,KIOST-ESM,historical,r1i1p1f1
1856,287.3834072435269,286.08660302435266,KIOST-ESM,historical,r1i1p1f1
1857,286.9762572608759,285.68610501146753,KIOST-ESM,historical,r1i1p1f1
1858,287.11830370759634,285.8218275673327,KIOST-ESM,historical,r1i1p1f1
1859,287.0808963738594,285.7753618392391,KIOST-ESM,historical,r1i1p1f1
1860,287.1613594090074,285.90728815035345,KIOST-ESM,historical,r1i1p1f1
1861,287.2199820519705,285.9252650201388,KIOST-ESM,historical,r1i1p1f1
1862,287.1770371550057,285.8775841448853,KIOST-ESM,historical,r1i1p1f1
1863,287.0195705418904,285.73226870813636,KIOST-ESM,historical,r1i1p1f1
1864,287.10538650552854,285.84557423067207,KIOST-ESM,historical,r1i1p1f1
1865,287.2497045674533,285.99884499556345,KIOST-ESM,historical,r1i1p1f1
1866,286.9338849524858,285.65442443873263,KIOST-ESM,historical,r1i1p1f1
1867,287.1720478752674,285.94272702104786,KIOST-ESM,historical,r1i1p1f1
1868,287.2789272429161,286.02791357633134,KIOST-ESM,historical,r1i1p1f1
1869,287.112364034327,285.85757240184194,KIOST-ESM,historical,r1i1p1f1
1870,287.20401892827874,285.9290891827732,KIOST-ESM,historical,r1i1p1f1
1871,287.27630833256296,286.0106093401005,KIOST-ESM,historical,r1i1p1f1
1872,287.07198921093584,285.81230370703116,KIOST-ESM,historical,r1i1p1f1
1873,287.36667062120847,286.1139026332929,KIOST-ESM,historical,r1i1p1f1
1874,287.16974334598495,285.901550203067,KIOST-ESM,historical,r1i1p1f1
1875,287.1523538539809,285.85958611136596,KIOST-ESM,historical,r1i1p1f1
1876,287.26932301640784,285.9819049681821,KIOST-ESM,historical,r1i1p1f1
1877,286.9945227897723,285.73245753626134,KIOST-ESM,historical,r1i1p1f1
1878,287.2138907449188,285.95075403025965,KIOST-ESM,historical,r1i1p1f1
1879,287.3212223767992,286.0125937855765,KIOST-ESM,historical,r1i1p1f1
1880,287.2246931015861,285.9705213719314,KIOST-ESM,historical,r1i1p1f1
1881,287.06016772905144,285.8131185852045,KIOST-ESM,historical,r1i1p1f1
1882,287.18377228718,285.94265554494734,KIOST-ESM,historical,r1i1p1f1
1883,287.29662040216175,286.0266706874378,KIOST-ESM,historical,r1i1p1f1
1884,286.84206010159033,285.58282884141,KIOST-ESM,historical,r1i1p1f1
1885,286.6982401924785,285.4349046221351,KIOST-ESM,historical,r1i1p1f1
