year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.45149206679065,287.28317880824625,KIOST-ESM,ssp245,r1i1p1f1
2016,288.34814928375977,287.161061389146,KIOST-ESM,ssp245,r1i1p1f1
2017,288.34004722092436,287.16542305029554,KIOST-ESM,ssp245,r1i1p1f1
2018,288.2964243722017,287.1165964892218,KIOST-ESM,ssp245,r1i1p1f1
2019,288.46009827783104,287.28690940980715,KIOST-ESM,ssp245,r1i1p1f1
2020,288.414898740964,287.2669592424966,KIOST-ESM,ssp245,r1i1p1f1
2021,288.60770959814505,287.4536005287436,KIOST-ESM,ssp245,r1i1p1f1
2022,288.43224784857193,287.285979192851,KIOST-ESM,ssp245,r1i1p1f1
2023,288.6172074530176,287.4235128886829,KIOST-ESM,ssp245,r1i1p1f1
2024,288.6515428550096,287.483474019667,KIOST-ESM,ssp245,r1i1p1f1
2025,288.46632205997673,287.32253131277247,KIOST-ESM,ssp245,r1i1p1f1
2026,288.7021112972325,287.55625040739045,KIOST-ESM,ssp245,r1i1p1f1
2027,288.77907263521547,287.6216218357512,KIOST-ESM,ssp245,r1i1p1f1
2028,288.62044367063265,287.4756225693939,KIOST-ESM,ssp245,r1i1p1f1
2029,288.77931158054247,287.62224851675944,KIOST-ESM,ssp245,r1i1p1f1
2030,288.79128139938484,287.66006566173223,KIOST-ESM,ssp245,r1i1p1f1
2031,288.9033448835141,287.7569011679246,KIOST-ESM,ssp245,r1i1p1f1
2032,288.82407317522296,287.7145735076631,KIOST-ESM,ssp245,r1i1p1f1
2033,288.90460748958117,287.75847166646696,KIOST-ESM,ssp245,r1i1p1f1
2034,289.09409531692364,287.9422350447186,KIOST-ESM,ssp245,r1i1p1f1
2035,289.05459065207486,287.8897979844323,KIOST-ESM,ssp245,r1i1p1f1
2036,289.09817252274684,287.92785092818315,KIOST-ESM,ssp245,r1i1p1f1
2037,289.0645882303946,287.93386324360625,KIOST-ESM,ssp245,r1i1p1f1
2038,289.0576821382031,287.94299415144394,KIOST-ESM,ssp245,r1i1p1f1
2039,288.8875937124198,287.7357415816327,KIOST-ESM,ssp245,r1i1p1f1
2040,289.0692985206124,287.93850900609004,KIOST-ESM,ssp245,r1i1p1f1
2041,289.0895588290693,287.97090821214897,KIOST-ESM,ssp245,r1i1p1f1
2042,288.9136245753659,287.8030735365791,KIOST-ESM,ssp245,r1i1p1f1
2043,289.0796419256968,287.9298429667242,KIOST-ESM,ssp245,r1i1p1f1
2044,289.0857642498116,287.9265595754416,KIOST-ESM,ssp245,r1i1p1f1
2045,288.9092270060289,287.7936654845531,KIOST-ESM,ssp245,r1i1p1f1
2046,289.0906454733033,287.95839715156995,KIOST-ESM,ssp245,r1i1p1f1
2047,289.2527855204641,288.08600516473547,KIOST-ESM,ssp245,r1i1p1f1
2048,288.95396101763004,287.8314321915057,KIOST-ESM,ssp245,r1i1p1f1
2049,289.0700870305183,287.93647656516896,KIOST-ESM,ssp245,r1i1p1f1
2050,289.2149542594723,288.0853451995477,KIOST-ESM,ssp245,r1i1p1f1
2051,289.2970926892647,288.16408711465186,KIOST-ESM,ssp245,r1i1p1f1
2052,289.23290439456366,288.09139263239246,KIOST-ESM,ssp245,r1i1p1f1
2053,289.1752759797913,288.04415091879696,KIOST-ESM,ssp245,r1i1p1f1
2054,289.31156393710256,288.1974485236805,KIOST-ESM,ssp245,r1i1p1f1
2055,289.10252673923355,287.936483906931,KIOST-ESM,ssp245,r1i1p1f1
2056,289.2629736534283,288.10944772999585,KIOST-ESM,ssp245,r1i1p1f1
2057,289.28157869540496,288.14191410027877,KIOST-ESM,ssp245,r1i1p1f1
2058,289.2925375637146,288.16236621687386,KIOST-ESM,ssp245,r1i1p1f1
2059,289.30819326816936,288.1765075223511,KIOST-ESM,ssp245,r1i1p1f1
2060,289.41537715112713,288.2910491494985,KIOST-ESM,ssp245,r1i1p1f1
2061,289.31626656247977,288.21405699401686,KIOST-ESM,ssp245,r1i1p1f1
2062,289.2777354767019,288.16028440475435,KIOST-ESM,ssp245,r1i1p1f1
2063,289.5232822620656,288.4047755212555,KIOST-ESM,ssp245,r1i1p1f1
2064,289.4175789495543,288.3040415548522,KIOST-ESM,ssp245,r1i1p1f1
2065,289.38157203017124,288.3211404495958,KIOST-ESM,ssp245,r1i1p1f1
2066,289.5946746470229,288.4867909621056,KIOST-ESM,ssp245,r1i1p1f1
2067,289.5971354130559,288.4846532171767,KIOST-ESM,ssp245,r1i1p1f1
2068,289.5627770817082,288.4742774415834,KIOST-ESM,ssp245,r1i1p1f1
2069,289.489928458796,288.4378165567111,KIOST-ESM,ssp245,r1i1p1f1
2070,289.60632694142515,288.52213120789855,KIOST-ESM,ssp245,r1i1p1f1
2071,289.5596245042004,288.4625788822169,KIOST-ESM,ssp245,r1i1p1f1
2072,289.5371354991238,288.4684335616832,KIOST-ESM,ssp245,r1i1p1f1
2073,289.64601408298387,288.5354730353093,KIOST-ESM,ssp245,r1i1p1f1
2074,289.57652947182055,288.4777905447122,KIOST-ESM,ssp245,r1i1p1f1
2075,289.3532062051829,288.2748388766037,KIOST-ESM,ssp245,r1i1p1f1
2076,289.4670076583441,288.37923735221597,KIOST-ESM,ssp245,r1i1p1f1
2077,289.7193047213686,288.60324964676204,KIOST-ESM,ssp245,r1i1p1f1
2078,289.70325346843634,288.5834720641422,KIOST-ESM,ssp245,r1i1p1f1
2079,289.5035839556872,288.39766829717587,KIOST-ESM,ssp245,r1i1p1f1
2080,289.6138937040119,288.54267691991663,KIOST-ESM,ssp245,r1i1p1f1
2081,289.55550297714893,288.45942303140254,KIOST-ESM,ssp245,r1i1p1f1
2082,289.7437428149371,288.65013589959995,KIOST-ESM,ssp245,r1i1p1f1
2083,289.6035151332394,288.49999859100046,KIOST-ESM,ssp245,r1i1p1f1
2084,289.48798841714927,288.4152090303838,KIOST-ESM,ssp245,r1i1p1f1
2085,289.7065400678494,288.6234659178201,KIOST-ESM,ssp245,r1i1p1f1
2086,289.58358971030566,288.529277020381,KIOST-ESM,ssp245,r1i1p1f1
2087,289.5971318220865,288.5285418849802,KIOST-ESM,ssp245,r1i1p1f1
2088,289.873502763753,288.7848865162857,KIOST-ESM,ssp245,r1i1p1f1
2089,289.9416386666092,288.81299148291384,KIOST-ESM,ssp245,r1i1p1f1
2090,289.4784769985088,288.39041136782214,KIOST-ESM,ssp245,r1i1p1f1
2091,289.60443264612144,288.5141924086013,KIOST-ESM,ssp245,r1i1p1f1
2092,289.63549536074703,288.5579616949602,KIOST-ESM,ssp245,r1i1p1f1
2093,289.5837015097173,288.5463394567254,KIOST-ESM,ssp245,r1i1p1f1
2094,289.7006154043462,288.62840714943155,KIOST-ESM,ssp245,r1i1p1f1
