year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.03226883631464,287.9791972585548,MCM-UA-1-0,ssp370,r1i1p1f2
2016,288.98835899370306,287.95312666254057,MCM-UA-1-0,ssp370,r1i1p1f2
2017,288.91795681378323,287.87570785468796,MCM-UA-1-0,ssp370,r1i1p1f2
2018,288.8689863640366,287.8502957712161,MCM-UA-1-0,ssp370,r1i1p1f2
2019,288.78219732448696,287.7364524769873,MCM-UA-1-0,ssp370,r1i1p1f2
2020,288.88454599856004,287.8579167080437,MCM-UA-1-0,ssp370,r1i1p1f2
2021,289.0117435209396,288.0119678723366,MCM-UA-1-0,ssp370,r1i1p1f2
2022,289.10442155185524,288.09356945789625,MCM-UA-1-0,ssp370,r1i1p1f2
2023,289.0091022343584,288.00609586445086,MCM-UA-1-0,ssp370,r1i1p1f2
2024,289.08784607039973,288.07129445475783,MCM-UA-1-0,ssp370,r1i1p1f2
2025,289.09669013617946,288.05035307048723,MCM-UA-1-0,ssp370,r1i1p1f2
2026,289.13806403495073,288.0828598758081,MCM-UA-1-0,ssp370,r1i1p1f2
2027,289.30424347618373,288.2871361410933,MCM-UA-1-0,ssp370,r1i1p1f2
2028,289.33952603340276,288.30829268288204,MCM-UA-1-0,ssp370,r1i1p1f2
2029,289.21239055972205,288.21502860540875,MCM-UA-1-0,ssp370,r1i1p1f2
2030,289.4383120036027,288.37322420441933,MCM-UA-1-0,ssp370,r1i1p1f2
2031,289.3724014210062,288.35185815067746,MCM-UA-1-0,ssp370,r1i1p1f2
2032,289.4475782271995,288.4187347863521,MCM-UA-1-0,ssp370,r1i1p1f2
2033,289.4667214743601,288.47103428482643,MCM-UA-1-0,ssp370,r1i1p1f2
2034,289.5372581010794,288.5665531941436,MCM-UA-1-0,ssp370,r1i1p1f2
2035,289.246027792675,288.24945238850273,MCM-UA-1-0,ssp370,r1i1p1f2
2036,289.4599402222186,288.46535642307947,MCM-UA-1-0,ssp370,r1i1p1f2
2037,289.44297354165275,288.42805694376057,MCM-UA-1-0,ssp370,r1i1p1f2
2038,289.5470531897315,288.5908526240063,MCM-UA-1-0,ssp370,r1i1p1f2
2039,289.7354511047919,288.7399006157622,MCM-UA-1-0,ssp370,r1i1p1f2
2040,289.7189684216063,288.7202574673993,MCM-UA-1-0,ssp370,r1i1p1f2
2041,289.52174617797465,288.52662940246086,MCM-UA-1-0,ssp370,r1i1p1f2
2042,289.4968005587741,288.5141906367649,MCM-UA-1-0,ssp370,r1i1p1f2
2043,289.54785605130934,288.549961320607,MCM-UA-1-0,ssp370,r1i1p1f2
2044,289.6896891888405,288.68070587115125,MCM-UA-1-0,ssp370,r1i1p1f2
2045,289.666400198154,288.69386628313976,MCM-UA-1-0,ssp370,r1i1p1f2
2046,289.7724544246188,288.7764676510982,MCM-UA-1-0,ssp370,r1i1p1f2
2047,289.7458342673646,288.747737493832,MCM-UA-1-0,ssp370,r1i1p1f2
2048,289.69023258427364,288.70310383357173,MCM-UA-1-0,ssp370,r1i1p1f2
2049,289.78989238208015,288.78440288909826,MCM-UA-1-0,ssp370,r1i1p1f2
2050,289.8585027783869,288.88487884825463,MCM-UA-1-0,ssp370,r1i1p1f2
2051,289.82805401308366,288.87012431370266,MCM-UA-1-0,ssp370,r1i1p1f2
2052,289.883270131458,288.91456599087707,MCM-UA-1-0,ssp370,r1i1p1f2
2053,290.00091847470384,289.0283234807821,MCM-UA-1-0,ssp370,r1i1p1f2
2054,289.978925633214,289.01997445601,MCM-UA-1-0,ssp370,r1i1p1f2
