year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,290.1792676682575,289.10041419687497,MIROC-ES2L,ssp126,r2i1p1f2
2016,290.5064857845423,289.4111394659303,MIROC-ES2L,ssp126,r2i1p1f2
2017,290.4578087438988,289.3666876329616,MIROC-ES2L,ssp126,r2i1p1f2
2018,290.12775813781917,289.0434761224011,MIROC-ES2L,ssp126,r2i1p1f2
2019,289.993596714129,288.9228467119316,MIROC-ES2L,ssp126,r2i1p1f2
2020,290.2473319269349,289.2019707410809,MIROC-ES2L,ssp126,r2i1p1f2
2021,290.473750418984,289.42615617018583,MIROC-ES2L,ssp126,r2i1p1f2
2022,290.4522386512089,289.3908978746173,MIROC-ES2L,ssp126,r2i1p1f2
2023,290.13097319392364,289.0736890258938,MIROC-ES2L,ssp126,r2i1p1f2
2024,290.33293248533016,289.25007686973004,MIROC-ES2L,ssp126,r2i1p1f2
2025,290.6142483095869,289.53472989400234,MIROC-ES2L,ssp126,r2i1p1f2
2026,290.7579211245428,289.68382850568264,MIROC-ES2L,ssp126,r2i1p1f2
2027,290.53612134006505,289.47609139786044,MIROC-ES2L,ssp126,r2i1p1f2
2028,290.4412099963232,289.40015538041064,MIROC-ES2L,ssp126,r2i1p1f2
2029,290.6025780666622,289.5543528512221,MIROC-ES2L,ssp126,r2i1p1f2
2030,290.8496374866857,289.79067297799094,MIROC-ES2L,ssp126,r2i1p1f2
2031,290.41192172986973,289.3665887003904,MIROC-ES2L,ssp126,r2i1p1f2
2032,290.3905014100164,289.33388620530394,MIROC-ES2L,ssp126,r2i1p1f2
2033,290.58134752687045,289.5258819705602,MIROC-ES2L,ssp126,r2i1p1f2
2034,290.8924321082172,289.8507293413457,MIROC-ES2L,ssp126,r2i1p1f2
2035,290.92440660641455,289.84669426760155,MIROC-ES2L,ssp126,r2i1p1f2
2036,290.67939375223,289.6263572969063,MIROC-ES2L,ssp126,r2i1p1f2
2037,290.3992518295373,289.3352229269635,MIROC-ES2L,ssp126,r2i1p1f2
2038,290.4818765690518,289.44477609022573,MIROC-ES2L,ssp126,r2i1p1f2
2039,290.55987370003606,289.52113421044044,MIROC-ES2L,ssp126,r2i1p1f2
2040,290.72528667032395,289.6861698989471,MIROC-ES2L,ssp126,r2i1p1f2
2041,290.7894060527234,289.75710718720984,MIROC-ES2L,ssp126,r2i1p1f2
2042,290.82128101197463,289.7580761576576,MIROC-ES2L,ssp126,r2i1p1f2
2043,290.5106754910949,289.4591683685431,MIROC-ES2L,ssp126,r2i1p1f2
2044,290.45656158185966,289.4166024408897,MIROC-ES2L,ssp126,r2i1p1f2
2045,290.6223367496659,289.5733327135896,MIROC-ES2L,ssp126,r2i1p1f2
2046,290.9491610572729,289.8960372040311,MIROC-ES2L,ssp126,r2i1p1f2
2047,290.9168366474407,289.9026876192134,MIROC-ES2L,ssp126,r2i1p1f2
2048,290.6650223263446,289.63930138592127,MIROC-ES2L,ssp126,r2i1p1f2
2049,290.5288949607205,289.5139554679226,MIROC-ES2L,ssp126,r2i1p1f2
2050,290.866061379528,289.83581446668074,MIROC-ES2L,ssp126,r2i1p1f2
2051,291.1044872541178,290.088449735407,MIROC-ES2L,ssp126,r2i1p1f2
2052,290.74510653585423,289.70928103508567,MIROC-ES2L,ssp126,r2i1p1f2
2053,290.6256972274021,289.5675684776206,MIROC-ES2L,ssp126,r2i1p1f2
2054,290.71040775249577,289.68459246981763,MIROC-ES2L,ssp126,r2i1p1f2
2055,290.91988032900724,289.89170710386827,MIROC-ES2L,ssp126,r2i1p1f2
2056,290.89698819237566,289.8545737290624,MIROC-ES2L,ssp126,r2i1p1f2
2057,290.63193641663855,289.61715196568923,MIROC-ES2L,ssp126,r2i1p1f2
2058,290.6424912994368,289.6271520050885,MIROC-ES2L,ssp126,r2i1p1f2
2059,290.8532268340026,289.8333088207533,MIROC-ES2L,ssp126,r2i1p1f2
2060,291.20595488120705,290.1682101980382,MIROC-ES2L,ssp126,r2i1p1f2
2061,290.9937770962052,289.98079534984225,MIROC-ES2L,ssp126,r2i1p1f2
2062,290.68273264059246,289.66420354851897,MIROC-ES2L,ssp126,r2i1p1f2
2063,290.77757386545744,289.758536376242,MIROC-ES2L,ssp126,r2i1p1f2
2064,290.8750959497821,289.8584159883321,MIROC-ES2L,ssp126,r2i1p1f2
2065,291.13553761278257,290.1018755434464,MIROC-ES2L,ssp126,r2i1p1f2
2066,290.8421980392802,289.80942102350866,MIROC-ES2L,ssp126,r2i1p1f2
