year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,289.5502424255895,288.3071374616112,MIROC6,historical,r9i1p1f1
1851,289.58673204202984,288.2926179022315,MIROC6,historical,r9i1p1f1
1852,289.5706978029933,288.30188806451764,MIROC6,historical,r9i1p1f1
1853,289.59367793860173,288.3317087952681,MIROC6,historical,r9i1p1f1
1854,289.80194150239635,288.5430410232093,MIROC6,historical,r9i1p1f1
1855,289.76295885643344,288.50455464972964,MIROC6,historical,r9i1p1f1
1856,289.71124521042526,288.4662624449467,MIROC6,historical,r9i1p1f1
1857,289.54645690739414,288.28147422904516,MIROC6,historical,r9i1p1f1
1858,289.44033460531153,288.20515064981754,MIROC6,historical,r9i1p1f1
1859,289.57878420401073,288.31757382966754,MIROC6,historical,r9i1p1f1
1860,289.76688375878956,288.4982434945882,MIROC6,historical,r9i1p1f1
1861,289.7519659851894,288.5176281115876,MIROC6,historical,r9i1p1f1
1862,289.3466604547643,288.07307725623286,MIROC6,historical,r9i1p1f1
1863,289.3376514445601,288.04506096660475,MIROC6,historical,r9i1p1f1
1864,289.5087549547286,288.2254195076802,MIROC6,historical,r9i1p1f1
1865,289.70415858825936,288.444277261873,MIROC6,historical,r9i1p1f1
1866,289.7424955637042,288.5041039602721,MIROC6,historical,r9i1p1f1
1867,289.54657769448,288.30192345275896,MIROC6,historical,r9i1p1f1
1868,289.52752547643365,288.2908140874433,MIROC6,historical,r9i1p1f1
1869,289.55969443923124,288.27982935697463,MIROC6,historical,r9i1p1f1
1870,289.5328779503512,288.27018097232946,MIROC6,historical,r9i1p1f1
1871,289.4299225121304,288.1852171293037,MIROC6,historical,r9i1p1f1
1872,289.5640516719413,288.34084919633835,MIROC6,historical,r9i1p1f1
1873,289.948541596358,288.7186440599218,MIROC6,historical,r9i1p1f1
1874,289.69452603318035,288.4156252639005,MIROC6,historical,r9i1p1f1
1875,289.5132472785867,288.24798938887756,MIROC6,historical,r9i1p1f1
1876,289.5947031199954,288.3507105822898,MIROC6,historical,r9i1p1f1
1877,289.6803729752455,288.40212080569484,MIROC6,historical,r9i1p1f1
1878,289.63306313146336,288.35899160617254,MIROC6,historical,r9i1p1f1
1879,289.74399805808434,288.48717121447896,MIROC6,historical,r9i1p1f1
1880,289.86160448883004,288.64971502958,MIROC6,historical,r9i1p1f1
1881,289.5915494948829,288.3552455629932,MIROC6,historical,r9i1p1f1
1882,289.54897211897094,288.2902986791521,MIROC6,historical,r9i1p1f1
1883,289.47027422209703,288.2182817607836,MIROC6,historical,r9i1p1f1
1884,289.2885073962651,288.05273324805853,MIROC6,historical,r9i1p1f1
1885,289.391359938897,288.1344847612501,MIROC6,historical,r9i1p1f1
1886,289.44736394166995,288.20061654953736,MIROC6,historical,r9i1p1f1
1887,289.5402697507871,288.2658192036684,MIROC6,historical,r9i1p1f1
1888,289.5308956451117,288.25741833984534,MIROC6,historical,r9i1p1f1
1889,289.5032930904339,288.2563574790235,MIROC6,historical,r9i1p1f1
1890,289.58374526431413,288.32723602490944,MIROC6,historical,r9i1p1f1
