year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,290.0765808465329,288.88432164917555,MIROC6,ssp370,r1i1p1f1
2016,290.15113386906023,288.96125005931174,MIROC6,ssp370,r1i1p1f1
2017,290.4367441958105,289.23453809057935,MIROC6,ssp370,r1i1p1f1
2018,290.5220881508909,289.36096450835225,MIROC6,ssp370,r1i1p1f1
2019,290.289165976698,289.1129643242738,MIROC6,ssp370,r1i1p1f1
2020,290.4013538656898,289.2429445526227,MIROC6,ssp370,r1i1p1f1
2021,290.6469442855428,289.49698856365234,MIROC6,ssp370,r1i1p1f1
2022,290.7126522717323,289.57066743740126,MIROC6,ssp370,r1i1p1f1
2023,290.3100457421334,289.1680447477297,MIROC6,ssp370,r1i1p1f1
2024,290.2564538200899,289.0841418496898,MIROC6,ssp370,r1i1p1f1
2025,290.51909098376296,289.3744665967873,MIROC6,ssp370,r1i1p1f1
2026,290.7558574099688,289.6349580400333,MIROC6,ssp370,r1i1p1f1
2027,290.7889793795618,289.6678003176897,MIROC6,ssp370,r1i1p1f1
2028,290.5081183776546,289.41211841670645,MIROC6,ssp370,r1i1p1f1
2029,290.4109314783131,289.25087656426643,MIROC6,ssp370,r1i1p1f1
2030,290.5451322687208,289.40520434374736,MIROC6,ssp370,r1i1p1f1
2031,290.65684915413567,289.52987088558916,MIROC6,ssp370,r1i1p1f1
2032,290.64715600002546,289.4936036584696,MIROC6,ssp370,r1i1p1f1
2033,290.75302601607086,289.65299647614364,MIROC6,ssp370,r1i1p1f1
2034,290.8216714966813,289.7012487475609,MIROC6,ssp370,r1i1p1f1
2035,290.83221419039324,289.7090899488149,MIROC6,ssp370,r1i1p1f1
2036,290.7758288700243,289.66739922837513,MIROC6,ssp370,r1i1p1f1
2037,290.85706548555873,289.7386899168865,MIROC6,ssp370,r1i1p1f1
2038,291.0616824555048,289.9513687268894,MIROC6,ssp370,r1i1p1f1
2039,290.8774960375208,289.7855850017396,MIROC6,ssp370,r1i1p1f1
2040,290.8036568368198,289.7156516373095,MIROC6,ssp370,r1i1p1f1
2041,290.87612376340627,289.7795337952197,MIROC6,ssp370,r1i1p1f1
2042,290.8931655915673,289.7994889507998,MIROC6,ssp370,r1i1p1f1
2043,290.82936342785825,289.74074985963813,MIROC6,ssp370,r1i1p1f1
2044,290.86982171124646,289.75139696003646,MIROC6,ssp370,r1i1p1f1
2045,291.08804539914235,289.98788142961286,MIROC6,ssp370,r1i1p1f1
2046,291.2270961858437,290.1249451943394,MIROC6,ssp370,r1i1p1f1
2047,290.99623378090376,289.9375044073798,MIROC6,ssp370,r1i1p1f1
2048,291.069670122155,289.9865627133718,MIROC6,ssp370,r1i1p1f1
2049,291.1601880847033,290.1116397489077,MIROC6,ssp370,r1i1p1f1
2050,291.2402939143617,290.18993949372464,MIROC6,ssp370,r1i1p1f1
2051,291.42579731215017,290.40807181846077,MIROC6,ssp370,r1i1p1f1
2052,291.37059278099593,290.35587540377986,MIROC6,ssp370,r1i1p1f1
2053,291.21216848032526,290.2038622437769,MIROC6,ssp370,r1i1p1f1
2054,291.2574849144071,290.2445246189978,MIROC6,ssp370,r1i1p1f1
