year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.2475078790568,286.9622682864872,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1851,288.1659282666448,286.8430099580367,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1852,288.31977106666716,287.00113953098816,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1853,288.3476252242369,287.0559693193036,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1854,288.25754764104846,286.94981897459115,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1855,288.25804915159785,286.9438280644686,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1856,288.25458181734695,286.8871042824555,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1857,288.24145595605404,286.91650147883354,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1858,288.2609123975417,286.94541997615846,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1859,288.4373123219643,287.131215634997,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1860,288.46473889410515,287.18270023655657,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1861,288.3725701926878,287.0571120854805,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1862,288.1266414769627,286.8405489679195,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1863,288.1725030168634,286.86165358384363,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1864,288.1389416844906,286.81482800888386,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1865,288.14780880614194,286.8394620633972,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1866,288.2577355682272,286.95752921814653,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1867,288.2902054641026,286.9975983254982,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1868,288.16319903431196,286.8463352905118,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1869,288.18797047055676,286.88917794430176,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1870,288.3109126008893,286.9936363472971,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1871,288.4311014178363,287.1356866099409,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1872,288.33103348009644,287.04194069064357,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1873,288.2760571887641,286.98676157326935,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1874,288.2408925876528,286.9768724853346,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1875,288.25694129691976,286.9477590911661,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1876,288.37119046700417,287.0413913311093,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1877,288.3416008419503,287.01663195777485,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1878,288.16022026077576,286.83234250496946,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1879,288.29990113230406,287.00761900179975,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1880,288.559519918593,287.25096831635506,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1881,288.4002447069994,287.1141566264867,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1882,288.21393321364405,286.9548138283942,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1883,288.20866142842056,286.94052075326783,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1884,287.8616477326058,286.5372849829875,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1885,287.94134456973,286.66369215830014,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1886,288.14393199916236,286.8678987506621,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1887,288.33330427236393,287.03704485438294,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1888,288.3253625944706,287.00361751659125,MPI-ESM-1-2-HAM,historical,r2i1p1f1
1889,288.23499524780664,286.936066755732,MPI-ESM-1-2-HAM,historical,r2i1p1f1
