year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.02687385908615,286.7849452898872,MPI-ESM1-2-LR,historical,r9i1p1f1
1851,287.8977362784812,286.70984324467076,MPI-ESM1-2-LR,historical,r9i1p1f1
1852,287.860374491147,286.63807400371087,MPI-ESM1-2-LR,historical,r9i1p1f1
1853,288.0418374168971,286.80709727661946,MPI-ESM1-2-LR,historical,r9i1p1f1
1854,287.82763751396664,286.61238905803424,MPI-ESM1-2-LR,historical,r9i1p1f1
1855,287.69474156756553,286.4656157702507,MPI-ESM1-2-LR,historical,r9i1p1f1
1856,287.90344679686376,286.6695257380635,MPI-ESM1-2-LR,historical,r9i1p1f1
1857,288.0391641335154,286.7944647052114,MPI-ESM1-2-LR,historical,r9i1p1f1
1858,287.94793114964705,286.65820607254614,MPI-ESM1-2-LR,historical,r9i1p1f1
1859,287.906836255218,286.64938207624084,MPI-ESM1-2-LR,historical,r9i1p1f1
1860,287.98889160071803,286.75382139880645,MPI-ESM1-2-LR,historical,r9i1p1f1
1861,287.9335204656573,286.67194265752687,MPI-ESM1-2-LR,historical,r9i1p1f1
1862,287.83609982120385,286.5851577537413,MPI-ESM1-2-LR,historical,r9i1p1f1
1863,287.83411133373124,286.59233591275193,MPI-ESM1-2-LR,historical,r9i1p1f1
1864,287.79418455502065,286.5817457545845,MPI-ESM1-2-LR,historical,r9i1p1f1
1865,287.83035906256646,286.56827154705854,MPI-ESM1-2-LR,historical,r9i1p1f1
1866,287.79859619040406,286.5569366990899,MPI-ESM1-2-LR,historical,r9i1p1f1
1867,287.8373171905431,286.58219910606556,MPI-ESM1-2-LR,historical,r9i1p1f1
1868,287.94897157201353,286.7063896745252,MPI-ESM1-2-LR,historical,r9i1p1f1
1869,288.11045543931414,286.8632055878763,MPI-ESM1-2-LR,historical,r9i1p1f1
1870,287.9877418748912,286.75407053609206,MPI-ESM1-2-LR,historical,r9i1p1f1
1871,287.9311033511099,286.69170827869397,MPI-ESM1-2-LR,historical,r9i1p1f1
1872,287.96616024459337,286.74277365264595,MPI-ESM1-2-LR,historical,r9i1p1f1
