year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.78883802172396,287.59204862729877,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2016,288.8932258609103,287.7329152889911,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2017,289.08155536408805,287.9167192354893,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2018,289.0589204617948,287.8926545441806,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2019,288.9720975934353,287.8051005649688,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2020,288.8011399138155,287.63447416663854,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2021,288.84810714649416,287.69765943193863,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2022,288.9368901931911,287.78986165060974,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2023,288.9852947717702,287.833568705212,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2024,288.90938170872,287.7860076176869,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2025,289.12383161533705,287.9428595141868,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2026,289.24369305996373,288.0887724457,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2027,289.17781285490923,288.0146766168452,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2028,288.9355876949177,287.7844276706111,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2029,288.9010338296456,287.8158770157545,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2030,289.0112234082546,287.9014913869843,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2031,289.1472400642829,288.03686885657737,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2032,289.2042485688328,288.08032571622726,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2033,289.1116210450865,287.9710862119601,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2034,289.2605785782319,288.09631598896897,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2035,289.3466442460035,288.17882986470715,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2036,289.2997100427116,288.1709870074669,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2037,289.17739003229815,288.03809182360254,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2038,289.23246437687044,288.110756257371,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2039,289.1557814156375,287.9874282361059,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2040,289.05957019470645,287.9184704598786,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2041,289.24796775191635,288.0882647021741,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2042,289.2538510402132,288.1207075384592,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2043,289.30390127385346,288.1756066020823,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2044,289.192740041533,288.0399346908009,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2045,289.1955699590656,288.03329995952134,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2046,289.20245913157373,288.08032317002295,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2047,289.39765972603215,288.2867493236303,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2048,289.34515925078955,288.178233011044,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2049,289.2458744656771,288.1444209518898,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2050,289.4855012464147,288.3574395170281,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2051,289.4424738507402,288.2972824450455,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2052,289.361121697281,288.2191751113659,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2053,289.2757312343245,288.1432542912082,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2054,289.39519024519876,288.2630014575911,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2055,289.4722181168556,288.3413449163522,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2056,289.6453875200377,288.54431442268077,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2057,289.29428824343995,288.17371048268194,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2058,289.3354568605404,288.2181863612225,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2059,289.26722995396005,288.158681419484,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2060,289.45006251091735,288.31724087671824,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2061,289.60658955264967,288.4895885521821,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2062,289.4649789208782,288.3498229863439,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2063,289.2975089439272,288.1894540875156,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2064,289.42395181217745,288.30757750501516,MPI-ESM1-2-LR,ssp126,r9i1p1f1
2065,289.50903607771966,288.39488041736456,MPI-ESM1-2-LR,ssp126,r9i1p1f1
