year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.9725799006326,287.9893656985333,MRI-ESM2-0,ssp245,r1i1p1f1
2016,289.0422937713658,288.0400079176978,MRI-ESM2-0,ssp245,r1i1p1f1
2017,289.11818425961087,288.1169744353158,MRI-ESM2-0,ssp245,r1i1p1f1
2018,288.9133665351985,287.87618272752485,MRI-ESM2-0,ssp245,r1i1p1f1
2019,288.8744410941239,287.87245909899997,MRI-ESM2-0,ssp245,r1i1p1f1
2020,288.92812631243817,287.95018072775696,MRI-ESM2-0,ssp245,r1i1p1f1
2021,289.13434524967374,288.1231606843944,MRI-ESM2-0,ssp245,r1i1p1f1
2022,289.4050653827231,288.39242561846334,MRI-ESM2-0,ssp245,r1i1p1f1
2023,289.324012086503,288.28678756684485,MRI-ESM2-0,ssp245,r1i1p1f1
2024,289.25586772940625,288.24258533364497,MRI-ESM2-0,ssp245,r1i1p1f1
2025,289.24167108482936,288.2510554861567,MRI-ESM2-0,ssp245,r1i1p1f1
2026,289.294343722113,288.2876095511279,MRI-ESM2-0,ssp245,r1i1p1f1
2027,289.3361444605553,288.3110763642061,MRI-ESM2-0,ssp245,r1i1p1f1
2028,289.31322205405917,288.2824155173602,MRI-ESM2-0,ssp245,r1i1p1f1
2029,289.3994166561784,288.3904906186362,MRI-ESM2-0,ssp245,r1i1p1f1
2030,289.19993250941275,288.1841625598979,MRI-ESM2-0,ssp245,r1i1p1f1
2031,289.36291768657793,288.3479323076358,MRI-ESM2-0,ssp245,r1i1p1f1
2032,289.39521304270977,288.4189251865003,MRI-ESM2-0,ssp245,r1i1p1f1
2033,289.38250576487025,288.34032713386154,MRI-ESM2-0,ssp245,r1i1p1f1
2034,289.45580626368934,288.4428116929764,MRI-ESM2-0,ssp245,r1i1p1f1
2035,289.47495836238426,288.4679485401653,MRI-ESM2-0,ssp245,r1i1p1f1
2036,289.55627039666695,288.5801879519738,MRI-ESM2-0,ssp245,r1i1p1f1
2037,289.72724296568947,288.75834284603644,MRI-ESM2-0,ssp245,r1i1p1f1
2038,289.6245114268573,288.6386632024205,MRI-ESM2-0,ssp245,r1i1p1f1
2039,289.63124711081025,288.6468565687123,MRI-ESM2-0,ssp245,r1i1p1f1
2040,289.5193706781467,288.55307498265165,MRI-ESM2-0,ssp245,r1i1p1f1
2041,289.49135920203406,288.56602000390274,MRI-ESM2-0,ssp245,r1i1p1f1
2042,289.5606757539166,288.6001332536216,MRI-ESM2-0,ssp245,r1i1p1f1
2043,289.5814722332576,288.6225249337606,MRI-ESM2-0,ssp245,r1i1p1f1
2044,289.62751221549405,288.69398590607483,MRI-ESM2-0,ssp245,r1i1p1f1
2045,289.77653679092896,288.85527064774243,MRI-ESM2-0,ssp245,r1i1p1f1
2046,289.82943009343694,288.8781546751069,MRI-ESM2-0,ssp245,r1i1p1f1
2047,289.8102200482024,288.8624236150555,MRI-ESM2-0,ssp245,r1i1p1f1
2048,289.84552093813926,288.924391865042,MRI-ESM2-0,ssp245,r1i1p1f1
2049,289.85578923871594,288.927639055818,MRI-ESM2-0,ssp245,r1i1p1f1
2050,289.90900078832954,288.97433717019135,MRI-ESM2-0,ssp245,r1i1p1f1
2051,289.86935484862744,288.9325922576714,MRI-ESM2-0,ssp245,r1i1p1f1
2052,289.83858617540744,288.88630024426135,MRI-ESM2-0,ssp245,r1i1p1f1
2053,289.98954755221445,289.04469678113736,MRI-ESM2-0,ssp245,r1i1p1f1
2054,290.00847420487895,289.08439308448436,MRI-ESM2-0,ssp245,r1i1p1f1
2055,289.94965370089193,289.03756534760106,MRI-ESM2-0,ssp245,r1i1p1f1
2056,290.07477299721904,289.18080860289825,MRI-ESM2-0,ssp245,r1i1p1f1
2057,290.03683662006165,289.1482894397272,MRI-ESM2-0,ssp245,r1i1p1f1
2058,290.0512116348868,289.1501183529495,MRI-ESM2-0,ssp245,r1i1p1f1
2059,290.2420280960549,289.289919577565,MRI-ESM2-0,ssp245,r1i1p1f1
2060,290.09890443484454,289.17389104498915,MRI-ESM2-0,ssp245,r1i1p1f1
2061,290.07841322522967,289.15881656552375,MRI-ESM2-0,ssp245,r1i1p1f1
2062,290.2952012135492,289.3762447398625,MRI-ESM2-0,ssp245,r1i1p1f1
2063,290.30631530581473,289.40556892932113,MRI-ESM2-0,ssp245,r1i1p1f1
2064,290.22896397423244,289.2834638823658,MRI-ESM2-0,ssp245,r1i1p1f1
2065,290.2679742657431,289.31691501044975,MRI-ESM2-0,ssp245,r1i1p1f1
2066,290.1598150404374,289.2259520070671,MRI-ESM2-0,ssp245,r1i1p1f1
2067,290.2625734583048,289.29705421028734,MRI-ESM2-0,ssp245,r1i1p1f1
2068,290.2052547031457,289.24178222122254,MRI-ESM2-0,ssp245,r1i1p1f1
2069,290.183404174853,289.23820102376726,MRI-ESM2-0,ssp245,r1i1p1f1
2070,290.2779002575264,289.34076922028726,MRI-ESM2-0,ssp245,r1i1p1f1
2071,290.22956409979076,289.30247006776386,MRI-ESM2-0,ssp245,r1i1p1f1
2072,290.31604901286465,289.37043505224153,MRI-ESM2-0,ssp245,r1i1p1f1
2073,290.28317176492504,289.3464590555689,MRI-ESM2-0,ssp245,r1i1p1f1
2074,290.1741760671423,289.2826937768715,MRI-ESM2-0,ssp245,r1i1p1f1
2075,290.2575613489585,289.35389684468845,MRI-ESM2-0,ssp245,r1i1p1f1
2076,290.4447236885384,289.49586216929504,MRI-ESM2-0,ssp245,r1i1p1f1
2077,290.2738899578896,289.3338319738087,MRI-ESM2-0,ssp245,r1i1p1f1
2078,290.34549386768447,289.42329377975994,MRI-ESM2-0,ssp245,r1i1p1f1
2079,290.39349795184876,289.45144634719856,MRI-ESM2-0,ssp245,r1i1p1f1
2080,290.3905406373182,289.43837757877026,MRI-ESM2-0,ssp245,r1i1p1f1
2081,290.542121554931,289.5716553143923,MRI-ESM2-0,ssp245,r1i1p1f1
2082,290.4994165953082,289.54472105521677,MRI-ESM2-0,ssp245,r1i1p1f1
2083,290.5004880744733,289.61356869424964,MRI-ESM2-0,ssp245,r1i1p1f1
2084,290.54285816348784,289.62028259992957,MRI-ESM2-0,ssp245,r1i1p1f1
2085,290.5424857876626,289.5826837587704,MRI-ESM2-0,ssp245,r1i1p1f1
2086,290.57151765246067,289.6064167178795,MRI-ESM2-0,ssp245,r1i1p1f1
2087,290.4775349565667,289.5487443687698,MRI-ESM2-0,ssp245,r1i1p1f1
2088,290.50246053239533,289.55775744241856,MRI-ESM2-0,ssp245,r1i1p1f1
2089,290.4833055738791,289.5489997640854,MRI-ESM2-0,ssp245,r1i1p1f1
2090,290.5432676504004,289.59525221268365,MRI-ESM2-0,ssp245,r1i1p1f1
2091,290.7169414080448,289.76342006948613,MRI-ESM2-0,ssp245,r1i1p1f1
2092,290.43107358365387,289.49134768434607,MRI-ESM2-0,ssp245,r1i1p1f1
2093,290.5057245927437,289.56737639007105,MRI-ESM2-0,ssp245,r1i1p1f1
2094,290.6659921241382,289.7144069716262,MRI-ESM2-0,ssp245,r1i1p1f1
2095,290.39084264781826,289.4337593285367,MRI-ESM2-0,ssp245,r1i1p1f1
2096,290.50261766387723,289.5586103804773,MRI-ESM2-0,ssp245,r1i1p1f1
2097,290.6245073433373,289.697506940357,MRI-ESM2-0,ssp245,r1i1p1f1
2098,290.55769415241826,289.5924624049625,MRI-ESM2-0,ssp245,r1i1p1f1
2099,290.4757450333916,289.4973837236436,MRI-ESM2-0,ssp245,r1i1p1f1
2100,290.5639604750641,289.5793361273083,MRI-ESM2-0,ssp245,r1i1p1f1
