year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.171998501672,286.8513906974347,NESM3,historical,r5i1p1f1
1851,288.12156521669965,286.8078860200656,NESM3,historical,r5i1p1f1
1852,288.1380276466119,286.7986559932489,NESM3,historical,r5i1p1f1
1853,288.34346199381383,286.9930081815707,NESM3,historical,r5i1p1f1
1854,288.2032226796706,286.85391424909795,NESM3,historical,r5i1p1f1
1855,288.2926016777596,286.92963015249575,NESM3,historical,r5i1p1f1
1856,288.4669404349488,287.1527067988314,NESM3,historical,r5i1p1f1
1857,288.4727707264656,287.14799702393844,NESM3,historical,r5i1p1f1
1858,288.36228026145125,287.02144173595246,NESM3,historical,r5i1p1f1
1859,288.2707372345051,286.9475268126344,NESM3,historical,r5i1p1f1
1860,288.29854706808106,286.9812123738096,NESM3,historical,r5i1p1f1
1861,288.35018070192524,287.0370852254273,NESM3,historical,r5i1p1f1
1862,288.25645230415114,286.9566006601465,NESM3,historical,r5i1p1f1
1863,288.2880835802364,286.9644095135288,NESM3,historical,r5i1p1f1
1864,288.3440916523118,287.0072677301254,NESM3,historical,r5i1p1f1
1865,288.20287888026354,286.8492721549553,NESM3,historical,r5i1p1f1
1866,288.12843059702664,286.80612640262774,NESM3,historical,r5i1p1f1
1867,288.2529139750959,286.9090486000336,NESM3,historical,r5i1p1f1
1868,288.26245762233,286.9573330275404,NESM3,historical,r5i1p1f1
1869,288.1921151034998,286.860904386,NESM3,historical,r5i1p1f1
1870,288.26560678912074,286.9420229989172,NESM3,historical,r5i1p1f1
1871,288.2882752259112,286.9243721528274,NESM3,historical,r5i1p1f1
1872,288.28632443421736,286.9503677081771,NESM3,historical,r5i1p1f1
1873,288.3777369024741,287.02637437162036,NESM3,historical,r5i1p1f1
1874,288.5276761170645,287.16063970624526,NESM3,historical,r5i1p1f1
1875,288.37948330689386,287.02156368911824,NESM3,historical,r5i1p1f1
1876,288.39987950510533,287.0467073463348,NESM3,historical,r5i1p1f1
1877,288.37863954638834,287.05356868990106,NESM3,historical,r5i1p1f1
1878,288.5090514559887,287.2056777110417,NESM3,historical,r5i1p1f1
1879,288.4376375549956,287.1335332691116,NESM3,historical,r5i1p1f1
1880,288.3494641303798,287.0592215693455,NESM3,historical,r5i1p1f1
1881,288.4269067071332,287.12263417899976,NESM3,historical,r5i1p1f1
1882,288.4216476876646,287.1122897805808,NESM3,historical,r5i1p1f1
1883,288.4050401127603,287.0930427030946,NESM3,historical,r5i1p1f1
1884,288.01603877309043,286.6803227102987,NESM3,historical,r5i1p1f1
1885,288.1230032397621,286.78639830601935,NESM3,historical,r5i1p1f1
1886,288.16275677375495,286.79186904251367,NESM3,historical,r5i1p1f1
1887,288.3177163476107,286.9827463064903,NESM3,historical,r5i1p1f1
1888,288.3553981204805,287.04537674013994,NESM3,historical,r5i1p1f1
1889,288.5072024264286,287.1959762095784,NESM3,historical,r5i1p1f1
1890,288.3765847895491,286.99903198976654,NESM3,historical,r5i1p1f1
1891,288.2724355618132,286.923956815352,NESM3,historical,r5i1p1f1
1892,288.3214489768016,286.9520155522602,NESM3,historical,r5i1p1f1
1893,288.31392913166763,286.9604527804231,NESM3,historical,r5i1p1f1
1894,288.2674424817766,286.9238980270524,NESM3,historical,r5i1p1f1
1895,288.25824333578123,286.89574479379,NESM3,historical,r5i1p1f1
1896,288.3290630642178,286.9736034618355,NESM3,historical,r5i1p1f1
1897,288.2180438078976,286.86325804053814,NESM3,historical,r5i1p1f1
1898,288.2646336809703,286.9226893260813,NESM3,historical,r5i1p1f1
1899,288.31627943308456,286.99043390741616,NESM3,historical,r5i1p1f1
1900,288.3525139253654,287.0300477816938,NESM3,historical,r5i1p1f1
1901,288.42741008306456,287.1359304229032,NESM3,historical,r5i1p1f1
1902,288.4550124431272,287.16386128231625,NESM3,historical,r5i1p1f1
1903,288.1239951213594,286.8135427263255,NESM3,historical,r5i1p1f1
1904,288.3991425477151,287.1002020279863,NESM3,historical,r5i1p1f1
1905,288.2695266799118,286.9227825111935,NESM3,historical,r5i1p1f1
1906,288.2978723489688,286.94171616332136,NESM3,historical,r5i1p1f1
1907,288.42208091913096,287.0826904696311,NESM3,historical,r5i1p1f1
1908,288.35935114767545,287.05369138001237,NESM3,historical,r5i1p1f1
1909,288.3428506816863,287.0475703520184,NESM3,historical,r5i1p1f1
1910,288.4690167108674,287.1309309376124,NESM3,historical,r5i1p1f1
1911,288.55630663464837,287.2340690933194,NESM3,historical,r5i1p1f1
1912,288.3561485015426,287.0023193230227,NESM3,historical,r5i1p1f1
1913,288.2904920369204,286.94869592923135,NESM3,historical,r5i1p1f1
1914,288.4114461430182,287.0751906366561,NESM3,historical,r5i1p1f1
1915,288.48483163538907,287.1663648037825,NESM3,historical,r5i1p1f1
1916,288.4199901322838,287.0902136061735,NESM3,historical,r5i1p1f1
1917,288.5496263526887,287.2274823462657,NESM3,historical,r5i1p1f1
1918,288.60374381010087,287.2854522788744,NESM3,historical,r5i1p1f1
1919,288.5630127061855,287.24256543460007,NESM3,historical,r5i1p1f1
1920,288.5619635954373,287.2461311884202,NESM3,historical,r5i1p1f1
1921,288.6502957841431,287.3345231871011,NESM3,historical,r5i1p1f1
1922,288.6074729321325,287.25981557774276,NESM3,historical,r5i1p1f1
1923,288.57329023893607,287.23349807324377,NESM3,historical,r5i1p1f1
1924,288.5193069514926,287.2169745811392,NESM3,historical,r5i1p1f1
1925,288.6622354130339,287.36331769545444,NESM3,historical,r5i1p1f1
1926,288.62720353469035,287.3181002945569,NESM3,historical,r5i1p1f1
1927,288.73324326102437,287.4298501050405,NESM3,historical,r5i1p1f1
1928,288.7560773709456,287.4474449796684,NESM3,historical,r5i1p1f1
1929,288.54505912373764,287.2463702430133,NESM3,historical,r5i1p1f1
1930,288.52853327134,287.22775396990545,NESM3,historical,r5i1p1f1
1931,288.5299374415997,287.2030632372004,NESM3,historical,r5i1p1f1
1932,288.55126085693684,287.2466640985119,NESM3,historical,r5i1p1f1
1933,288.43453828681015,287.1013027062515,NESM3,historical,r5i1p1f1
1934,288.4437219038887,287.08764052320856,NESM3,historical,r5i1p1f1
1935,288.5975976970158,287.29401486796814,NESM3,historical,r5i1p1f1
1936,288.6370528396625,287.2947974509714,NESM3,historical,r5i1p1f1
1937,288.5192812887309,287.2289631148814,NESM3,historical,r5i1p1f1
1938,288.58724903910854,287.27937814349764,NESM3,historical,r5i1p1f1
1939,288.67704293580516,287.40284996744947,NESM3,historical,r5i1p1f1
1940,288.69399875490035,287.3394408470799,NESM3,historical,r5i1p1f1
1941,288.6327729941094,287.32303056351725,NESM3,historical,r5i1p1f1
1942,288.64521841325393,287.3414822090109,NESM3,historical,r5i1p1f1
1943,288.644439299635,287.34247701641465,NESM3,historical,r5i1p1f1
1944,288.5657407108758,287.2661312743873,NESM3,historical,r5i1p1f1
1945,288.6309708274863,287.30796771227756,NESM3,historical,r5i1p1f1
1946,288.70375107398405,287.4134952972055,NESM3,historical,r5i1p1f1
1947,288.8075401230413,287.4985197285909,NESM3,historical,r5i1p1f1
1948,288.72242985544386,287.3846528669835,NESM3,historical,r5i1p1f1
1949,288.5285259411974,287.19100572355495,NESM3,historical,r5i1p1f1
1950,288.633775379858,287.3142807734679,NESM3,historical,r5i1p1f1
1951,288.6724564601474,287.3231458356158,NESM3,historical,r5i1p1f1
1952,288.57761072528916,287.2011621873737,NESM3,historical,r5i1p1f1
1953,288.605621458278,287.2628651219846,NESM3,historical,r5i1p1f1
1954,288.6102143321287,287.2471932455739,NESM3,historical,r5i1p1f1
1955,288.479568622933,287.1299249086537,NESM3,historical,r5i1p1f1
1956,288.6456112982828,287.33855971363613,NESM3,historical,r5i1p1f1
1957,288.545684124537,287.188320935128,NESM3,historical,r5i1p1f1
1958,288.52519315132156,287.20198348091606,NESM3,historical,r5i1p1f1
1959,288.7180477825021,287.34170237166734,NESM3,historical,r5i1p1f1
1960,288.7126092996731,287.3363215238906,NESM3,historical,r5i1p1f1
1961,288.54067528210186,287.2318945432454,NESM3,historical,r5i1p1f1
1962,288.4385035237428,287.12241415571043,NESM3,historical,r5i1p1f1
1963,288.46801961961427,287.15248767761483,NESM3,historical,r5i1p1f1
1964,288.3932761943013,287.0828227455933,NESM3,historical,r5i1p1f1
1965,288.4619922456897,287.14770581379327,NESM3,historical,r5i1p1f1
1966,288.6131207154765,287.287488779787,NESM3,historical,r5i1p1f1
1967,288.6162156967702,287.3044714424326,NESM3,historical,r5i1p1f1
1968,288.73111095487684,287.4206638249966,NESM3,historical,r5i1p1f1
1969,288.5901414174695,287.2366263680145,NESM3,historical,r5i1p1f1
1970,288.5230321683388,287.19109812571816,NESM3,historical,r5i1p1f1
1971,288.4271678060145,287.06200416055,NESM3,historical,r5i1p1f1
1972,288.4000974969752,287.06386137253304,NESM3,historical,r5i1p1f1
1973,288.64409715624475,287.29768483990483,NESM3,historical,r5i1p1f1
1974,288.57951032322353,287.23667756993103,NESM3,historical,r5i1p1f1
1975,288.50987639119927,287.219305642177,NESM3,historical,r5i1p1f1
1976,288.4867676441823,287.1737079268824,NESM3,historical,r5i1p1f1
1977,288.4531994896421,287.15442718715667,NESM3,historical,r5i1p1f1
1978,288.5692684177226,287.25246486388517,NESM3,historical,r5i1p1f1
1979,288.6580138940126,287.33177609066263,NESM3,historical,r5i1p1f1
1980,288.5146845494085,287.2009421691242,NESM3,historical,r5i1p1f1
1981,288.51465300681923,287.1820735174573,NESM3,historical,r5i1p1f1
1982,288.6678456528094,287.30092829214124,NESM3,historical,r5i1p1f1
1983,288.368419272041,287.0108643189969,NESM3,historical,r5i1p1f1
1984,288.4731350002478,287.12435610373086,NESM3,historical,r5i1p1f1
1985,288.5209586176223,287.1683465614048,NESM3,historical,r5i1p1f1
1986,288.68809039303665,287.3502635093744,NESM3,historical,r5i1p1f1
1987,288.6801494995379,287.37738218140737,NESM3,historical,r5i1p1f1
1988,288.7404482502315,287.4161982235755,NESM3,historical,r5i1p1f1
1989,288.8942672244621,287.5376213350752,NESM3,historical,r5i1p1f1
1990,289.0263504330962,287.6701813103145,NESM3,historical,r5i1p1f1
1991,288.80693633124673,287.52278289864506,NESM3,historical,r5i1p1f1
1992,288.42924612699346,287.07863533881994,NESM3,historical,r5i1p1f1
1993,288.48399789706633,287.17938283977935,NESM3,historical,r5i1p1f1
1994,288.78082301701863,287.4577686176298,NESM3,historical,r5i1p1f1
1995,288.85078761582173,287.55811501390514,NESM3,historical,r5i1p1f1
1996,288.83261227474895,287.5617079340848,NESM3,historical,r5i1p1f1
1997,288.9203861516643,287.61639965544634,NESM3,historical,r5i1p1f1
1998,288.97922704629235,287.6840659919701,NESM3,historical,r5i1p1f1
1999,289.1382374775988,287.87388100272585,NESM3,historical,r5i1p1f1
2000,289.31908042209005,288.00915097140233,NESM3,historical,r5i1p1f1
2001,289.2543798261411,287.9519116477334,NESM3,historical,r5i1p1f1
2002,289.07344338852937,287.7660010908861,NESM3,historical,r5i1p1f1
2003,289.0472356387881,287.7564952048651,NESM3,historical,r5i1p1f1
2004,289.1024734963654,287.80344594160994,NESM3,historical,r5i1p1f1
2005,289.0738100389138,287.7753354838576,NESM3,historical,r5i1p1f1
2006,289.0008320765344,287.73454377322577,NESM3,historical,r5i1p1f1
2007,289.0978863834631,287.82538836209187,NESM3,historical,r5i1p1f1
2008,289.0707646460047,287.78470683898377,NESM3,historical,r5i1p1f1
2009,289.2513435030037,287.9777035977455,NESM3,historical,r5i1p1f1
2010,289.2928478255989,288.0456906102213,NESM3,historical,r5i1p1f1
2011,289.3159932247236,288.02128481932596,NESM3,historical,r5i1p1f1
2012,289.38450725674755,288.10497045407374,NESM3,historical,r5i1p1f1
2013,289.5269354714956,288.24783504085246,NESM3,historical,r5i1p1f1
2014,289.49146913025623,288.23550751878525,NESM3,historical,r5i1p1f1
