year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.870337276108,287.6593547314769,NorESM2-LM,historical,r3i1p1f1
1851,288.8781027603452,287.6688312266879,NorESM2-LM,historical,r3i1p1f1
1852,288.9797001559357,287.7442970215606,NorESM2-LM,historical,r3i1p1f1
1853,288.9951672784243,287.79228883209106,NorESM2-LM,historical,r3i1p1f1
1854,288.73916658469875,287.53649855510486,NorESM2-LM,historical,r3i1p1f1
1855,288.77997943287335,287.5751976288806,NorESM2-LM,historical,r3i1p1f1
1856,289.0396629087862,287.8156869837369,NorESM2-LM,historical,r3i1p1f1
1857,288.94933605757785,287.76917628280415,NorESM2-LM,historical,r3i1p1f1
1858,289.03975135780223,287.85692808590244,NorESM2-LM,historical,r3i1p1f1
1859,289.0350119041285,287.83352567783294,NorESM2-LM,historical,r3i1p1f1
1860,288.78307490958235,287.58291854039305,NorESM2-LM,historical,r3i1p1f1
1861,288.8334887623248,287.6701475649269,NorESM2-LM,historical,r3i1p1f1
1862,289.0149000568197,287.84056736409406,NorESM2-LM,historical,r3i1p1f1
1863,288.9034984140091,287.7510019857026,NorESM2-LM,historical,r3i1p1f1
1864,288.9262801005222,287.7541501288739,NorESM2-LM,historical,r3i1p1f1
1865,288.8858108620847,287.7266345036548,NorESM2-LM,historical,r3i1p1f1
1866,288.8279463022632,287.70022169584126,NorESM2-LM,historical,r3i1p1f1
1867,288.89755388170136,287.7432867430629,NorESM2-LM,historical,r3i1p1f1
1868,289.29989320129494,288.100011831121,NorESM2-LM,historical,r3i1p1f1
1869,289.0178336117667,287.815806807502,NorESM2-LM,historical,r3i1p1f1
1870,288.7649137913836,287.58820756334393,NorESM2-LM,historical,r3i1p1f1
1871,288.92618500478494,287.7608254165888,NorESM2-LM,historical,r3i1p1f1
1872,289.05839623032483,287.89224242448614,NorESM2-LM,historical,r3i1p1f1
1873,289.0583869724727,287.8536777334402,NorESM2-LM,historical,r3i1p1f1
1874,288.99002205385455,287.824031262977,NorESM2-LM,historical,r3i1p1f1
1875,289.06767607201436,287.9068878889051,NorESM2-LM,historical,r3i1p1f1
1876,289.159931376707,288.00934129117525,NorESM2-LM,historical,r3i1p1f1
1877,289.1102943144481,287.98421631169737,NorESM2-LM,historical,r3i1p1f1
1878,288.94250059844353,287.7907708617002,NorESM2-LM,historical,r3i1p1f1
1879,288.9796421011686,287.8237837981158,NorESM2-LM,historical,r3i1p1f1
1880,288.9391681298101,287.79605571089377,NorESM2-LM,historical,r3i1p1f1
1881,289.0527377616089,287.9257894907794,NorESM2-LM,historical,r3i1p1f1
1882,288.9531614434563,287.8161665022158,NorESM2-LM,historical,r3i1p1f1
