year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.5332449463684,288.4402727017674,NorESM2-LM,ssp245,r1i1p1f1
2016,289.5399752950414,288.4327696220287,NorESM2-LM,ssp245,r1i1p1f1
2017,289.61464657223695,288.51790603972216,NorESM2-LM,ssp245,r1i1p1f1
2018,289.728354002448,288.6500808479339,NorESM2-LM,ssp245,r1i1p1f1
2019,289.8141218586778,288.7183945413472,NorESM2-LM,ssp245,r1i1p1f1
2020,289.73281644946184,288.6416671940008,NorESM2-LM,ssp245,r1i1p1f1
2021,289.7033470615727,288.61279624707083,NorESM2-LM,ssp245,r1i1p1f1
2022,289.81091076285486,288.7164523151548,NorESM2-LM,ssp245,r1i1p1f1
2023,289.52873827527975,288.41314383438095,NorESM2-LM,ssp245,r1i1p1f1
2024,289.43667738123503,288.28361791817207,NorESM2-LM,ssp245,r1i1p1f1
2025,289.42395362598717,288.2895231721794,NorESM2-LM,ssp245,r1i1p1f1
2026,289.40249287492105,288.27918689032714,NorESM2-LM,ssp245,r1i1p1f1
2027,289.49910329304294,288.3591858126225,NorESM2-LM,ssp245,r1i1p1f1
2028,289.814008743699,288.6827659657726,NorESM2-LM,ssp245,r1i1p1f1
2029,289.8606679678126,288.72224166127216,NorESM2-LM,ssp245,r1i1p1f1
2030,289.9003109289043,288.76958664007117,NorESM2-LM,ssp245,r1i1p1f1
2031,289.87846290155375,288.76446105094385,NorESM2-LM,ssp245,r1i1p1f1
2032,289.9330319916276,288.7775981086544,NorESM2-LM,ssp245,r1i1p1f1
2033,289.63501026532515,288.51732620973763,NorESM2-LM,ssp245,r1i1p1f1
2034,289.8300543543184,288.73176218650104,NorESM2-LM,ssp245,r1i1p1f1
2035,289.9900994520352,288.8957094656409,NorESM2-LM,ssp245,r1i1p1f1
2036,289.9031346199852,288.8249449717092,NorESM2-LM,ssp245,r1i1p1f1
2037,289.97694110590686,288.8841169181138,NorESM2-LM,ssp245,r1i1p1f1
2038,290.112406884752,289.03549474213526,NorESM2-LM,ssp245,r1i1p1f1
2039,289.9905960026883,288.91396327614,NorESM2-LM,ssp245,r1i1p1f1
2040,289.96909575104377,288.88027400594484,NorESM2-LM,ssp245,r1i1p1f1
2041,289.8577818243905,288.7760905893711,NorESM2-LM,ssp245,r1i1p1f1
2042,289.86818022833177,288.80198516780865,NorESM2-LM,ssp245,r1i1p1f1
2043,290.13402441408357,289.0428542057232,NorESM2-LM,ssp245,r1i1p1f1
2044,290.30575757999407,289.19488693815003,NorESM2-LM,ssp245,r1i1p1f1
2045,289.93599572762315,288.83864242292253,NorESM2-LM,ssp245,r1i1p1f1
2046,289.8839707411531,288.8039950638008,NorESM2-LM,ssp245,r1i1p1f1
2047,290.11836945341366,289.0133278416277,NorESM2-LM,ssp245,r1i1p1f1
2048,290.3306312412208,289.25219980193793,NorESM2-LM,ssp245,r1i1p1f1
2049,290.4132693979936,289.32558132582903,NorESM2-LM,ssp245,r1i1p1f1
2050,290.1167873619739,289.01233072765,NorESM2-LM,ssp245,r1i1p1f1
2051,290.1538817772186,289.0883887192141,NorESM2-LM,ssp245,r1i1p1f1
2052,290.3625403304161,289.2754434398003,NorESM2-LM,ssp245,r1i1p1f1
2053,290.1247638994752,289.05236153604073,NorESM2-LM,ssp245,r1i1p1f1
2054,290.0576000406388,288.9579143879766,NorESM2-LM,ssp245,r1i1p1f1
2055,290.14517729303435,289.03913201058845,NorESM2-LM,ssp245,r1i1p1f1
2056,290.1806570896722,289.08234613130185,NorESM2-LM,ssp245,r1i1p1f1
2057,290.4022117527178,289.3183646773712,NorESM2-LM,ssp245,r1i1p1f1
2058,290.29590016271993,289.22682376149385,NorESM2-LM,ssp245,r1i1p1f1
2059,290.3279584644563,289.2541746508984,NorESM2-LM,ssp245,r1i1p1f1
2060,290.3629543633609,289.2838271277546,NorESM2-LM,ssp245,r1i1p1f1
2061,290.344374051539,289.25445468344105,NorESM2-LM,ssp245,r1i1p1f1
2062,290.41178367996844,289.3310405980219,NorESM2-LM,ssp245,r1i1p1f1
2063,290.37253915522933,289.2646051220025,NorESM2-LM,ssp245,r1i1p1f1
2064,290.16259958343994,289.1105993116246,NorESM2-LM,ssp245,r1i1p1f1
2065,290.31475233716003,289.23657658987895,NorESM2-LM,ssp245,r1i1p1f1
2066,290.46288225046385,289.39235026838395,NorESM2-LM,ssp245,r1i1p1f1
2067,290.8485925742631,289.7871347578418,NorESM2-LM,ssp245,r1i1p1f1
2068,290.64197647324886,289.5932180391562,NorESM2-LM,ssp245,r1i1p1f1
