year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.4023925059097,287.14579905042996,NorESM2-MM,historical,r1i1p1f1
1851,288.41900167277913,287.1651425035129,NorESM2-MM,historical,r1i1p1f1
1852,288.33452259993174,287.06030521979176,NorESM2-MM,historical,r1i1p1f1
1853,288.3029555937627,287.030279125615,NorESM2-MM,historical,r1i1p1f1
1854,288.5401970186187,287.29504821253573,NorESM2-MM,historical,r1i1p1f1
1855,288.56280804585026,287.2920431527153,NorESM2-MM,historical,r1i1p1f1
1856,288.2337616043552,286.9406439886715,NorESM2-MM,historical,r1i1p1f1
1857,288.20677104969747,286.9122478560388,NorESM2-MM,historical,r1i1p1f1
1858,288.188485124434,286.90771092729125,NorESM2-MM,historical,r1i1p1f1
1859,288.2018833604801,286.93517121059085,NorESM2-MM,historical,r1i1p1f1
1860,288.26492816236726,287.01014850314283,NorESM2-MM,historical,r1i1p1f1
1861,288.20061165678646,286.90396523568444,NorESM2-MM,historical,r1i1p1f1
1862,288.22182670009187,286.9236156546106,NorESM2-MM,historical,r1i1p1f1
1863,288.2739095355529,287.0131233199193,NorESM2-MM,historical,r1i1p1f1
1864,288.39635830868866,287.1609815733214,NorESM2-MM,historical,r1i1p1f1
1865,288.46611287059153,287.2196356958129,NorESM2-MM,historical,r1i1p1f1
1866,288.6211168296824,287.39181875304655,NorESM2-MM,historical,r1i1p1f1
1867,288.60599643678495,287.3525746912894,NorESM2-MM,historical,r1i1p1f1
1868,288.26354014055994,287.0021512557861,NorESM2-MM,historical,r1i1p1f1
1869,288.25098386245037,286.9726787969304,NorESM2-MM,historical,r1i1p1f1
1870,288.19198520957093,286.9057411549253,NorESM2-MM,historical,r1i1p1f1
1871,288.3210981689601,287.0254314550931,NorESM2-MM,historical,r1i1p1f1
1872,288.3354765596186,287.07049519004596,NorESM2-MM,historical,r1i1p1f1
1873,288.31762154092166,287.0600708732357,NorESM2-MM,historical,r1i1p1f1
1874,288.59877969802557,287.32318474391366,NorESM2-MM,historical,r1i1p1f1
1875,288.4855403075844,287.2157253455454,NorESM2-MM,historical,r1i1p1f1
1876,288.29069448489633,287.0486123345985,NorESM2-MM,historical,r1i1p1f1
1877,288.5834992485985,287.28574664638813,NorESM2-MM,historical,r1i1p1f1
1878,288.3975313815063,287.1126353957476,NorESM2-MM,historical,r1i1p1f1
1879,288.2738181212386,286.99185748872,NorESM2-MM,historical,r1i1p1f1
1880,288.32513831087334,287.0081674419039,NorESM2-MM,historical,r1i1p1f1
1881,288.59456410706997,287.31804897088716,NorESM2-MM,historical,r1i1p1f1
1882,288.4910941035239,287.190913314137,NorESM2-MM,historical,r1i1p1f1
1883,288.1627299909924,286.8639237185459,NorESM2-MM,historical,r1i1p1f1
1884,287.8620767810231,286.5718180239427,NorESM2-MM,historical,r1i1p1f1
1885,287.8400454544387,286.53974196516,NorESM2-MM,historical,r1i1p1f1
1886,288.06777052087045,286.81355010350484,NorESM2-MM,historical,r1i1p1f1
1887,288.22411494302935,286.901793781627,NorESM2-MM,historical,r1i1p1f1
1888,288.31377218635197,287.02932856994613,NorESM2-MM,historical,r1i1p1f1
1889,288.3370400958274,287.0445299132736,NorESM2-MM,historical,r1i1p1f1
1890,288.15033273745934,286.86254349602086,NorESM2-MM,historical,r1i1p1f1
1891,288.1463585242174,286.83440429388804,NorESM2-MM,historical,r1i1p1f1
1892,288.2553197219697,286.96479773728805,NorESM2-MM,historical,r1i1p1f1
1893,288.14797081469504,286.8445019794666,NorESM2-MM,historical,r1i1p1f1
1894,288.2306041841545,286.97336208816984,NorESM2-MM,historical,r1i1p1f1
1895,288.2142087060303,286.9106694570954,NorESM2-MM,historical,r1i1p1f1
1896,288.2989392483705,286.9904021045273,NorESM2-MM,historical,r1i1p1f1
1897,288.3395922393582,287.04253520836266,NorESM2-MM,historical,r1i1p1f1
1898,288.3609378758746,287.0812060165479,NorESM2-MM,historical,r1i1p1f1
1899,288.457768547033,287.17955397952136,NorESM2-MM,historical,r1i1p1f1
1900,288.4304555656739,287.1268294480026,NorESM2-MM,historical,r1i1p1f1
1901,288.34505736188544,287.0655842527581,NorESM2-MM,historical,r1i1p1f1
1902,288.2404172065617,286.9800921981753,NorESM2-MM,historical,r1i1p1f1
1903,288.2486228595457,286.98358397339535,NorESM2-MM,historical,r1i1p1f1
1904,288.2351876350169,286.9857394520265,NorESM2-MM,historical,r1i1p1f1
1905,288.14558080367755,286.85586321149844,NorESM2-MM,historical,r1i1p1f1
1906,288.15576306972883,286.88269496797847,NorESM2-MM,historical,r1i1p1f1
1907,288.078474973832,286.76892327213665,NorESM2-MM,historical,r1i1p1f1
1908,288.16529091312236,286.85379641638116,NorESM2-MM,historical,r1i1p1f1
1909,288.180624939155,286.895942689931,NorESM2-MM,historical,r1i1p1f1
1910,288.2169501415266,286.91030757904724,NorESM2-MM,historical,r1i1p1f1
1911,288.4991930427551,287.16703655233607,NorESM2-MM,historical,r1i1p1f1
1912,288.38413464269496,287.065817804862,NorESM2-MM,historical,r1i1p1f1
1913,288.38609448968225,287.0919879903184,NorESM2-MM,historical,r1i1p1f1
1914,288.45139455106676,287.16539347031636,NorESM2-MM,historical,r1i1p1f1
1915,288.3052073871059,287.0447248597001,NorESM2-MM,historical,r1i1p1f1
1916,288.221734554741,286.9418414813775,NorESM2-MM,historical,r1i1p1f1
1917,288.30336855260356,287.0274900681359,NorESM2-MM,historical,r1i1p1f1
1918,288.32294437281183,287.02499079305477,NorESM2-MM,historical,r1i1p1f1
1919,288.44584807656065,287.16044823614794,NorESM2-MM,historical,r1i1p1f1
1920,288.47577046992205,287.17471437428907,NorESM2-MM,historical,r1i1p1f1
1921,288.38865869041774,287.1005964301759,NorESM2-MM,historical,r1i1p1f1
1922,288.1925883071289,286.8988463850647,NorESM2-MM,historical,r1i1p1f1
1923,288.0800815293627,286.7732868319819,NorESM2-MM,historical,r1i1p1f1
1924,288.1187055842693,286.7737886358895,NorESM2-MM,historical,r1i1p1f1
1925,288.05343005877825,286.7390380279607,NorESM2-MM,historical,r1i1p1f1
1926,288.19404465879614,286.8865118467389,NorESM2-MM,historical,r1i1p1f1
1927,288.24551967532983,286.9741002860736,NorESM2-MM,historical,r1i1p1f1
1928,288.2215577522286,286.96020563056663,NorESM2-MM,historical,r1i1p1f1
1929,288.26295102783627,286.9795626109406,NorESM2-MM,historical,r1i1p1f1
1930,288.48793646274464,287.2106834236162,NorESM2-MM,historical,r1i1p1f1
1931,288.55907715578036,287.27340310919186,NorESM2-MM,historical,r1i1p1f1
1932,288.1963808730387,286.9136757417902,NorESM2-MM,historical,r1i1p1f1
1933,288.3587823578717,287.0688453304879,NorESM2-MM,historical,r1i1p1f1
1934,288.4849777912028,287.19269144120744,NorESM2-MM,historical,r1i1p1f1
1935,288.3281188604546,287.043684595491,NorESM2-MM,historical,r1i1p1f1
1936,288.19693075443365,286.89439760021236,NorESM2-MM,historical,r1i1p1f1
1937,288.2417748926319,286.96988573872636,NorESM2-MM,historical,r1i1p1f1
1938,288.3937402082607,287.1290581563442,NorESM2-MM,historical,r1i1p1f1
1939,288.4553858731822,287.2090962972538,NorESM2-MM,historical,r1i1p1f1
1940,288.5300518341052,287.2959031064128,NorESM2-MM,historical,r1i1p1f1
1941,288.4746052360419,287.22031212289784,NorESM2-MM,historical,r1i1p1f1
1942,288.47732673281877,287.2053373927898,NorESM2-MM,historical,r1i1p1f1
1943,288.3592179112606,287.0797011043062,NorESM2-MM,historical,r1i1p1f1
1944,288.26918318949043,287.02760815216465,NorESM2-MM,historical,r1i1p1f1
1945,288.4001005222375,287.1092840953549,NorESM2-MM,historical,r1i1p1f1
1946,288.3390103156781,287.0457482569729,NorESM2-MM,historical,r1i1p1f1
1947,288.3361317772747,287.0348092805354,NorESM2-MM,historical,r1i1p1f1
1948,288.5142574455996,287.24873262838616,NorESM2-MM,historical,r1i1p1f1
1949,288.4532004984982,287.2256929707451,NorESM2-MM,historical,r1i1p1f1
1950,288.5274392326014,287.2890212924014,NorESM2-MM,historical,r1i1p1f1
1951,288.62304302471955,287.37488483731426,NorESM2-MM,historical,r1i1p1f1
1952,288.441866648071,287.1973625685074,NorESM2-MM,historical,r1i1p1f1
1953,288.44449088386506,287.1710431137897,NorESM2-MM,historical,r1i1p1f1
1954,288.49261553162034,287.25829108986136,NorESM2-MM,historical,r1i1p1f1
1955,288.322958781114,287.083424086894,NorESM2-MM,historical,r1i1p1f1
1956,288.2409874168857,286.97623246810366,NorESM2-MM,historical,r1i1p1f1
1957,288.170774166165,286.9031311960102,NorESM2-MM,historical,r1i1p1f1
1958,288.2452730332521,286.98643781872306,NorESM2-MM,historical,r1i1p1f1
1959,288.48770116895304,287.1979008224444,NorESM2-MM,historical,r1i1p1f1
1960,288.5378723150176,287.2672070721554,NorESM2-MM,historical,r1i1p1f1
1961,288.6816182162152,287.39864459159725,NorESM2-MM,historical,r1i1p1f1
1962,288.6667476909828,287.39398025393706,NorESM2-MM,historical,r1i1p1f1
1963,288.34953930881767,287.104299793566,NorESM2-MM,historical,r1i1p1f1
1964,288.1735970609262,286.89561194210773,NorESM2-MM,historical,r1i1p1f1
1965,288.0645851676993,286.7844238159899,NorESM2-MM,historical,r1i1p1f1
1966,288.0444778774607,286.70974465456896,NorESM2-MM,historical,r1i1p1f1
1967,287.84657554357545,286.5571880964821,NorESM2-MM,historical,r1i1p1f1
1968,288.0177823920478,286.7322224859172,NorESM2-MM,historical,r1i1p1f1
1969,288.0298314209492,286.6987472770551,NorESM2-MM,historical,r1i1p1f1
