year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.3661490948608,288.1538830220267,NorESM2-MM,ssp126,r1i1p1f1
2016,289.1221961044363,287.87258619718835,NorESM2-MM,ssp126,r1i1p1f1
2017,289.1043645503784,287.8811393342385,NorESM2-MM,ssp126,r1i1p1f1
2018,289.0824246400147,287.8637931366265,NorESM2-MM,ssp126,r1i1p1f1
2019,289.11532265458743,287.9022636570688,NorESM2-MM,ssp126,r1i1p1f1
2020,289.2300647196094,288.0419443564202,NorESM2-MM,ssp126,r1i1p1f1
2021,289.17836411871053,287.979200560685,NorESM2-MM,ssp126,r1i1p1f1
2022,289.1086786486543,287.90006151395306,NorESM2-MM,ssp126,r1i1p1f1
2023,289.28589345053445,288.067002397092,NorESM2-MM,ssp126,r1i1p1f1
2024,289.3406021738207,288.1152129568829,NorESM2-MM,ssp126,r1i1p1f1
2025,289.53129359224226,288.3058375813388,NorESM2-MM,ssp126,r1i1p1f1
2026,289.4337362065707,288.2412456760892,NorESM2-MM,ssp126,r1i1p1f1
2027,289.3421527966595,288.1369930550977,NorESM2-MM,ssp126,r1i1p1f1
2028,289.46855303575217,288.222103411223,NorESM2-MM,ssp126,r1i1p1f1
2029,289.26241236860545,288.04259418040203,NorESM2-MM,ssp126,r1i1p1f1
2030,289.27990466571964,288.07218481741995,NorESM2-MM,ssp126,r1i1p1f1
2031,289.5116492687874,288.25662408847035,NorESM2-MM,ssp126,r1i1p1f1
2032,289.362536411572,288.13235015154646,NorESM2-MM,ssp126,r1i1p1f1
2033,289.1020333935227,287.86680469582996,NorESM2-MM,ssp126,r1i1p1f1
2034,289.12382488526913,287.91218473468473,NorESM2-MM,ssp126,r1i1p1f1
2035,289.17583105808603,287.97384992438856,NorESM2-MM,ssp126,r1i1p1f1
2036,289.26958610967813,288.07832649456066,NorESM2-MM,ssp126,r1i1p1f1
2037,289.45811408514965,288.2640697313312,NorESM2-MM,ssp126,r1i1p1f1
2038,289.4382408449468,288.26019632910925,NorESM2-MM,ssp126,r1i1p1f1
2039,289.2937518480703,288.09306163217013,NorESM2-MM,ssp126,r1i1p1f1
2040,289.42233855452935,288.23541429807074,NorESM2-MM,ssp126,r1i1p1f1
2041,289.49492315915626,288.34190673776243,NorESM2-MM,ssp126,r1i1p1f1
2042,289.52809907320983,288.33373673952735,NorESM2-MM,ssp126,r1i1p1f1
2043,289.7763065676821,288.59059030226587,NorESM2-MM,ssp126,r1i1p1f1
2044,289.699896599312,288.5185189948328,NorESM2-MM,ssp126,r1i1p1f1
2045,289.44587960850043,288.2422683755083,NorESM2-MM,ssp126,r1i1p1f1
2046,289.55125077256895,288.3111550584873,NorESM2-MM,ssp126,r1i1p1f1
2047,289.62151277516614,288.4168687496068,NorESM2-MM,ssp126,r1i1p1f1
2048,289.4910905833533,288.31038278866293,NorESM2-MM,ssp126,r1i1p1f1
2049,289.5192320608568,288.33295767647445,NorESM2-MM,ssp126,r1i1p1f1
2050,289.6034078295286,288.40834853005555,NorESM2-MM,ssp126,r1i1p1f1
2051,289.63415854929315,288.4563068002079,NorESM2-MM,ssp126,r1i1p1f1
2052,289.3595907688624,288.169392741835,NorESM2-MM,ssp126,r1i1p1f1
2053,289.3654264837141,288.1684124099873,NorESM2-MM,ssp126,r1i1p1f1
2054,289.46569895365025,288.2300267711198,NorESM2-MM,ssp126,r1i1p1f1
2055,289.44040002343104,288.2209914144495,NorESM2-MM,ssp126,r1i1p1f1
2056,289.4404843485175,288.245806170897,NorESM2-MM,ssp126,r1i1p1f1
2057,289.5607582653435,288.35856943954013,NorESM2-MM,ssp126,r1i1p1f1
2058,289.726259955076,288.5213778779869,NorESM2-MM,ssp126,r1i1p1f1
2059,289.5306163860042,288.31533653345923,NorESM2-MM,ssp126,r1i1p1f1
2060,289.54083778453736,288.3654963777251,NorESM2-MM,ssp126,r1i1p1f1
2061,289.68857524012924,288.5229258170428,NorESM2-MM,ssp126,r1i1p1f1
2062,289.6432919032349,288.43680965012715,NorESM2-MM,ssp126,r1i1p1f1
2063,289.89161397200917,288.6904619935934,NorESM2-MM,ssp126,r1i1p1f1
2064,289.6856374984224,288.511010020916,NorESM2-MM,ssp126,r1i1p1f1
2065,289.45396898365414,288.29264203463987,NorESM2-MM,ssp126,r1i1p1f1
