year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.1188641414826,287.88415562003786,TaiESM1,ssp245,r1i1p1f1
2016,289.22402447054486,288.02193237931203,TaiESM1,ssp245,r1i1p1f1
2017,289.31383209278414,288.0823538862838,TaiESM1,ssp245,r1i1p1f1
2018,289.1016928709197,287.8493722261034,TaiESM1,ssp245,r1i1p1f1
2019,289.0659098808372,287.8142490794256,TaiESM1,ssp245,r1i1p1f1
2020,289.24227152927097,288.00980592408905,TaiESM1,ssp245,r1i1p1f1
2021,289.3434753964252,288.1391320394776,TaiESM1,ssp245,r1i1p1f1
2022,289.4280796268626,288.2235630466966,TaiESM1,ssp245,r1i1p1f1
2023,289.46615366631664,288.2718484329856,TaiESM1,ssp245,r1i1p1f1
2024,289.52960627296017,288.3076826289766,TaiESM1,ssp245,r1i1p1f1
2025,289.6176041477545,288.39903762608344,TaiESM1,ssp245,r1i1p1f1
2026,289.5608826187986,288.33066356900645,TaiESM1,ssp245,r1i1p1f1
2027,289.6954032227878,288.50784793682465,TaiESM1,ssp245,r1i1p1f1
2028,289.4998064919848,288.3345763558135,TaiESM1,ssp245,r1i1p1f1
2029,289.7218537255688,288.51931803630134,TaiESM1,ssp245,r1i1p1f1
2030,289.9427637786362,288.7071720599118,TaiESM1,ssp245,r1i1p1f1
2031,289.77099291860134,288.54770198902185,TaiESM1,ssp245,r1i1p1f1
2032,289.794206030924,288.60478484571786,TaiESM1,ssp245,r1i1p1f1
2033,289.90025302019654,288.7129658251664,TaiESM1,ssp245,r1i1p1f1
2034,289.8205010029454,288.6253994658381,TaiESM1,ssp245,r1i1p1f1
2035,289.8559940849338,288.6545749778043,TaiESM1,ssp245,r1i1p1f1
2036,290.00143225007366,288.8674819014021,TaiESM1,ssp245,r1i1p1f1
2037,290.0631623511282,288.91823149771994,TaiESM1,ssp245,r1i1p1f1
2038,290.11865224261845,288.96922232218867,TaiESM1,ssp245,r1i1p1f1
2039,289.9646712228825,288.7956349743092,TaiESM1,ssp245,r1i1p1f1
2040,290.0717896174688,288.8983806744682,TaiESM1,ssp245,r1i1p1f1
2041,290.3377959520618,289.1827708756711,TaiESM1,ssp245,r1i1p1f1
2042,290.214575934291,289.04923918724825,TaiESM1,ssp245,r1i1p1f1
2043,290.0387311722199,288.88628618770264,TaiESM1,ssp245,r1i1p1f1
2044,290.03784023934077,288.9017130974515,TaiESM1,ssp245,r1i1p1f1
2045,290.1962921120802,289.0681606926512,TaiESM1,ssp245,r1i1p1f1
2046,290.4799397563322,289.3058936989563,TaiESM1,ssp245,r1i1p1f1
2047,290.5832343599276,289.4360952695796,TaiESM1,ssp245,r1i1p1f1
2048,290.4527469579392,289.28644290203965,TaiESM1,ssp245,r1i1p1f1
2049,290.41524025481664,289.23761220631167,TaiESM1,ssp245,r1i1p1f1
2050,290.5440904305157,289.3829626158771,TaiESM1,ssp245,r1i1p1f1
2051,290.6170538145017,289.4694916878623,TaiESM1,ssp245,r1i1p1f1
2052,290.52176890314763,289.3901429387015,TaiESM1,ssp245,r1i1p1f1
2053,290.5625073221685,289.44118138178396,TaiESM1,ssp245,r1i1p1f1
2054,290.5872362315285,289.44634706179346,TaiESM1,ssp245,r1i1p1f1
2055,290.77059431680163,289.63069528644724,TaiESM1,ssp245,r1i1p1f1
2056,290.85255188899447,289.72353258946515,TaiESM1,ssp245,r1i1p1f1
2057,290.84058653118234,289.7268282786021,TaiESM1,ssp245,r1i1p1f1
2058,290.75238548912324,289.61530520758066,TaiESM1,ssp245,r1i1p1f1
2059,290.8332704293954,289.74679016143574,TaiESM1,ssp245,r1i1p1f1
2060,290.9914625576423,289.88393754865245,TaiESM1,ssp245,r1i1p1f1
2061,290.8774908520287,289.7399003761445,TaiESM1,ssp245,r1i1p1f1
2062,290.9429406380269,289.82496122396697,TaiESM1,ssp245,r1i1p1f1
2063,291.04538649256546,289.9253796008639,TaiESM1,ssp245,r1i1p1f1
2064,290.9653509982305,289.85519676951253,TaiESM1,ssp245,r1i1p1f1
2065,291.00481570088385,289.8838478312522,TaiESM1,ssp245,r1i1p1f1
2066,291.041362666251,289.9464460920964,TaiESM1,ssp245,r1i1p1f1
2067,291.06986710843574,289.99919431916345,TaiESM1,ssp245,r1i1p1f1
2068,291.2698231367043,290.18699138972676,TaiESM1,ssp245,r1i1p1f1
2069,291.17432887902015,290.05697255098113,TaiESM1,ssp245,r1i1p1f1
2070,291.26552666606824,290.19011156620644,TaiESM1,ssp245,r1i1p1f1
2071,291.31431635176915,290.2404531195631,TaiESM1,ssp245,r1i1p1f1
2072,291.22281447063324,290.0947946680144,TaiESM1,ssp245,r1i1p1f1
2073,291.2459390713116,290.13800214813,TaiESM1,ssp245,r1i1p1f1
2074,291.38971746665686,290.295558006147,TaiESM1,ssp245,r1i1p1f1
2075,291.6303226933427,290.5208109702202,TaiESM1,ssp245,r1i1p1f1
2076,291.38166364388377,290.26923233637183,TaiESM1,ssp245,r1i1p1f1
2077,291.39881846932377,290.30175589658285,TaiESM1,ssp245,r1i1p1f1
2078,291.5506659394238,290.5227911863662,TaiESM1,ssp245,r1i1p1f1
2079,291.7498752592842,290.69140796129227,TaiESM1,ssp245,r1i1p1f1
2080,291.84420509653984,290.7543628945723,TaiESM1,ssp245,r1i1p1f1
2081,291.58981967537517,290.5108662995473,TaiESM1,ssp245,r1i1p1f1
2082,291.4473869517984,290.40502145479485,TaiESM1,ssp245,r1i1p1f1
2083,291.66818788607594,290.6077153686541,TaiESM1,ssp245,r1i1p1f1
2084,291.6169230124131,290.5886017067333,TaiESM1,ssp245,r1i1p1f1
2085,291.52998876823716,290.48309905812147,TaiESM1,ssp245,r1i1p1f1
2086,291.57799692694175,290.50837422224294,TaiESM1,ssp245,r1i1p1f1
2087,291.6516682370229,290.6161016105317,TaiESM1,ssp245,r1i1p1f1
2088,291.63398846570584,290.57300186306327,TaiESM1,ssp245,r1i1p1f1
2089,291.8017982554292,290.72027184813277,TaiESM1,ssp245,r1i1p1f1
2090,291.81421906367325,290.72632299444086,TaiESM1,ssp245,r1i1p1f1
2091,291.67683518659055,290.5972769133546,TaiESM1,ssp245,r1i1p1f1
2092,291.723222870971,290.6487982033263,TaiESM1,ssp245,r1i1p1f1
2093,291.89060611962896,290.80537155454994,TaiESM1,ssp245,r1i1p1f1
2094,291.7966386555887,290.75001456281217,TaiESM1,ssp245,r1i1p1f1
2095,291.73015189892726,290.6931093953216,TaiESM1,ssp245,r1i1p1f1
2096,291.92879052328357,290.8985475200465,TaiESM1,ssp245,r1i1p1f1
2097,292.0468140712473,291.0054743097673,TaiESM1,ssp245,r1i1p1f1
2098,291.88030965668634,290.8675141135584,TaiESM1,ssp245,r1i1p1f1
2099,291.74381538079825,290.6901887603997,TaiESM1,ssp245,r1i1p1f1
2100,291.86184130020314,290.81608997418,TaiESM1,ssp245,r1i1p1f1
