year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.4895148554377,288.3363743638889,UKESM1-1-LL,ssp126,r1i1p1f2
2016,289.3366534732092,288.168802568538,UKESM1-1-LL,ssp126,r1i1p1f2
2017,289.46076961800435,288.3101790574182,UKESM1-1-LL,ssp126,r1i1p1f2
2018,289.61247121162137,288.4443431440537,UKESM1-1-LL,ssp126,r1i1p1f2
2019,289.5299294707748,288.3223514115757,UKESM1-1-LL,ssp126,r1i1p1f2
2020,289.637018416534,288.43255351923585,UKESM1-1-LL,ssp126,r1i1p1f2
2021,289.81970200285554,288.64620747479086,UKESM1-1-LL,ssp126,r1i1p1f2
2022,289.6574318276702,288.52769625262084,UKESM1-1-LL,ssp126,r1i1p1f2
2023,289.76541792886445,288.6470423798524,UKESM1-1-LL,ssp126,r1i1p1f2
2024,289.695541847436,288.5733897057053,UKESM1-1-LL,ssp126,r1i1p1f2
2025,289.8291195374913,288.7236879852764,UKESM1-1-LL,ssp126,r1i1p1f2
2026,289.9466134568099,288.806819356379,UKESM1-1-LL,ssp126,r1i1p1f2
2027,289.9877788060406,288.8730272953679,UKESM1-1-LL,ssp126,r1i1p1f2
2028,289.8405527769212,288.7463449821579,UKESM1-1-LL,ssp126,r1i1p1f2
2029,290.0509076935777,288.9615524445802,UKESM1-1-LL,ssp126,r1i1p1f2
2030,290.06657223724835,288.9946498599408,UKESM1-1-LL,ssp126,r1i1p1f2
2031,290.09111696001435,289.0243055146098,UKESM1-1-LL,ssp126,r1i1p1f2
2032,290.10441793674795,289.0408755981684,UKESM1-1-LL,ssp126,r1i1p1f2
2033,290.0480555840421,289.0012426670854,UKESM1-1-LL,ssp126,r1i1p1f2
2034,290.013649377485,288.93625936840704,UKESM1-1-LL,ssp126,r1i1p1f2
2035,290.00018134849245,288.9811207261317,UKESM1-1-LL,ssp126,r1i1p1f2
2036,290.38575094982974,289.34512028778727,UKESM1-1-LL,ssp126,r1i1p1f2
2037,290.34341761755826,289.303318329086,UKESM1-1-LL,ssp126,r1i1p1f2
2038,290.27274917184235,289.2045131053397,UKESM1-1-LL,ssp126,r1i1p1f2
2039,290.25149021467615,289.17609218441925,UKESM1-1-LL,ssp126,r1i1p1f2
2040,290.1597808430065,289.09271858031826,UKESM1-1-LL,ssp126,r1i1p1f2
2041,290.29595587728875,289.22710741590794,UKESM1-1-LL,ssp126,r1i1p1f2
2042,290.35067834923,289.28193810046275,UKESM1-1-LL,ssp126,r1i1p1f2
2043,290.37236159287505,289.32633041963663,UKESM1-1-LL,ssp126,r1i1p1f2
2044,290.3742663171287,289.34248140346483,UKESM1-1-LL,ssp126,r1i1p1f2
2045,290.4563998635584,289.42843383799993,UKESM1-1-LL,ssp126,r1i1p1f2
2046,290.2962496312993,289.25685981421316,UKESM1-1-LL,ssp126,r1i1p1f2
2047,290.368345577088,289.3127219227218,UKESM1-1-LL,ssp126,r1i1p1f2
2048,290.39620408352465,289.3500924405038,UKESM1-1-LL,ssp126,r1i1p1f2
2049,290.4291753782633,289.41173412631105,UKESM1-1-LL,ssp126,r1i1p1f2
2050,290.32600934681346,289.3330078643213,UKESM1-1-LL,ssp126,r1i1p1f2
2051,290.3422529828901,289.3208310721381,UKESM1-1-LL,ssp126,r1i1p1f2
2052,290.36984860564985,289.3477411897765,UKESM1-1-LL,ssp126,r1i1p1f2
2053,290.61650292092827,289.61789928538855,UKESM1-1-LL,ssp126,r1i1p1f2
2054,290.5910645377321,289.58671530161746,UKESM1-1-LL,ssp126,r1i1p1f2
2055,290.5655040979188,289.55556759741836,UKESM1-1-LL,ssp126,r1i1p1f2
2056,290.6999382414883,289.6826840489809,UKESM1-1-LL,ssp126,r1i1p1f2
2057,290.59162687409196,289.59260042506855,UKESM1-1-LL,ssp126,r1i1p1f2
2058,290.5772416052423,289.5812340895996,UKESM1-1-LL,ssp126,r1i1p1f2
2059,290.6448357285714,289.66453420253197,UKESM1-1-LL,ssp126,r1i1p1f2
2060,290.79642396325306,289.8144673795814,UKESM1-1-LL,ssp126,r1i1p1f2
2061,290.72457009888035,289.7479177165018,UKESM1-1-LL,ssp126,r1i1p1f2
2062,290.6063912027125,289.60987943523884,UKESM1-1-LL,ssp126,r1i1p1f2
2063,290.5840861976759,289.5843802547684,UKESM1-1-LL,ssp126,r1i1p1f2
2064,290.7021073944494,289.6914317271388,UKESM1-1-LL,ssp126,r1i1p1f2
2065,290.71139020289456,289.71933424245174,UKESM1-1-LL,ssp126,r1i1p1f2
2066,290.8232072062371,289.8234693801103,UKESM1-1-LL,ssp126,r1i1p1f2
