,Unnamed: 0,arctic_trend,world_trend,AA,trend_period,Model,Experiment,Ensemble_member,Months,No_arctic_crossing_year,World_crossing_year,gap
0,0,0.0508500544441196,0.0251794716570657,2.019504425536681,2015_2065,MCM-UA-1-0,ssp245,r1i1p1f2,all,2064.211,2060.017,4.19399999999996
1,0,0.0560404632248471,0.0296061131141058,1.89286796982974,2015_2065,CIESM,ssp245,r1i1p1f1,all,2069.536,2055.772,13.764000000000124
2,0,0.0610830184729568,0.0246773089320601,2.475270648072943,2015_2065,NESM3,ssp245,r2i1p1f1,all,2058.76,2053.364,5.3960000000001855
3,0,0.0737074117904615,0.0269365786145456,2.7363316197351,2015_2065,NESM3,ssp245,r1i1p1f1,all,2060.872,2054.53,6.3419999999996435
4,0,0.0470869941663666,0.0167629247638928,2.8089963314630872,2015_2065,GFDL-ESM4,ssp245,r3i1p1f1,all,2089.202,2065.375,23.827000000000226
5,0,0.0398768628443138,0.0202456009518824,1.9696556767610296,2015_2065,GFDL-ESM4,ssp245,r2i1p1f1,all,2065.385,2057.053,8.332000000000335
6,0,0.036130375946634,0.018389761055039,1.96470067438608,2015_2065,GFDL-ESM4,ssp245,r1i1p1f1,all,2068.715,2055.998,12.717000000000098
7,0,0.0761894954863192,0.027882966875108,2.732474482632479,2015_2065,GFDL-CM4,ssp245,r1i1p1f1,all,2049.396,2044.639,4.757000000000289
8,0,0.1233193213660013,0.0433951292483539,2.8417779484014103,2015_2065,UKESM1-0-LL,ssp245,r13i1p1f2,all,2038.58,2034.448,4.1319999999998345
9,0,0.0874663388691659,0.0346480321256523,2.52442443345602,2015_2065,KACE-1-0-G,ssp245,r1i1p1f1,all,2058.293,2049.903,8.390000000000327
10,0,0.0539836966749623,0.0205517844176627,2.6267157915770687,2015_2065,NorESM2-MM,ssp245,r1i1p1f1,all,2070.657,2050.345,20.312000000000353
11,0,0.0355882146205714,0.0217520159970983,1.6360881044459905,2015_2065,NorESM2-LM,ssp245,r3i1p1f1,all,2037.706,2036.652,1.05399999999986
12,0,0.0274806325676624,0.0172477564225198,1.593287375729736,2015_2065,NorESM2-LM,ssp245,r2i1p1f1,all,2052.426,2049.811,2.6149999999997817
13,0,0.0347030250547856,0.0180194836009273,1.925861241273292,2015_2065,NorESM2-LM,ssp245,r1i1p1f1,all,2067.549,2062.652,4.8969999999999345
14,0,0.0533537040301428,0.0304476073382534,1.7523118791377357,2015_2065,CESM2-WACCM,ssp245,r5i1p1f1,all,,,
15,0,0.0595742152902665,0.0297436548496672,2.0029218195064247,2015_2065,CESM2-WACCM,ssp245,r4i1p1f1,all,,,
16,0,0.0539605782789559,0.0314370597553446,1.7164639027599289,2015_2065,CESM2-WACCM,ssp245,r3i1p1f1,all,2054.444,2051.013,3.43100000000004
17,0,0.0508008249082116,0.0294371119658502,1.7257407916627585,2015_2065,CESM2-WACCM,ssp245,r2i1p1f1,all,2057.276,2053.316,3.9600000000000364
18,0,0.0579715490516112,0.0314917572323919,1.840848340847191,2015_2065,CESM2-WACCM,ssp245,r1i1p1f1,all,2050.955,2046.709,4.245999999999867
19,0,0.0559552548976291,0.0315725640438837,1.772274650226543,2015_2065,CESM2,ssp245,r4i1p1f1,all,2045.718,2042.338,3.380000000000109
20,0,0.0548387237464598,0.0265312406510589,2.0669490909868564,2015_2065,GISS-E2-1-G,ssp245,r5i1p3f1,all,2050.335,2043.026,7.308999999999969
21,0,0.0508936626416165,0.0250725516254766,2.0298557323500583,2015_2065,GISS-E2-1-G,ssp245,r4i1p3f1,all,2048.354,2040.704,7.649999999999864
22,0,0.0581389369655837,0.0266481060730114,2.1817286679320693,2015_2065,GISS-E2-1-G,ssp245,r3i1p3f1,all,2045.711,2041.142,4.56899999999996
23,0,0.0715629159309432,0.0270982124920405,2.6408721959783548,2015_2065,GISS-E2-1-G,ssp245,r2i1p3f1,all,2046.489,2039.513,6.976000000000113
24,0,0.0719189552430973,0.0292164216678548,2.4615935538137985,2015_2065,GISS-E2-1-G,ssp245,r1i1p3f1,all,2041.954,2038.433,3.520999999999958
25,0,0.054430294383252,0.0241415174440164,2.254634345561519,2015_2065,GISS-E2-1-G,ssp245,r1i1p1f2,all,2049.387,2044.128,5.259000000000242
26,0,0.0819265556273421,0.0283780870864479,2.886965403191899,2015_2065,MRI-ESM2-0,ssp245,r1i1p1f1,all,2050.983,2047.164,3.8190000000001874
27,0,0.047253943302525,0.0201834818468822,2.3412186094058143,2015_2065,MPI-ESM1-2-LR,ssp245,r9i1p1f1,all,2069.019,2060.839,8.179999999999836
28,0,0.0558497451729558,0.0200810664199725,2.781214105113861,2015_2065,MPI-ESM1-2-LR,ssp245,r8i1p1f1,all,2063.679,2055.711,7.968000000000302
29,0,0.056928345706229,0.021325594624229,2.6694845658160395,2015_2065,MPI-ESM1-2-LR,ssp245,r7i1p1f1,all,2066.048,2056.452,9.595999999999549
30,0,0.0608894562994652,0.0212997743500915,2.858690204819168,2015_2065,MPI-ESM1-2-LR,ssp245,r6i1p1f1,all,2070.543,2056.626,13.916999999999916
